optrew,optER,valrew,valER,testrew,testER,epoch,norm val rew,norm val er,norm test rew,norm test ER
,,,,,,,,,,
-23.2539285328,44.7844587054,-70.2789699554,74.951171875,-71.0021817446,75.29296875,1,-29.3918637263,-5.7686350436,-28.2082598229,-5.2620106762
-23.1659401621,45.0544084821,-70.6310054541,74.9609375,-71.3775823116,75.29296875,9,-29.553153282,-5.7696030978,-28.3714857686,-5.2620106762
-22.4334589647,44.3638392857,-70.4558062077,74.9462890625,-71.1931484938,75.2734375,16,-29.4728835117,-5.7681510165,-28.2912930705,-5.2602313167
-22.8948856592,44.6247209821,-70.2665415287,74.9560546875,-70.9806165457,75.25390625,24,-29.386169484,-5.7691190707,-28.1988831723,-5.2584519573
-22.4298377246,44.3994140625,-69.9741117954,74.94140625,-70.6848634481,75.2587890625,30,-29.2521890703,-5.7676669894,-28.0702883238,-5.2588967972
-22.3025102241,44.1692243304,-69.4010428667,74.873046875,-70.0885582447,75.205078125,37,-28.9896302282,-5.7608906099,-27.8110119953,-5.2540035587
-22.3984803672,44.4635881696,-68.9423386335,74.8095703125,-69.6267532825,75.1611328125,45,-28.7794690307,-5.7545982575,-27.6102170091,-5.25
-22.2609087335,44.4084821429,-68.370166707,74.794921875,-69.0539971352,75.13671875,53,-28.5173211617,-5.7531461762,-27.3611799217,-5.2477758007
-22.450108096,44.4621930804,-68.1533741474,74.7802734375,-68.8323526621,75.13671875,56,-28.4179948842,-5.7516940949,-27.2648078544,-5.2477758007
-22.406260719,44.4949776786,-67.7331107855,74.8779296875,-68.4007789612,75.1953125,64,-28.2254458623,-5.761374637,-27.0771575639,-5.253113879
-21.9309274435,44.443359375,-67.2907447815,74.84375,-67.9567315102,75.1611328125,70,-28.022770233,-5.7579864472,-26.8840836277,-5.25
-22.019384732,44.3533761161,-66.3960247755,74.7998046875,-67.088957119,75.1416015625,77,-27.6128428456,-5.7536302033,-26.5067712097,-5.2482206406
-21.4757939624,43.9369419643,-65.5617101908,74.775390625,-66.2789073944,75.1171875,85,-27.2305909727,-5.7512100678,-26.1545577504,-5.2459964413
-21.8072293763,44.2703683036,-64.4351924658,74.7314453125,-65.1730480433,75.1123046875,92,-26.7144625026,-5.7468538238,-25.6737248635,-5.2455516014
-21.0655319363,43.8448660714,-63.3582486391,74.6875,-64.0682332516,75.0634765625,100,-26.2210469466,-5.7424975799,-25.193346156,-5.2411032028
-21.5249354073,44.0101841518,-62.5255916595,74.521484375,-63.2001704931,74.8681640625,106,-25.8395545266,-5.7260406583,-24.8159083546,-5.2233096085
-21.0979655355,43.8483537946,-61.9085841417,74.3359375,-62.5512369394,74.6044921875,113,-25.5568646593,-5.7076476283,-24.53374897,-5.1992882562
-20.5583179274,43.1494140625,-61.2569916964,73.955078125,-61.8442379475,74.228515625,121,-25.2583292661,-5.669893514,-24.2263424576,-5.1650355872
-20.6301469977,43.1089564732,-60.9130375147,73.779296875,-61.4774646521,74.033203125,125,-25.1007422689,-5.6524685382,-24.0668676905,-5.1472419929
-20.4441725335,42.8390066964,-60.2091548443,73.3056640625,-60.7613259554,73.720703125,132,-24.7782494419,-5.605517909,-23.7554871912,-5.118772242
-20.1795089326,42.8152901786,-59.73274858,73.046875,-60.2856574059,73.447265625,138,-24.5599778329,-5.5798644724,-23.5486642515,-5.09386121
-20.3556363195,42.6199776786,-59.3244932652,72.880859375,-59.8826493502,73.1494140625,146,-24.3729304511,-5.5634075508,-23.3734344389,-5.0667259786
-20.2271751165,42.59765625,-59.1436939478,72.8857421875,-59.7126121998,73.154296875,153,-24.2900949368,-5.5638915779,-23.2995014801,-5.0671708185
-19.9604172417,42.4239676339,-58.4746735811,72.7685546875,-59.0521792412,72.9150390625,161,-23.9835747191,-5.5522749274,-23.0123420997,-5.0453736655
-20.1443329151,42.3723493304,-58.193393302,72.71484375,-58.7706237555,72.919921875,168,-23.8547025701,-5.5469506292,-22.8899204401,-5.0458185053
-19.8558971626,41.9635881696,-57.7591824293,72.4609375,-58.3014913321,72.724609375,174,-23.6557633182,-5.5217812197,-22.685939439,-5.028024911
-19.351669842,41.6329520089,-57.3940176725,72.3681640625,-57.8705184221,72.63671875,182,-23.4884584254,-5.5125847047,-22.4985503753,-5.0200177936
-20.3758200135,42.7078683036,-57.2536489248,72.265625,-57.7027781725,72.587890625,189,-23.4241466925,-5.5024201355,-22.4256161198,-5.015569395
-19.6443633216,41.8512834821,-57.0641708612,72.255859375,-57.4784676552,72.607421875,193,-23.3373348999,-5.5014520813,-22.3280848438,-5.0173487544
-20.2589356435,42.1275111607,-56.7956377029,72.1728515625,-57.186237216,72.5048828125,201,-23.214303007,-5.4932236205,-22.2010216638,-5.0080071174
-19.9308217589,41.8017578125,-56.4229957819,72.119140625,-56.8076402187,72.4267578125,208,-23.0435723559,-5.4878993224,-22.0364058951,-5.0008896797
-19.9119451889,42.0089285714,-56.113249445,72.001953125,-56.4970202923,72.158203125,214,-22.9016581193,-5.4762826718,-21.901346879,-4.9764234875
