optrew,optER,valrew,valER,testrew,testER,epoch,norm val rew,norm val er,norm test rew,norm test ER,,,,,,,
,,,,,,,,,,,,,,,,,
-0.7938950288,68.4402901786,-0.9953875199,73.330078125,-0.9957972981,72.8515625,1,-33.3664297544,-6.7133370227,-34.8463804169,-7.1783590963,,,,,,,
-0.8800206199,73.2373046875,-0.9957102135,73.8916015625,-0.9958342358,73.5546875,2,-33.3781388963,-6.7769784173,-34.8477751435,-7.2639714625,,,,,,,
-0.8803932706,73.7583705357,-1.001409024,74.755859375,-1.0021116346,74.3701171875,3,-33.5849238583,-6.8749308246,-35.0848024725,-7.3632580262,,,,,,,
-0.8840708253,73.8392857143,-1.0155047357,74.8583984375,-1.0161872782,74.501953125,4,-34.0963957174,-6.8865522966,-35.6162825209,-7.3793103448,,,,,,,
-0.88886263,74.0862165179,-1.0152424484,74.8486328125,-1.0160065711,74.5849609375,5,-34.0868784575,-6.8854454898,-35.6094592284,-7.3894173603,,,,,,,
-0.8884978189,74.2194475446,-1.0152276993,74.8388671875,-1.0159965523,74.5849609375,6,-34.0863432745,-6.8843386829,-35.6090809303,-7.3894173603,,,,,,,
-0.8865999603,74.1936383929,-1.0150722228,74.8583984375,-1.0158951998,74.5947265625,7,-34.0807017116,-6.8865522966,-35.6052539775,-7.3906064209,,,,,,,
-0.8910677326,74.3610491071,-1.0148370564,74.8583984375,-1.0157421514,74.6923828125,8,-34.0721685493,-6.8865522966,-35.5994750491,-7.4024970273,,,,,,,
-0.8903453031,74.4580078125,-1.0142500624,75.0146484375,-1.0154222593,74.912109375,9,-34.0508690991,-6.9042612064,-35.5873962902,-7.4292508918,,,,,,,
-0.8845841456,74.4740513393,-1.0140651412,75.0244140625,-1.0153524667,75.029296875,10,-34.0441591167,-6.9053680133,-35.5847610034,-7.4435196195,,,,,,,
-0.8876467284,74.5242745536,-1.014867273,74.873046875,-1.015761289,74.62890625,11,-34.0732649769,-6.8882125069,-35.6001976613,-7.3947681332,,,,,,,
-0.8892938597,74.4029017857,-1.0150736049,74.853515625,-1.0158961236,74.5947265625,12,-34.0807518613,-6.8859988932,-35.6052888619,-7.3906064209,,,,,,,
-0.8922687537,74.3268694196,-1.0159184948,74.8876953125,-1.0164853215,74.4580078125,13,-34.1114092276,-6.8898727172,-35.6275362933,-7.3739595719,,,,,,,
-0.8915949968,74.3010602679,-1.0176489793,74.8388671875,-1.0177635267,74.2919921875,14,-34.1742009582,-6.8843386829,-35.6757998463,-7.353745541,,,,,,,
-0.8952755653,74.2947823661,-1.0182337321,74.794921875,-1.018200101,74.3359375,15,-34.1954190874,-6.879358052,-35.6922843848,-7.3590963139,,,,,,,
-0.8942295632,74.3743024554,-1.0183986567,74.755859375,-1.0182956621,74.326171875,16,-34.2014034799,-6.8749308246,-35.6958926633,-7.3579072533,,,,,,,
-0.8970376173,74.3331473214,-1.0188455515,74.7705078125,-1.0187059656,74.3798828125,17,-34.2176193405,-6.8765910349,-35.7113852487,-7.3644470868,,,,,,,
-0.896472293,74.3366350446,-1.0182168759,74.7119140625,-1.0182007201,74.35546875,18,-34.1948074497,-6.8699501937,-35.6923077629,-7.3614744352,,,,,,,
-0.8995768244,74.4154575893,-1.0173149712,74.82421875,-1.0175064817,74.296875,19,-34.1620812643,-6.8826784726,-35.6660941228,-7.3543400713,,,,,,,
