optrew,optER,valrew,valER,testrew,testER,epoch,norm val rew,norm val er,norm test rew,norm test ER,,,,,,,
,,,,,,,,,,,,,,,,,
-0.752078828,61.8108258929,-0.591532214,52.578125,-0.61645597,52.578125,1,-16.8873030399,-4.3832869081,-20.6824162682,-4.504576659,,,,,,,
-0.5318516439,45.6068638393,-0.4677740615,42.4658203125,-0.4711628251,42.4951171875,2,-12.8413067697,-3.2295264624,-15.1313862028,-3.3232265446,,,,,,,
-0.4108062858,39.3673270089,-0.3150507443,33.095703125,-0.3344858998,33.69140625,3,-7.8483591587,-2.1604456825,-9.9095450634,-2.2917620137,,,,,,,
-0.2963384717,31.1976841518,-0.2627120834,29.150390625,-0.2716878338,29.5068359375,4,-6.1372635869,-1.7103064067,-7.5102993656,-1.8014874142,,,,,,,
-0.2217567862,25.76171875,-0.1362228122,18.41796875,-0.1361963689,18.06640625,5,-2.0019794924,-0.4857938719,-2.3337496009,-0.4610983982,,,,,,,
-0.0665748545,10.9905133929,-0.2647581909,33.0322265625,-0.275019576,33.544921875,6,-6.2041564998,-2.1532033426,-7.6375909967,-2.2745995423,,,,,,,
-0.343469185,35.2734375,-0.2411311461,28.701171875,-0.2408309916,29.1943359375,7,-5.4317230618,-1.6590529248,-6.331391312,-1.7648741419,,,,,,,
-0.2241131772,27.666015625,-0.2070089286,26.650390625,-0.2135632984,27.0556640625,8,-4.3161734052,-1.4250696379,-5.2896093014,-1.5143020595,,,,,,,
-0.2376868147,28.4535435268,-0.1955455394,25.419921875,-0.194529392,25.25390625,9,-3.94140351,-1.2846796657,-4.5624050903,-1.3032036613,,,,,,,
-0.1973143233,25.3787667411,-0.1878443314,24.5849609375,-0.1951757859,25.1123046875,10,-3.6896297198,-1.1894150418,-4.5871010397,-1.2866132723,,,,,,,
-0.1857201521,24.462890625,-0.1761461644,23.505859375,-0.1703451653,23.037109375,11,-3.3071842873,-1.0662952646,-3.638429154,-1.0434782609,,,,,,,
-0.1581820796,21.1690848214,-0.1420936547,19.43359375,-0.1495215911,20.3955078125,12,-2.1939135721,-0.6016713092,-2.8428493878,-0.7339816934,,,,,,,
-0.1420381843,17.529296875,-0.1577049809,21.1376953125,-0.1627305077,21.279296875,13,-2.7042909981,-0.7961002786,-3.3475056345,-0.8375286041,,,,,,,
-0.1519000087,20.4778180804,-0.1362379702,18.9794921875,-0.1412524416,19.0234375,14,-2.00247505,-0.5498607242,-2.5269205276,-0.5732265446,,,,,,,
-0.1328601222,17.7280970982,-0.0610086241,11.8994140625,-0.0628049325,12.197265625,15,0.456980328,0.2579387187,0.4702235006,0.2265446224,,,,,,,
-0.116192718,16.0518973214,-0.1475373635,20.0439453125,-0.1473562238,20.0341796875,16,-2.3718834674,-0.6713091922,-2.760119956,-0.6916475973,,,,,,,
-0.1543520867,19.7607421875,-0.1805309591,23.0810546875,-0.1916445609,23.4375,17,-3.4505353539,-1.0178272981,-4.4521880243,-1.090389016,,,,,,,
-0.1528381714,19.3205915179,-0.1330619665,18.02734375,-0.1307855145,17.9296875,18,-1.8986427057,-0.4412256267,-2.1270239799,-0.4450800915,,,,,,,
-0.1023055505,12.9352678571,-0.1009657574,13.0224609375,-0.0982431022,12.6318359375,19,-0.8493288666,0.1298050139,-0.8837174958,0.1756292906,,,,,,,
-0.088489774,10.9270368304,-0.1118620073,14.2529296875,-0.1105328965,14.111328125,20,-1.2055574092,-0.0105849582,-1.3532580062,0.0022883295,,,,,,,
-0.123948254,15.7854352679,-0.1226383104,16.2158203125,-0.121256283,15.9130859375,21,-1.5578645605,-0.23454039,-1.7629527738,-0.2088100686,,,,,,,
-0.1206784572,16.435546875,-0.1299635806,18.0908203125,-0.1288150487,18.3056640625,22,-1.7973479025,-0.4484679666,-2.0517409052,-0.4891304348,,,,,,,
-0.1364577372,18.6314174107,-0.1149051219,15.7958984375,-0.1091528376,15.4296875,23,-1.3050452408,-0.1866295265,-1.3005318564,-0.152173913,,,,,,,
-0.0984783047,13.0587332589,-0.0941147624,10.849609375,-0.086978347,10.322265625,24,-0.6253508905,0.3777158774,-0.4533393464,0.4462242563,,,,,,,
-0.1288138911,16.4760044643,-0.1502206491,20.634765625,-0.1455601692,20.1953125,25,-2.4596074953,-0.738718663,-2.6915003878,-0.7105263158,,,,,,,
-0.1507321163,19.2354910714,-0.1634580498,20.8837890625,-0.169431707,21.474609375,26,-2.8923747313,-0.7671309192,-3.6035298159,-0.8604118993,,,,,,,
-0.14824826,19.6358816964,-0.1396733447,20.0390625,-0.1359676849,19.833984375,27,-2.1147869438,-0.6707520891,-2.3250125618,-0.6681922197,,,,,,,
-0.1321117248,17.7476283482,-0.1057883074,12.685546875,-0.0992161331,12.3291015625,28,-1.0069913623,0.1682451253,-0.9208928486,0.2110983982,,,,,,,
-0.112096902,14.3798828125,-0.1369030227,17.8515625,-0.1347428894,18.02734375,29,-2.0242174559,-0.4211699164,-2.278218359,-0.4565217391,,,,,,,
-0.141127356,18.3258928571,-0.1437191551,18.6328125,-0.1469315888,18.6669921875,30,-2.2470556737,-0.5103064067,-2.7438964697,-0.5314645309,,,,,,,
-0.1384779503,17.2126116071,-0.100719227,13.3544921875,-0.1037357145,13.5595703125,31,-0.8412691046,0.0919220056,-1.0935667357,0.0669336384,,,,,,,
-0.1266127071,17.44140625,-0.1363792957,19.2822265625,-0.1343690052,19.5166015625,32,-2.0070953714,-0.5844011142,-2.2639338418,-0.631006865,,,,,,,
-0.1456933208,19.3115234375,-0.2004829615,24.1796875,-0.2072313068,24.423828125,33,-4.1028214931,-1.1431754875,-5.0476909665,-1.2059496568,,,,,,,
-0.1213141267,16.0546875,-0.1005959916,13.6328125,-0.1014264942,13.84765625,34,-0.8372402001,0.0601671309,-1.0053412986,0.033180778,,,,,,,
-0.1267944415,17.1114676339,-0.1111300443,15.25390625,-0.1134442316,15.17578125,35,-1.1816275155,-0.1247910864,-1.4644876802,-0.1224256293,,,,,,,
-0.1194021475,16.7082868304,-0.1286443068,18.2958984375,-0.1296597003,18.037109375,36,-1.7542171921,-0.4718662953,-2.0840114309,-0.4576659039,,,,,,,
-0.1140748616,15.8579799107,-0.1186873983,17.4365234375,-0.1242502374,17.9248046875,37,-1.4286983163,-0.373816156,-1.8773389728,-0.4445080092,,,,,,,
-0.105334605,14.7216796875,-0.1013167712,13.740234375,-0.0967899325,13.65234375,38,-0.8608044771,0.0479108635,-0.8281980938,0.0560640732,,,,,,,
-0.0973596183,13.7486049107,-0.0994476424,14.7314453125,-0.0968036508,14.4140625,39,-0.7996974878,-0.0651810585,-0.828722211,-0.033180778,,,,,,,
-0.1024962862,14.3052455357,-0.1152310646,15.5078125,-0.1147601371,15.7666015625,40,-1.3157012104,-0.1537604457,-1.5147628042,-0.1916475973,,,,,,,
-0.1075010042,14.7907366071,-0.1120444914,15.4296875,-0.1074555846,15.0390625,41,-1.2115233203,-0.1448467967,-1.2356870746,-0.1064073227,,,,,,,
-0.1117995095,14.6909877232,-0.0918590978,12.63671875,-0.092284023,12.7294921875,42,-0.5516069771,0.173816156,-0.6560465501,0.164187643,,,,,,,
-0.1062018796,14.1357421875,-0.0862835368,10.703125,-0.0877436285,10.8349609375,43,-0.3693264694,0.3944289694,-0.4825774815,0.3861556064,,,,,,,
-0.1009653792,13.2596261161,-0.0836438697,10.0927734375,-0.0796690261,9.7265625,44,-0.2830284507,0.4640668524,-0.1740814359,0.5160183066,,,,,,,
-0.0876202699,11.9091796875,-0.1362662347,19.130859375,-0.1402328426,19.3896484375,45,-2.0033990954,-0.5671309192,-2.4879660074,-0.6161327231,,,,,,,
-0.0899303827,12.6583426339,-0.0759957638,11.376953125,-0.0795025187,10.99609375,46,-0.0329907166,0.3175487465,-0.1677199002,0.3672768879,,,,,,,
-0.092963596,13.1501116071,-0.096569184,13.8623046875,-0.0978318531,13.8623046875,47,-0.7055927213,0.0339832869,-0.8680054257,0.0314645309,,,,,,,
-0.1020835418,13.4751674107,-0.0998208731,13.9453125,-0.0998655294,14.1357421875,48,-0.8118994328,0.0245125348,-0.9457035032,-0.0005720824,,,,,,,
-0.098902857,13.7074497768,-0.0988662838,13.0126953125,-0.0982183209,12.8125,49,-0.7806912672,0.1309192201,-0.8827707071,0.1544622426,,,,,,,
-0.0933496858,12.5606863839,-0.0765931145,10.859375,-0.0791171057,11.1376953125,50,-0.0525197651,0.3766016713,-0.1529949152,0.3506864989,,,,,,,
-0.0789402652,10.3194754464,-0.0665614939,8.916015625,-0.066762052,8.7548828125,51,0.2754416564,0.5983286908,0.3190388798,0.6298627002,,,,,,,
-0.0762701266,10.0565011161,-0.0696395121,8.9306640625,-0.0684616225,8.69140625,52,0.1748127297,0.5966573816,0.2541055553,0.6372997712,,,,,,,
-0.0823106564,10.8517020089,-0.0804338365,12.080078125,-0.0807844754,12.2216796875,53,-0.1780835878,0.2373259053,-0.2166979855,0.2236842105,,,,,,,
-0.0754210647,9.9135044643,-0.0737900687,9.5361328125,-0.0716013733,8.984375,54,0.0391195539,0.5275766017,0.134149096,0.6029748284,,,,,,,
-0.0713286434,9.3756975446,-0.0669271613,8.681640625,-0.0626553502,8.6767578125,55,0.2634869795,0.6250696379,0.4759384028,0.6390160183,,,,,,,
-0.0692572194,9.2515345982,-0.069141079,9.9365234375,-0.0673535192,10.1025390625,56,0.1911078865,0.4818941504,0.296441445,0.4719679634,,,,,,,
-0.0689561256,9.2885044643,-0.0626319927,8.359375,-0.0588976394,8.0517578125,57,0.4039079177,0.6618384401,0.6195044694,0.7122425629,,,,,,,
-0.071494581,9.8974609375,-0.0696467716,9.833984375,-0.0682048543,9.6484375,58,0.1745753967,0.4935933148,0.2639155688,0.5251716247,,,,,,,
-0.0694664897,9.6135602679,-0.0812810834,11.2841796875,-0.0814865448,10.9228515625,59,-0.2057824311,0.3281337047,-0.2435210574,0.3758581236,,,,,,,
-0.0670797497,9.3777901786,-0.0636763332,8.9453125,-0.0631374796,8.9453125,60,0.36976554,0.5949860724,0.4575182983,0.6075514874,,,,,,,
-0.0678384528,9.1259765625,-0.0716769711,9.5751953125,-0.0675333354,9.1552734375,61,0.1082025585,0.5231197772,0.2895714375,0.5829519451,,,,,,,
-0.0696016012,9.521484375,-0.0731907749,10.615234375,-0.0797732241,10.8984375,62,0.0587121281,0.4044568245,-0.1780623943,0.3787185355,,,,,,,
-0.0709548348,9.7446986607,-0.0777506512,10.41015625,-0.0744247221,10.1513671875,63,-0.0903628406,0.4278551532,0.0262810054,0.4662471396,,,,,,,
-0.0736991135,10.0516183036,-0.0689412341,9.3359375,-0.0671010996,9.2138671875,64,0.1976413681,0.5504178273,0.3060853179,0.5760869565,,,,,,,
