optrew,optER,valrew,valER,testrew,testER,epoch,norm val rew,norm val er,norm test rew,norm test ER,,,,,,,
,,,,,,,,,,,,,,,,,
-0.5562752555,55.1283482143,-0.9885198861,73.5400390625,-1.0006564051,73.193359375,1,-35.350051311,-6.844856661,-38.6749108314,-6.8386363636,,,,,,,
-0.8649242747,72.7748325893,-0.9922191851,74.5556640625,-1.0047450878,74.21875,2,-35.4932434659,-6.9617762788,-38.8457309624,-6.9579545455,,,,,,,
-0.8801614004,73.5170200893,-1.0007453687,74.775390625,-1.0139221027,74.4287109375,3,-35.8232742718,-6.9870713884,-39.2291353551,-6.9823863636,,,,,,,
-0.8865599525,73.8371930804,-1.0014585406,74.775390625,-1.014627108,74.4482421875,4,-35.8508796667,-6.9870713884,-39.258589606,-6.9846590909,,,,,,,
-0.8905576038,73.9760044643,-1.0012702778,74.7802734375,-1.0143894456,74.47265625,5,-35.8435924074,-6.987633502,-39.2486603657,-6.9875,,,,,,,
-0.8867616639,74.0053013393,-1.0010334253,74.78515625,-1.0141020052,74.47265625,6,-35.8344243419,-6.9881956155,-39.2366514587,-6.9875,,,,,,,
-0.8905544957,74.0785435268,-1.0007943839,74.7802734375,-1.0138101079,74.43359375,7,-35.8251715455,-6.987633502,-39.2244563464,-6.9829545455,,,,,,,
-0.8875543443,74.0025111607,-1.0041258514,74.5703125,-1.0178058542,74.47265625,8,-35.9541257119,-6.9634626194,-39.3913937128,-6.9875,,,,,,,
-0.8874237095,73.837890625,-1.0052845471,74.5556640625,-1.0191380367,74.4580078125,9,-35.9989764071,-6.9617762788,-39.4470506557,-6.9857954545,,,,,,,
-0.894442416,73.9990234375,-1.0066205367,74.4921875,-1.0206184961,74.3505859375,10,-36.0506897843,-6.9544688027,-39.5089024285,-6.9732954545,,,,,,,
-0.8926941947,73.92578125,-1.0077983096,74.5263671875,-1.0220765561,74.3212890625,11,-36.0962789186,-6.9584035975,-39.5698183809,-6.9698863636,,,,,,,
-0.8824659168,73.6439732143,-1.0074276857,74.501953125,-1.0216718048,74.35546875,12,-36.081932839,-6.9555930298,-39.5529083697,-6.9738636364,,,,,,,
-0.8889435938,73.8078962054,-1.0074564762,74.5751953125,-1.0216268413,74.365234375,13,-36.0830472606,-6.964024733,-39.5510298496,-6.975,,,,,,,
-0.8904186974,73.7081473214,-1.0071672291,74.599609375,-1.0212616719,74.326171875,14,-36.0718511047,-6.9668353007,-39.5357735237,-6.9704545455,,,,,,,
-0.8721622584,73.4326171875,-0.9536355577,74.5263671875,-0.9679435961,74.31640625,15,-33.9997516384,-6.9584035975,-37.308209927,-6.9693181818,,,,,,,
-0.5033816459,49.3031529018,-0.1307561664,34.5263671875,-0.1317618347,34.453125,16,-2.1478048237,-2.353569421,-2.3735649167,-2.3306818182,,,,,,,
-0.1661059218,31.9991629464,-0.2419326849,39.7216796875,-0.247208366,40.107421875,17,-6.4512162261,-2.951658235,-7.1967789294,-2.9886363636,,,,,,,
-0.3904958516,44.5061383929,-0.4416422419,44.208984375,-0.4510420639,44.7802734375,18,-14.1815570934,-3.4682405846,-15.7126999966,-3.5323863636,,,,,,,
-0.4358073247,46.1767578125,-0.4262865163,46.962890625,-0.4338036422,46.845703125,19,-13.5871689488,-3.7852726251,-14.9924999495,-3.7727272727,,,,,,,
-0.3902959509,41.3030133929,-0.540224088,51.513671875,-0.5504672632,50.849609375,20,-17.9974549644,-4.3091624508,-19.8665624717,-4.2386363636,,,,,,,
-0.3300724352,34.7732979911,-0.2314960534,33.662109375,-0.2361131389,33.3203125,21,-6.0472359628,-2.2540753232,-6.733233994,-2.1988636364,,,,,,,
-0.2148810451,26.0930524554,-0.1914645523,29.6875,-0.1934151661,29.2041015625,22,-4.497699959,-1.796514896,-4.9493652332,-1.7198863636,,,,,,,
-0.1724939832,21.5283203125,-0.1255956493,20.0927734375,-0.1273672194,20.2880859375,23,-1.94805196,-0.6919617763,-2.1899632992,-0.6823863636,,,,,,,
-0.1722647361,20.1032366071,-0.0937281074,19.1748046875,-0.0972253877,19.9609375,24,-0.7145258061,-0.5862844295,-0.9306746604,-0.6443181818,,,,,,,
-0.2027080006,22.4993024554,-0.0799734977,19.7265625,-0.0828101378,20.4296875,25,-0.1821135219,-0.6498032603,-0.3284232594,-0.6988636364,,,,,,,
-0.234447635,24.2229352679,-0.0887327367,22.2607421875,-0.0913551933,22.9736328125,26,-0.521165412,-0.9415401911,-0.6854251638,-0.9948863636,,,,,,,
-0.1667258916,19.0910993304,-0.1035705934,21.1279296875,-0.1062316637,21.2548828125,27,-1.095507934,-0.8111298482,-1.3069457881,-0.7948863636,,,,,,,
-0.1351648838,16.5318080357,-0.0978759012,22.5048828125,-0.1011747024,23.0126953125,28,-0.8750782631,-0.9696458685,-1.0956721699,-0.9994318182,,,,,,,
-0.1133704278,14.5535714286,-0.0967872571,20.5322265625,-0.100157633,21.083984375,29,-0.8329391182,-0.7425519955,-1.0531802601,-0.775,,,,,,,
-0.0991152635,12.4274553571,-0.0556647366,13.18359375,-0.0556068483,13.49609375,30,0.7588279731,0.1034288926,0.8080967008,0.1079545455,,,,,,,
-0.0928652644,11.8401227679,-0.2389440654,22.919921875,-0.2445305862,23.359375,31,-6.3355329902,-1.01742552,-7.0849045833,-1.0397727273,,,,,,,
-0.1240344801,15.1876395089,-0.079442928,15.9228515625,-0.0775325607,15.83984375,32,-0.1615762734,-0.2119168072,-0.1079325812,-0.1647727273,,,,,,,
-0.0885882945,11.8603515625,-0.081701119,17.8271484375,-0.0845603243,17.744140625,33,-0.2489861432,-0.4311410905,-0.4015438998,-0.3863636364,,,,,,,
-0.0923707683,12.2474888393,-0.0669523411,13.7646484375,-0.0695246316,14.560546875,34,0.3219083216,0.0365373806,0.2266288404,-0.0159090909,,,,,,,
-0.1131137102,14.7705078125,-0.0560409112,14.3359375,-0.0569410952,14.453125,35,0.7442670381,-0.0292299044,0.7523535053,-0.0034090909,,,,,,,
-0.1184235909,15.4164341518,-0.1792198802,28.5205078125,-0.1844723796,28.7255859375,36,-4.0237342151,-1.6621697583,-4.5757466214,-1.6642045455,,,,,,,
-0.1138337317,14.7112165179,-0.1249700426,18.5009765625,-0.1310840085,18.5205078125,37,-1.9238360273,-0.50871276,-2.3452461737,-0.4767045455,,,,,,,
-0.0894679372,12.1993582589,-0.1131617923,20.4150390625,-0.1177196267,20.6298828125,38,-1.4667632606,-0.7290612704,-1.7868987476,-0.7221590909,,,,,,,
-0.090062782,11.6957310268,-0.1096101086,22.24609375,-0.1136761882,22.98828125,39,-1.329284982,-0.9398538505,-1.617968864,-0.9965909091,,,,,,,
-0.086353345,11.6141183036,-0.0477459199,9.1650390625,-0.0487645597,9.384765625,40,1.0653488723,0.5660483418,1.0939590989,0.5863636364,,,,,,,
-0.0959400899,12.7915736607,-0.0551887591,13.8623046875,-0.0565457781,14.1943359375,41,0.7772520705,0.0252951096,0.768869369,0.0267045455,,,,,,,
-0.0967640135,12.8696986607,-0.0721034355,15.703125,-0.0746563499,15.810546875,42,0.1225201875,-0.1866216976,0.0122319655,-0.1613636364,,,,,,,
-0.1043494147,13.9885602679,-0.0739372583,19.23828125,-0.0763559001,19.6240234375,43,0.0515367308,-0.5935919056,-0.0587731512,-0.6051136364,,,,,,,
-0.088963168,12.1902901786,-0.3435560334,33.80859375,-0.3499441769,33.857421875,44,-10.3848443205,-2.2709387296,-11.4889546856,-2.2613636364,,,,,,,
-0.0945710472,12.5090680804,-0.0865900585,17.919921875,-0.0904964833,18.125,45,-0.4382268066,-0.4418212479,-0.6495493144,-0.4306818182,,,,,,,
-0.0929354224,12.3263113839,-0.0999238728,18.056640625,-0.1062434538,18.603515625,46,-0.9543509765,-0.4575604272,-1.307438365,-0.4863636364,,,,,,,
-0.1017452037,13.2003348214,-0.0695306989,15.8447265625,-0.0721674835,16.30859375,47,0.2221054615,-0.2029229904,0.1162137391,-0.2193181818,,,,,,,
-0.0912226647,12.3911830357,-0.0995978612,18.53515625,-0.10485856,18.9697265625,48,-0.9417317482,-0.5126475548,-1.249579208,-0.5289772727,,,,,,,
-0.0866912881,11.6810825893,-0.0465618873,9.9951171875,-0.0484599626,10.4443359375,49,1.1111803056,0.4704890388,1.1066847911,0.4630681818,,,,,,,
-0.0970678282,13.0008370536,-0.1514908139,26.6064453125,-0.1569506359,27.3828125,50,-2.950399828,-1.4418212479,-3.4259220363,-1.5079545455,,,,,,,
-0.099279589,13.5295758929,-0.1144491402,20.29296875,-0.1151871542,20.3662109375,51,-1.5165938127,-0.7150084317,-1.6810951606,-0.6914772727,,,,,,,
-0.0911990897,12.0591517857,-0.0485376706,9.9267578125,-0.0504688654,10.3515625,52,1.034701851,0.4783586284,1.0227553044,0.4738636364,,,,,,,
-0.0901865108,12.3883928571,-0.0962738853,18.10546875,-0.1001320845,18.1005859375,53,-0.8130675662,-0.4631815627,-1.0521128769,-0.4278409091,,,,,,,
-0.0854477037,11.8519810268,-0.0690908924,15.2392578125,-0.0698361441,15.6591796875,54,0.2391294572,-0.1332209106,0.2136142315,-0.14375,,,,,,,
