optrew,optER,valrew,valER,testrew,testER,epoch,norm val rew,norm val er,norm test rew,norm test ER
,,,,,,,,,,
-0.6493958682,54.9225725446,-0.4882900611,42.3046875,-0.4867884208,42.96875,1,-12.9056347474,-3.0857763301,-13.9454714677,-3.2512534819
-0.4228903702,39.7816685268,-0.3499388848,36.171875,-0.3464725174,35.9912109375,2,-8.5405056476,-2.4039087948,-9.1645917848,-2.4551532033
-0.2704718853,29.8590959821,-0.2131056577,26.1767578125,-0.2123736337,26.2255859375,3,-4.2232694869,-1.292616721,-4.5955399998,-1.3409470752
-0.1796600897,22.5104631696,-0.102288415,15.1171875,-0.0980307286,14.892578125,4,-0.7268657428,-0.0629750271,-0.6996190195,-0.0479108635
-0.1374912894,16.1732700893,-0.4539782304,41.2060546875,-0.4385353096,41.1669921875,5,-11.8230594176,-2.9636264929,-12.301379007,-3.0456824513
-0.3365812351,34.2940848214,-0.2973659312,30.966796875,-0.2853396134,30.3173828125,6,-6.8817721596,-1.8251900109,-7.0816556992,-1.8077994429
-0.2318189155,27.9987444196,-0.201073342,26.30859375,-0.1976037398,25.7421875,7,-3.843636926,-1.3072747014,-4.0922963624,-1.2857938719
-0.1886746661,24.4559151786,-0.1581029941,21.9873046875,-0.153114674,21.8505859375,8,-2.4878760215,-0.8268186754,-2.5764534258,-0.8417827298
-0.1514909262,21.1376953125,-0.1236771883,18.369140625,-0.1267957948,18.0859375,9,-1.4017046521,-0.4245385451,-1.6797097811,-0.4122562674
-0.1103620884,15.4359654018,-0.104192741,14.3505859375,-0.1000707924,13.8232421875,10,-0.7869492865,0.0222584148,-0.7691286007,0.0740947075
-0.1592373654,21.3825334821,-0.2061360639,26.46484375,-0.2066747563,26.337890625,11,-4.0033712707,-1.3246471227,-4.4013663782,-1.3537604457
-0.1900606244,24.84375,-0.1545511039,21.0009765625,-0.1518062125,20.99609375,12,-2.3758100468,-0.717155266,-2.531871189,-0.7442896936
-0.1233830381,17.1861049107,-0.1052268025,13.75,-0.1017508957,13.5498046875,13,-0.8195750418,0.0890336591,-0.8263735115,0.1052924791
