optrew,optER,valrew,valER,testrew,testER,epoch,norm val rew,norm val er,norm test rew,norm test ER,,,,,,,
,,,,,,,,,,,,,,,,,
-0.6613056428,62.1023995536,-0.9988259189,74.638671875,-1.0021996379,73.9404296875,1,-33.2579108606,-6.7195853792,-35.0512033937,-7.0679332182,,,,,,,
-0.873024357,73.0984933036,-0.9987080276,74.765625,-1.001870621,74.0771484375,2,-33.2536612733,-6.7337697763,-35.0387896827,-7.0840529649,,,,,,,
-0.8774742554,73.1159319196,-1.0002621487,74.7998046875,-1.0037129641,74.08203125,3,-33.3096821519,-6.7375886525,-35.1083007467,-7.0846286701,,,,,,,
-0.8814282058,73.3377511161,-0.9996762671,74.7998046875,-1.003026861,74.12109375,4,-33.2885630746,-6.7375886525,-35.0824142775,-7.089234312,,,,,,,
-0.8860889398,73.4940011161,-1.0045464329,74.82421875,-1.0081482172,74.1015625,5,-33.4641163026,-6.7403164212,-35.2756415483,-7.0869314911,,,,,,,
-0.8914091112,73.6446707589,-1.0048890598,74.8291015625,-1.0084717616,74.130859375,6,-33.4764668578,-6.7408619749,-35.2878487854,-7.0903857225,,,,,,,
-0.8926302791,73.6795479911,-1.0048089147,74.814453125,-1.0084230363,74.1015625,7,-33.4735778926,-6.7392253137,-35.2860103938,-7.0869314911,,,,,,,
-0.8945964922,73.7667410714,-1.0046377711,74.82421875,-1.0083143279,74.140625,8,-33.4674087383,-6.7403164212,-35.2819088562,-7.091537133,,,,,,,
-0.8979310976,73.9536830357,-1.0042035349,74.8583984375,-1.0080367304,74.0771484375,9,-33.4517559714,-6.7441352973,-35.2714351855,-7.0840529649,,,,,,,
-0.8942692773,73.7904575893,-1.0041725695,74.86328125,-1.0080165036,74.0771484375,10,-33.4506397736,-6.7446808511,-35.2706720328,-7.0840529649,,,,,,,
-0.898158171,73.9229910714,-1.0054336406,74.8291015625,-1.0087835394,74.130859375,11,-33.496097179,-6.7408619749,-35.2996120682,-7.0903857225,,,,,,,
-0.8975448073,73.8267299107,-1.0042667195,74.86328125,-1.0080771439,74.0673828125,12,-33.4540335671,-6.7446808511,-35.2729599727,-7.0829015544,,,,,,,
-0.8978046525,73.8309151786,-1.0031846762,74.8974609375,-1.0073548257,73.9990234375,13,-33.4150295152,-6.7484997272,-35.2457071208,-7.0748416811,,,,,,,
-0.8997186778,73.9111328125,-1.0020359784,74.8193359375,-1.0065548472,73.9794921875,14,-33.3736227952,-6.7397708674,-35.2155241654,-7.0725388601,,,,,,,
-0.8969160978,73.857421875,-1.0022962049,74.8046875,-1.0067355521,74.0087890625,15,-33.3830030896,-6.7381342062,-35.222342108,-7.0759930915,,,,,,,
-0.8941729595,73.8909040179,-1.0027068749,74.814453125,-1.0070210487,73.9892578125,16,-33.3978063742,-6.7392253137,-35.2331138097,-7.0736902706,,,,,,,
-0.8937623622,73.8483537946,-1.0024893314,74.8291015625,-1.0068688467,74.0087890625,17,-33.3899646554,-6.7408619749,-35.2273712747,-7.0759930915,,,,,,,
-0.8953119759,73.9285714286,-1.0041435227,74.8486328125,-1.0079971693,74.072265625,18,-33.4495927322,-6.7430441899,-35.269942557,-7.0834772596,,,,,,,
-0.8971488567,73.8427734375,-1.0047554754,74.814453125,-1.0083896041,74.1162109375,19,-33.4716515846,-6.7392253137,-35.284749005,-7.0886586068,,,,,,,
-0.8987254593,73.798828125,-1.00390485,74.86328125,-1.0078396082,74.072265625,20,-33.4409893798,-6.7446808511,-35.2639978209,-7.0834772596,,,,,,,
-0.895851218,73.7834821429,-1.0054883361,74.853515625,-1.0088138841,74.1259765625,21,-33.4980687677,-6.7435897436,-35.3007569658,-7.0898100173,,,,,,,
-0.8999443926,73.9236886161,-1.0054053821,74.853515625,-1.0087676153,74.111328125,22,-33.4950785521,-6.7435897436,-35.2990112556,-7.0880829016,,,,,,,
-0.8977262673,73.896484375,-1.0054976694,74.84375,-1.0088190161,74.1357421875,23,-33.4984052035,-6.7424986361,-35.3009505931,-7.0909614277,,,,,,,
-0.8994595026,73.8929966518,-1.0053684287,74.84375,-1.0087466598,74.0869140625,24,-33.4937465058,-6.7424986361,-35.2982206106,-7.0852043754,,,,,,,
-0.8997602103,73.8113839286,-1.0048678689,74.82421875,-1.008459039,74.1162109375,25,-33.4757029951,-6.7403164212,-35.287368765,-7.0886586068,,,,,,,
-0.8956333175,73.8288225446,-1.0032263666,74.892578125,-1.0073839448,73.9892578125,26,-33.4165323175,-6.7479541735,-35.246805776,-7.0736902706,,,,,,,
-0.8963565336,73.7855747768,-1.0040728882,74.8388671875,-1.0079501756,74.072265625,27,-33.4470465947,-6.7419530824,-35.268169495,-7.0834772596,,,,,,,
-0.8970742576,73.8511439732,-1.0039851047,74.84375,-1.0078926153,74.0966796875,28,-33.443882293,-6.7424986361,-35.2659977653,-7.0863557858,,,,,,,
-0.89408582,73.720703125,-1.0033180952,74.892578125,-1.0074479081,74.0234375,29,-33.4198388263,-6.7479541735,-35.2492190901,-7.0777202073,,,,,,,
-0.8943569065,73.7409319196,-1.0038544796,74.86328125,-1.0078062847,74.0673828125,30,-33.4391736952,-6.7446808511,-35.2627405362,-7.0829015544,,,,,,,
-0.8929466781,73.8588169643,-1.0024146385,74.873046875,-1.0064491153,74.0576171875,31,-33.3872722287,-6.7457719585,-35.2115349305,-7.0817501439,,,,,,,
-0.8940914634,73.7911551339,-1.0013637953,74.66796875,-1.0056977101,73.779296875,32,-33.3493928345,-6.7228587016,-35.1831846321,-7.0489349453,,,,,,,
-0.8950037289,73.7346540179,-1.0021108493,74.84375,-1.0062098816,74.0625,33,-33.3763216408,-6.7424986361,-35.2025087141,-7.0823258492,,,,,,,
-0.8929369513,73.5588727679,-1.0013857938,74.6630859375,-1.0057129413,73.7841796875,34,-33.3501858101,-6.7223131478,-35.1837593017,-7.0495106505,,,,,,,
-0.8887637792,73.41796875,-1.0003983893,74.6533203125,-1.0051179469,73.9501953125,35,-33.3145931698,-6.7212220404,-35.1613103363,-7.0690846287,,,,,,,
-0.8881094173,73.4005301339,-1.002302058,74.82421875,-1.0066541508,74.013671875,36,-33.383214077,-6.7403164212,-35.2192708602,-7.0765687968,,,,,,,
-0.8888336165,73.4151785714,-1.0029651023,74.8583984375,-1.0072009303,74.00390625,37,-33.4071146116,-6.7441352973,-35.2399006899,-7.0754173863,,,,,,,
-0.8887076781,73.6558314732,-1.0000955306,74.8291015625,-1.0051362067,74.0771484375,38,-33.3036761261,-6.7408619749,-35.1619992763,-7.0840529649,,,,,,,
-0.8853785762,73.5672433036,-0.9996736042,74.8681640625,-1.0048589513,74.140625,39,-33.2884670882,-6.7452264048,-35.1515385085,-7.091537133,,,,,,,
-0.8843702596,73.5232979911,-0.9987974882,74.814453125,-1.004162699,74.12109375,40,-33.2568860298,-6.7392253137,-35.1252691137,-7.089234312,,,,,,,
-0.8863469663,73.5016741071,-0.9985456713,74.6142578125,-1.0035830669,73.8818359375,41,-33.2478088688,-6.7168576105,-35.1033997654,-7.0610247553,,,,,,,
-0.8764835562,73.1884765625,-0.9917684555,74.267578125,-0.9965177536,73.6962890625,42,-33.0035128571,-6.6781232951,-34.8368275642,-7.0391479562,,,,,,,
-0.8291109431,71.357421875,-0.9817348398,72.4267578125,-0.9864731357,72.08984375,43,-32.6418344949,-6.4724495363,-34.4578470717,-6.8497409326,,,,,,,
-0.8179596803,69.6763392857,-0.9806338996,72.1875,-0.9855335094,71.8701171875,44,-32.6021492726,-6.4457174032,-34.4223952487,-6.8238341969,,,,,,,
-0.701678736,63.5330636161,-0.6926483825,63.5546875,-0.6860219091,63.466796875,45,-22.2212324131,-5.4811783961,-23.1219103202,-5.8330454807,,,,,,,
-0.5510751423,55.6138392857,-0.5992617324,58.8818359375,-0.6044128541,58.7451171875,46,-18.8549553165,-4.9590834697,-20.0428245836,-5.2763385147,,,,,,,
-0.6276083664,61.9949776786,-0.5800466273,63.9111328125,-0.5872254949,63.349609375,47,-18.1623149,-5.5210038189,-19.3943505571,-5.819228555,,,,,,,
-0.4641989014,53.3614676339,-0.2826265907,40.8544921875,-0.2812003013,40.9130859375,48,-7.4413150956,-2.9448990726,-7.84810966,-3.1738629822,,,,,,,
-0.1989065838,32.1414620536,-0.1387442429,25.17578125,-0.1366733256,24.931640625,49,-2.2548366036,-1.1931260229,-2.3951492102,-1.2895797352,,,,,,,
-0.1296545307,24.9337332589,-0.1395468689,27.236328125,-0.136891936,26.6162109375,50,-2.2837685923,-1.4233496999,-2.403397319,-1.4881980426,,,,,,,
-0.1898460966,25.3738839286,-0.2446156919,27.119140625,-0.2453198718,27.1435546875,51,-6.0711490397,-1.4102564103,-6.4943515677,-1.5503742084,,,,,,,
-0.144426307,22.5816127232,-0.2135854935,30.05859375,-0.2169589398,30.556640625,52,-4.9526139387,-1.73867976,-5.4243019145,-1.9527921704,,,,,,,
-0.1477200704,24.7000558036,-0.1362181608,24.0771484375,-0.1339114895,23.73046875,53,-2.1637797737,-1.0703764321,-2.2909459444,-1.1479562464,,,,,,,
-0.1967442928,29.3875558036,-0.1951163305,31.5771484375,-0.1922224043,30.9033203125,54,-4.2868622445,-1.9083469722,-4.4909996754,-1.9936672424,,,,,,,
-0.2029711439,29.4203404018,-0.1534507032,20.8984375,-0.1446904951,20.546875,55,-2.7849554205,-0.7152209493,-2.6976346665,-0.7725964306,,,,,,,
-0.2740806892,35.5873325893,-0.2478624964,37.98828125,-0.248428042,37.8076171875,56,-6.1881855075,-2.6246590289,-6.6116219209,-2.8077144502,,,,,,,
-0.2872239252,35.9981863839,-0.1890391454,36.40625,-0.1845507909,35.9326171875,57,-4.0678000022,-2.4478996181,-4.2015519483,-2.5866436385,,,,,,,
-0.318795748,38.3517020089,-0.2462468952,31.4697265625,-0.2502352469,31.416015625,58,-6.1299484749,-1.89634479,-6.6798072293,-2.0541162925,,,,,,,
-0.2888975088,36.4655412946,-0.2914922765,30.654296875,-0.291797881,30.3076171875,59,-7.7608934817,-1.8052373159,-8.2479532387,-1.9234312032,,,,,,,
-0.2419643425,30.8649553571,-0.1267659072,21.337890625,-0.1293287789,21.9482421875,60,-1.8230575751,-0.7643207856,-2.1180416175,-0.9378238342,,,,,,,
-0.2909151889,34.6086774554,-0.1603632485,31.5185546875,-0.1607003565,31.6650390625,61,-3.0341296142,-1.9018003273,-3.3016820472,-2.0834772596,,,,,,,
-0.2509778213,31.4815848214,-0.144690029,29.8828125,-0.1481391333,30.0439453125,62,-2.4691623539,-1.7190398254,-2.8277507764,-1.8923431203,,,,,,,
-0.1574250378,20.3138950893,-0.0729116292,20.1416015625,-0.0736140439,19.990234375,63,0.1182094293,-0.63066012,-0.0159409885,-0.7069660334,,,,,,,
-0.1580338467,20.0920758929,-0.0788761312,21.9384765625,-0.0820399397,21.8798828125,64,-0.0967909635,-0.8314238953,-0.3338475658,-0.9297639609,,,,,,,
-0.1769789641,21.4955357143,-0.0874504771,20.6298828125,-0.0880310145,20.87890625,65,-0.405867518,-0.6852154937,-0.5598890651,-0.8117443869,,,,,,,
-0.1950043527,23.0210658482,-0.1509895097,34.39453125,-0.1524519982,34.521484375,66,-2.6962376113,-2.2231314785,-2.9904739047,-2.4202648244,,,,,,,
-0.1988530686,21.7173549107,-0.1439818481,29.82421875,-0.1441874686,29.5654296875,67,-2.443634794,-1.7124931806,-2.6786556237,-1.8359240069,,,,,,,
-0.147697568,18.7716238839,-0.5520677701,49.462890625,-0.5500514627,49.2626953125,68,-17.1537704645,-3.906710311,-17.9917852113,-4.1583189407,,,,,,,
-0.1575195156,19.1329520089,-0.5655978948,50.8642578125,-0.5638677824,50.8447265625,69,-17.6414863096,-4.0632842335,-18.5130709087,-4.3448474381,,,,,,,
-0.1785051421,21.1725725446,-0.1759895891,30.6689453125,-0.176666084,30.6396484375,70,-3.5974070445,-1.8068739771,-3.9040642694,-1.9625791595,,,,,,,
-0.1812838715,21.240234375,-0.5752653949,52.01171875,-0.5733942706,51.8408203125,71,-17.9899674273,-4.1914893617,-18.8725025168,-4.4622913069,,,,,,,
-0.2002972223,22.3018973214,-0.1330731735,29.9560546875,-0.1331872101,29.3212890625,72,-2.0504134766,-1.7272231315,-2.2636190943,-1.807138745,,,,,,,
