optrew,optER,valrew,valER,testrew,testER,epoch,norm val rew,norm val er,norm test rew,norm test ER,,,,,,,
,,,,,,,,,,,,,,,,,
-3.9476513275,99.1524832589,-4.981842792,99.7705078125,-4.9989229739,99.736328125,1,-1.2361666442,-0.5587529976,-1.2616013805,-0.5242641209,,,,,,,
-5.4205661041,99.775390625,-5.336541903,99.8291015625,-5.3702670574,99.8388671875,2,-1.5598827118,-0.5683453237,-1.6077864367,-0.5409705648,,,,,,,
-5.5042103299,99.7984095982,-5.3486353934,99.82421875,-5.3800314486,99.833984375,3,-1.5709198332,-0.5675459632,-1.6168892781,-0.5401750199,,,,,,,
-5.5755984962,99.7921316964,-5.3601915002,99.814453125,-5.3897816896,99.8291015625,4,-1.5814665116,-0.5659472422,-1.6259789281,-0.5393794749,,,,,,,
-5.5360512631,99.8158482143,-5.3374962389,99.8046875,-5.3674688935,99.8291015625,5,-1.5607536863,-0.5643485212,-1.6051778519,-0.5393794749,,,,,,,
-5.5268028123,99.8025948661,-5.3334455073,99.8046875,-5.3630575061,99.8291015625,6,-1.5570567869,-0.5643485212,-1.6010653415,-0.5393794749,,,,,,,
-5.5462933668,99.8263113839,-5.3287337005,99.794921875,-5.3586147428,99.8291015625,7,-1.5527565574,-0.5627498002,-1.596923581,-0.5393794749,,,,,,,
-5.5307308955,99.8102678571,-5.337705797,99.7998046875,-5.3662782371,99.82421875,8,-1.5609449393,-0.5635491607,-1.604067864,-0.53858393,,,,,,,
-5.5359085688,99.7977120536,-5.3118428767,99.794921875,-5.3413149178,99.8193359375,9,-1.5373411507,-0.5627498002,-1.5807958408,-0.537788385,,,,,,,
-5.5233165094,99.8060825893,-5.2968014598,99.78515625,-5.3259393394,99.82421875,10,-1.5236136048,-0.5611510791,-1.5664619772,-0.53858393,,,,,,,
-5.5013120438,99.8214285714,-5.283274579,99.78515625,-5.3125778854,99.82421875,11,-1.5112683,-0.5611510791,-1.5540057784,-0.53858393,,,,,,,
-5.4919616648,99.8032924107,-5.276030165,99.7900390625,-5.3056461096,99.82421875,12,-1.504656687,-0.5619504396,-1.5475436391,-0.53858393,,,,,,,
-5.4618092409,99.8165457589,-5.2601241708,99.7802734375,-5.2907256484,99.82421875,13,-1.4901400849,-0.5603517186,-1.5336340579,-0.53858393,,,,,,,
-5.4656307612,99.8018973214,-5.2631898344,99.7802734375,-5.2925902128,99.8291015625,14,-1.4929379621,-0.5603517186,-1.5353722957,-0.5393794749,,,,,,,
-5.4676000672,99.8193359375,-5.2626437187,99.7802734375,-5.2919238985,99.8291015625,15,-1.4924395497,-0.5603517186,-1.534751125,-0.5393794749,,,,,,,
-5.471768856,99.8102678571,-5.263100189,99.78515625,-5.2910725713,99.82421875,16,-1.4928561472,-0.5611510791,-1.5339574763,-0.53858393,,,,,,,
-5.4633470918,99.8123604911,-5.2490472794,99.78515625,-5.2773152351,99.8291015625,17,-1.4800307623,-0.5611510791,-1.5211322169,-0.5393794749,,,,,,,
-5.471821974,99.8165457589,-5.2384008229,99.8046875,-5.2670195878,99.84375,18,-1.470314276,-0.5643485212,-1.5115341126,-0.5417661098,,,,,,,
-5.4687105043,99.8102678571,-5.2384327054,99.7998046875,-5.2687493861,99.8486328125,19,-1.4703433736,-0.5635491607,-1.5131467149,-0.5425616547,,,,,,,
-5.4512831169,99.8130580357,-5.2286205232,99.7998046875,-5.2582264841,99.8486328125,20,-1.4613882877,-0.5635491607,-1.5033367527,-0.5425616547,,,,,,,
-5.4257826567,99.8179408482,-5.2315763354,99.7998046875,-5.2620495021,99.84375,21,-1.464085909,-0.5635491607,-1.5069007565,-0.5417661098,,,,,,,
-5.4451116068,99.8102678571,-5.2250324965,99.7998046875,-5.2558602631,99.84375,22,-1.4581136758,-0.5635491607,-1.5011308462,-0.5417661098,,,,,,,
-5.4564651404,99.8046875,-5.2151223183,99.7998046875,-5.2451601267,99.8486328125,23,-1.4490691538,-0.5635491607,-1.4911556574,-0.5425616547,,,,,,,
-5.448590907,99.8116629464,-5.2104437828,99.814453125,-5.2394702077,99.8486328125,24,-1.4447992894,-0.5659472422,-1.4858512376,-0.5425616547,,,,,,,
-5.422570507,99.8235212054,-5.2125103414,99.814453125,-5.2429051638,99.8486328125,25,-1.4466853337,-0.5659472422,-1.4890534711,-0.5425616547,,,,,,,
-5.4253085639,99.8228236607,-5.2079467177,99.814453125,-5.2367268622,99.8486328125,26,-1.4425203435,-0.5659472422,-1.4832937572,-0.5425616547,,,,,,,
-5.404024647,99.8102678571,-5.2017294109,99.814453125,-5.2299201131,99.8486328125,27,-1.4368461198,-0.5659472422,-1.4769481739,-0.5425616547,,,,,,,
-5.415456295,99.8221261161,-5.1985058904,99.8193359375,-5.2275036931,99.833984375,28,-1.4339041745,-0.5667466027,-1.4746954694,-0.5401750199,,,,,,,
-5.4083505733,99.8011997768,-5.1991101027,99.8193359375,-5.2280028403,99.8388671875,29,-1.4344556087,-0.5667466027,-1.4751607987,-0.5409705648,,,,,,,
-5.415849225,99.8221261161,-5.1956776083,99.82421875,-5.2252980828,99.82421875,30,-1.4313229434,-0.5675459632,-1.4726392919,-0.53858393,,,,,,,
-5.3986796439,99.8304966518,-5.1932887495,99.8193359375,-5.2204673886,99.8095703125,31,-1.4291427519,-0.5667466027,-1.4681358833,-0.5361972951,,,,,,,
-5.4002138717,99.8221261161,-5.1856069505,99.8095703125,-5.2162783086,99.7998046875,32,-1.4221319598,-0.5651478817,-1.4642306188,-0.5346062053,,,,,,,
-5.4023162723,99.8116629464,-5.2027412176,99.814453125,-5.2303726494,99.7900390625,33,-1.437769545,-0.5659472422,-1.4773700503,-0.5330151154,,,,,,,
-5.4198475455,99.8158482143,-5.1999861717,99.8095703125,-5.227454561,99.794921875,34,-1.4352551529,-0.5651478817,-1.474649666,-0.5338106603,,,,,,,
-5.4020029366,99.7970145089,-5.1983578682,99.8046875,-5.2256357491,99.7998046875,35,-1.433769082,-0.5643485212,-1.4729540809,-0.5346062053,,,,,,,
-5.425744422,99.8304966518,-5.197478807,99.8046875,-5.2247659802,99.8046875,36,-1.432966807,-0.5643485212,-1.47214324,-0.5354017502,,,,,,,
-5.4138967148,99.8123604911,-5.1982676744,99.7998046875,-5.2253992617,99.794921875,37,-1.4336867667,-0.5635491607,-1.4727336158,-0.5338106603,,,,,,,
-5.4031458412,99.8291015625,-5.1974675894,99.8095703125,-5.2245064139,99.7900390625,38,-1.4329565693,-0.5651478817,-1.4719012596,-0.5330151154,,,,,,,
-5.3969343007,99.8165457589,-5.194259733,99.8095703125,-5.2212841094,99.7900390625,39,-1.4300289198,-0.5651478817,-1.4688972702,-0.5330151154,,,,,,,
-5.394703699,99.8263113839,-5.1936613798,99.8046875,-5.2206547439,99.794921875,40,-1.4294828329,-0.5643485212,-1.4683105451,-0.5338106603,,,,,,,
-5.4012536287,99.8186383929,-5.1912734747,99.7998046875,-5.2182043433,99.794921875,41,-1.4273035118,-0.5635491607,-1.4660261622,-0.5338106603,,,,,,,
-5.4065327321,99.8130580357,-5.1907883644,99.7998046875,-5.2176560581,99.794921875,42,-1.426860776,-0.5635491607,-1.4655150239,-0.5338106603,,,,,,,
-5.4041351378,99.8277064732,-5.189227891,99.8046875,-5.2159133434,99.794921875,43,-1.4254366103,-0.5643485212,-1.4638903804,-0.5338106603,,,,,,,
-5.4120287478,99.82421875,-5.187816292,99.7900390625,-5.214505142,99.7998046875,44,-1.4241483148,-0.5619504396,-1.4625775864,-0.5346062053,,,,,,,
-5.4001878713,99.8270089286,-5.1863798976,99.794921875,-5.2130078733,99.794921875,45,-1.4228373897,-0.5627498002,-1.4611817595,-0.5338106603,,,,,,,
-5.4039768168,99.8235212054,-5.1881903887,99.775390625,-5.214799118,99.7998046875,46,-1.424489734,-0.5595523581,-1.4628516452,-0.5346062053,,,,,,,
-5.403364024,99.8025948661,-5.1873908579,99.775390625,-5.2139456511,99.8046875,47,-1.4237600425,-0.5595523581,-1.4620560017,-0.5354017502,,,,,,,
-5.4303035361,99.8297991071,-5.1900779068,99.7802734375,-5.2166913152,99.794921875,48,-1.4262123771,-0.5603517186,-1.4646156436,-0.5338106603,,,,,,,
-5.4132259624,99.8207310268,-5.1834250689,99.775390625,-5.2100685,99.8046875,49,-1.4201406659,-0.5595523581,-1.4584415325,-0.5354017502,,,,,,,
-5.393582826,99.8193359375,-5.1810056031,99.7802734375,-5.2073953688,99.7998046875,50,-1.417932541,-0.5603517186,-1.4559495093,-0.5346062053,,,,,,,
-5.3625936781,99.8137555804,-5.1786079109,99.78515625,-5.2053347111,99.794921875,51,-1.4157442877,-0.5611510791,-1.4540284637,-0.5338106603,,,,,,,
-5.4148636622,99.8304966518,-5.1674238324,99.7802734375,-5.1952352941,99.7900390625,52,-1.4055371409,-0.5603517186,-1.4446132949,-0.5330151154,,,,,,,
-5.4087147049,99.8137555804,-5.1730173588,99.7802734375,-5.201566112,99.7900390625,53,-1.4106420716,-0.5603517186,-1.4505151919,-0.5330151154,,,,,,,
-5.4122434037,99.8263113839,-5.1523501098,99.7802734375,-5.1785471499,99.794921875,54,-1.3917801112,-0.5603517186,-1.4290557933,-0.5338106603,,,,,,,
-5.3803792213,99.8172433036,-5.1786079586,99.7802734375,-5.204864037,99.794921875,55,-1.4157443313,-0.5603517186,-1.4535896784,-0.5338106603,,,,,,,
-5.394819263,99.8200334821,-5.1520312488,99.7802734375,-5.1785323501,99.7900390625,56,-1.3914891028,-0.5603517186,-1.4290419962,-0.5330151154,,,,,,,
-5.3646366136,99.8256138393,-5.149614203,99.78515625,-5.1746320784,99.7900390625,57,-1.3892831864,-0.5611510791,-1.4254059729,-0.5330151154,,,,,,,
-5.3978769379,99.8256138393,-5.1842513204,99.78515625,-5.2105710864,99.7900390625,58,-1.4208947442,-0.5611510791,-1.458910068,-0.5330151154,,,,,,,
-5.4225922499,99.8284040179,-5.1871024191,99.7900390625,-5.2136008084,99.78515625,59,-1.4234967989,-0.5619504396,-1.4617345225,-0.5322195704,,,,,,,
-5.3909954131,99.8311941964,-5.1764057636,99.7900390625,-5.2009126484,99.794921875,60,-1.4137344985,-0.5619504396,-1.4499060013,-0.5338106603,,,,,,,
-5.4050718299,99.8332868304,-5.1720621467,99.7900390625,-5.1976622939,99.7900390625,61,-1.4097702974,-0.5619504396,-1.4468758624,-0.5330151154,,,,,,,
-5.3988496729,99.8165457589,-5.1503349483,99.7900390625,-5.1753200471,99.794921875,62,-1.3899409745,-0.5619504396,-1.4260473308,-0.5338106603,,,,,,,
-5.3892665718,99.8297991071,-5.0889435291,99.7900390625,-5.1224325657,99.794921875,63,-1.333912109,-0.5619504396,-1.3767430426,-0.5338106603,,,,,,,
-5.3687642029,99.8263113839,-5.1855312228,99.7900390625,-5.2131652832,99.794921875,64,-1.4220628469,-0.5619504396,-1.4613285047,-0.5338106603,,,,,,,
-5.3787942486,99.8235212054,-5.1405734837,99.78515625,-5.1713146269,99.7900390625,65,-1.3810321759,-0.5611510791,-1.4223132829,-0.5330151154,,,,,,,
-5.3799489737,99.8270089286,-5.1398926377,99.78515625,-5.1675335228,99.7900390625,66,-1.380410802,-0.5611510791,-1.4187883533,-0.5330151154,,,,,,,
-5.344304932,99.8325892857,-5.1387320757,99.7900390625,-5.1676112592,99.794921875,67,-1.3793516153,-0.5619504396,-1.418860823,-0.5338106603,,,,,,,
-5.3863573347,99.8130580357,-5.167049706,99.78515625,-5.1950126648,99.794921875,68,-1.4051956945,-0.5611510791,-1.444405749,-0.5338106603,,,,,,,
-5.3759049262,99.8277064732,-5.0787945092,99.78515625,-5.0966580331,99.7900390625,69,-1.3246496081,-0.5611510791,-1.3527147669,-0.5330151154,,,,,,,
-5.3538672898,99.8207310268,-5.143314451,99.78515625,-5.1682252049,99.794921875,70,-1.3835337191,-0.5611510791,-1.4194331731,-0.5338106603,,,,,,,
-5.3835325105,99.8360770089,-5.1484450638,99.7900390625,-5.1757359743,99.794921875,71,-1.3882161719,-0.5619504396,-1.4264350784,-0.5338106603,,,,,,,
-5.3598736797,99.814453125,-5.1564001143,99.78515625,-5.1818294704,99.794921875,72,-1.395476347,-0.5611510791,-1.4321157325,-0.5338106603,,,,,,,
-5.3869427621,99.8221261161,-5.1313485503,99.78515625,-5.1508660674,99.7900390625,73,-1.3726130425,-0.5611510791,-1.4032501389,-0.5330151154,,,,,,,
-5.3753659836,99.8067801339,-5.1167461991,99.7802734375,-5.1371759236,99.794921875,74,-1.3592862098,-0.5603517186,-1.3904875195,-0.5338106603,,,,,,,
-5.3726894685,99.8318917411,-5.1699854851,99.7802734375,-5.1917900085,99.7900390625,75,-1.4078750327,-0.5603517186,-1.4414014317,-0.5330151154,,,,,,,
-5.3941468443,99.82421875,-5.1749826431,99.7802734375,-5.1983819067,99.7900390625,76,-1.4124356879,-0.5603517186,-1.4475467205,-0.5330151154,,,,,,,
-5.3717287345,99.8388671875,-5.1390800714,99.7802734375,-5.1587526739,99.794921875,77,-1.3796692136,-0.5603517186,-1.4106024179,-0.5338106603,,,,,,,
-5.3621263811,99.8039899554,-5.1658387959,99.7802734375,-5.1890154302,99.7900390625,78,-1.4040905577,-0.5603517186,-1.4388148345,-0.5330151154,,,,,,,
-5.380645138,99.8416573661,-5.1614328504,99.7802734375,-5.1842975259,99.7900390625,79,-1.4000694724,-0.5603517186,-1.4344165741,-0.5330151154,,,,,,,
