optrew,optER,valrew,valER,testrew,testER,epoch,norm val rew,norm val er,norm test rew,norm test ER,,,,,,,
,,,,,,,,,,,,,,,,,
-0.1141060779,32.1037946429,-0.1859045191,47.5,-0.1845644895,47.1240234375,1,-7.4022207869,-5.3333333333,-7.0490992319,-5.254698639,,,,,,,
-0.1771544228,46.3225446429,-0.1862296157,47.7587890625,-0.1849836588,47.4609375,2,-7.4169139923,-5.3678385417,-7.067379754,-5.2994167207,,,,,,,
-0.1782903482,46.6224888393,-0.1863167042,47.802734375,-0.185041818,47.48046875,3,-7.4208500831,-5.3736979167,-7.0699161543,-5.3020090732,,,,,,,
-0.1782555734,46.6155133929,-0.1863204714,47.8076171875,-0.1850489371,47.48046875,4,-7.4210203471,-5.3743489583,-7.0702266246,-5.3020090732,,,,,,,
-0.1793534365,46.71875,-0.186306232,47.822265625,-0.1850264508,47.4609375,5,-7.4203767787,-5.3763020833,-7.0692459708,-5.2994167207,,,,,,,
-0.1792644076,46.6608537946,-0.186379914,47.79296875,-0.1851780895,47.4072265625,6,-7.4237069402,-5.3723958333,-7.0758591327,-5.2922877511,,,,,,,
-0.178127864,46.3406808036,-0.1181559349,33.92578125,-0.116152919,33.671875,7,-4.3402265722,-3.5234375,-4.0655809987,-3.4692158134,,,,,,,
-0.1765744722,46.0951450893,-0.186378864,47.79296875,-0.1851748161,47.412109375,8,-7.4236594852,-5.3723958333,-7.0757163748,-5.2929358393,,,,,,,
-0.1789619857,46.5269252232,-0.186381216,47.802734375,-0.1851824643,47.3876953125,9,-7.4237657855,-5.3736979167,-7.0760499232,-5.2896953986,,,,,,,
-0.1662151875,43.994140625,-0.1846667839,47.6123046875,-0.1836468957,47.0849609375,10,-7.3462795753,-5.3483072917,-7.0090817656,-5.2495139339,,,,,,,
-0.1787537888,46.3846261161,-0.1863832816,47.8076171875,-0.1851900246,47.412109375,11,-7.4238591466,-5.3743489583,-7.0763796374,-5.2929358393,,,,,,,
-0.1746387633,45.8154296875,-0.1863593848,47.79296875,-0.1851407705,47.392578125,12,-7.4227790962,-5.3723958333,-7.074231601,-5.2903434867,,,,,,,
-0.1785415356,46.4857700893,-0.1863572249,47.802734375,-0.1851356084,47.4072265625,13,-7.4226814754,-5.3736979167,-7.0740064735,-5.2922877511,,,,,,,
-0.1787155177,46.4808872768,-0.1863751702,47.8076171875,-0.1851902636,47.412109375,14,-7.4234925381,-5.3743489583,-7.0763900595,-5.2929358393,,,,,,,
-0.1777727675,46.1921037946,-0.1863583526,47.8125,-0.1851541286,47.392578125,15,-7.4227324409,-5.375,-7.0748141672,-5.2903434867,,,,,,,
-0.1782129595,46.2451171875,-0.1863179179,47.7978515625,-0.185099333,47.3583984375,16,-7.420904938,-5.373046875,-7.0724244564,-5.2858068697,,,,,,,
-0.148843381,40.1185825893,-0.0267288112,11.6552734375,-0.0271890797,12.0849609375,17,-0.2080468751,-0.5540364583,-0.1857513939,-0.6040181465,,,,,,,
-0.0352091929,13.6356026786,-0.0582865615,20.33203125,-0.0585101998,20.6298828125,18,-1.6343445624,-1.7109375,-1.5517064842,-1.7381723914,,,,,,,
-0.0872742078,22.9164341518,-0.1083193032,26.1572265625,-0.107963344,25.9765625,19,-3.8956459238,-2.4876302083,-3.7084229016,-2.4478289047,,,,,,,
-0.1001002741,25.2141462054,-0.1069184607,26.9091796875,-0.1073695589,27.001953125,20,-3.8323328415,-2.587890625,-3.6825271552,-2.5839274141,,,,,,,
-0.1071152115,26.9866071429,-0.1827595245,47.041015625,-0.1816153258,46.455078125,21,-7.2600782567,-5.2721354167,-6.920482339,-5.1659105638,,,,,,,
-0.1098384743,28.8364955357,-0.0551658893,19.6728515625,-0.0544753361,19.6630859375,22,-1.4933013125,-1.623046875,-1.3757407894,-1.6098509397,,,,,,,
-0.0531778679,17.0954241071,-0.0601162562,21.4501953125,-0.0583106464,21.0888671875,23,-1.7170402318,-1.8600260417,-1.5430036982,-1.7990926766,,,,,,,
-0.0562975762,18.0217633929,-0.0537713929,20.4541015625,-0.0525686746,20.01953125,24,-1.4302750524,-1.7272135417,-1.2925887829,-1.6571613739,,,,,,,
-0.0578485452,18.3182198661,-0.0515601749,19.853515625,-0.0507351918,19.365234375,25,-1.3303358925,-1.6471354167,-1.2126281941,-1.5703175632,,,,,,,
-0.0630024061,19.9979073661,-0.0566259759,22.0947265625,-0.0559997948,21.9921875,26,-1.5592920181,-1.9459635417,-1.4422244303,-1.9189889825,,,,,,,
-0.0536966114,17.0145089286,-0.060380121,23.0615234375,-0.0592566695,22.724609375,27,-1.7289659781,-2.0748697917,-1.5842610044,-2.0162022035,,,,,,,
-0.0537894998,16.8240792411,-0.0580886734,21.7431640625,-0.0569448073,21.5771484375,28,-1.6254007235,-1.8990885417,-1.483437666,-1.8639014906,,,,,,,
-0.0539411128,16.7787388393,-0.0543991718,20.4931640625,-0.0536225352,20.205078125,29,-1.4586484199,-1.732421875,-1.3385490265,-1.6817887233,,,,,,,
-0.0547095835,16.7850167411,-0.0521896079,20.537109375,-0.0520754783,20.46875,30,-1.3587840182,-1.73828125,-1.2710798458,-1.7167854828,,,,,,,
-0.0520110798,16.1879185268,-0.0554470172,20.4833984375,-0.0550864002,20.302734375,31,-1.5060072931,-1.7311197917,-1.4023900963,-1.6947504861,,,,,,,
-0.0439892732,13.8755580357,-0.0376364905,13.1201171875,-0.0382927261,13.3203125,32,-0.7010350503,-0.7493489583,-0.6699959605,-0.7679844459,,,,,,,
-0.0411259573,12.8145926339,-0.0376378203,13.056640625,-0.0384787958,13.41796875,33,-0.7010951531,-0.7408854167,-0.6781107062,-0.7809462087,,,,,,,
-0.038396725,12.1414620536,-0.0353296972,12.685546875,-0.0354172662,12.6708984375,34,-0.5967762257,-0.69140625,-0.5445933877,-0.6817887233,,,,,,,
-0.0398763618,12.5432477679,-0.0418612906,15.0439453125,-0.0415271816,14.78515625,35,-0.8919809384,-1.005859375,-0.8110548052,-0.9624108879,,,,,,,
-0.0372499981,11.8331473214,-0.0320271666,10.537109375,-0.0315846121,10.3515625,36,-0.4475136302,-0.4049479167,-0.3774463215,-0.3739468568,,,,,,,
-0.0338345664,10.7875279018,-0.0289538256,10.9521484375,-0.0300534247,11.357421875,37,-0.3086095853,-0.4602864583,-0.3106692336,-0.5074530136,,,,,,,
-0.0335991552,10.8203125,-0.0304964511,10.7861328125,-0.0310548161,10.986328125,38,-0.3783307496,-0.4381510417,-0.3543412236,-0.458198315,,,,,,,
-0.0294071317,9.5389229911,-0.0218790531,7.783203125,-0.0226328663,8.369140625,39,0.011144886,-0.0377604167,0.0129510443,-0.1108230719,,,,,,,
-0.0271603004,8.7890625,-0.0233483584,7.8125,-0.0241708161,8.0419921875,40,-0.0552624701,-0.0416666667,-0.0541209628,-0.0674011666,,,,,,,
-0.0296505189,9.4245256696,-0.0284165233,9.53125,-0.0289027664,9.8828125,41,-0.2843254374,-0.2708333333,-0.260487515,-0.3117303953,,,,,,,
-0.0292224896,9.9588448661,-0.0202440883,7.8466796875,-0.0201682546,7.7880859375,42,0.08503946,-0.0462239583,0.1204359891,-0.0337005833,,,,,,,
-0.0170015895,6.494140625,-0.01073214,4.404296875,-0.0107339627,4.4677734375,43,0.5149455757,0.4127604167,0.5318778211,0.4069993519,,,,,,,
-0.0154345902,5.7700892857,-0.0116955352,4.19921875,-0.0118936809,4.31640625,44,0.4714035497,0.4401041667,0.4813009897,0.4270900843,,,,,,,
-0.0192967728,7.2537667411,-0.0145346532,3.662109375,-0.0134111774,3.5888671875,45,0.3430855471,0.51171875,0.41512098,0.5236552171,,,,,,,
-0.0160604048,6.4522879464,-0.0429918319,14.3115234375,-0.0417840255,13.9306640625,46,-0.943077366,-0.908203125,-0.8222561038,-0.8489954634,,,,,,,
-0.0148530576,5.9988839286,-0.0166482786,5.9375,-0.0166047246,6.0009765625,47,0.2475572228,0.2083333333,0.2758462013,0.203499676,,,,,,,
-0.0126691011,4.8646763393,-0.0101847693,4.423828125,-0.009950989,4.5458984375,48,0.5396847762,0.41015625,0.5660243318,0.3966299417,,,,,,,
-0.0150129211,6.2765066964,-0.0136482827,6.611328125,-0.0138986654,6.767578125,49,0.3831463297,0.1184895833,0.3938609918,0.101749838,,,,,,,
-0.0112023597,4.3240792411,-0.0089499407,3.9453125,-0.0088053943,3.8134765625,50,0.5954946227,0.4739583333,0.6159852148,0.4938431627,,,,,,,
-0.0147925576,5.6766183036,-0.0242244269,8.6083984375,-0.0240274775,8.6572265625,51,-0.0948576397,-0.1477864583,-0.0478697776,-0.1490602722,,,,,,,
-0.0161243403,5.9479631696,-0.0073299418,2.0849609375,-0.0070735821,1.962890625,52,0.6687127925,0.7220052083,0.6915118146,0.7394685677,,,,,,,
-0.0151939829,5.625,-0.0152870137,5.986328125,-0.0150324187,5.6396484375,53,0.3090815375,0.2018229167,0.3444165232,0.2514581983,,,,,,,
-0.0176622621,6.611328125,-0.0249718997,8.6083984375,-0.0232931067,8.154296875,54,-0.1286407433,-0.1477864583,-0.0158429044,-0.0823071938,,,,,,,
-0.0165126316,6.4836774554,-0.0110190775,4.62890625,-0.0107250913,4.55078125,55,0.5019770224,0.3828125,0.5322647168,0.3959818535,,,,,,,
-0.0159489236,6.1314174107,-0.0292608003,12.578125,-0.0295985196,12.783203125,56,-0.3224837441,-0.6770833333,-0.2908302244,-0.6966947505,,,,,,,
-0.0140593394,5.2253069196,-0.0079819647,2.2021484375,-0.0080539087,2.4609375,57,0.6392436845,0.7063802083,0.6487584894,0.6733635774,,,,,,,
-0.0129461325,4.7935267857,-0.0129886673,5.48828125,-0.0124175951,5.263671875,58,0.4129585925,0.2682291667,0.458452405,0.3013609851,,,,,,,
-0.0130967338,4.7398158482,-0.0068535976,2.08984375,-0.0066541455,2.1337890625,59,0.6902418485,0.7213541667,0.7098039942,0.7167854828,,,,,,,
-0.0143157465,5.1625279018,-0.0133636338,5.6494140625,-0.0129408713,5.4833984375,60,0.3960114466,0.2467447917,0.4356316461,0.2721970188,,,,,,,
-0.0135259898,4.7935267857,-0.0094176238,2.841796875,-0.009301392,2.958984375,61,0.5743570146,0.62109375,0.5943541062,0.6072585872,,,,,,,
-0.0129153542,4.6037946429,-0.0157497364,5.09765625,-0.0145147843,4.6240234375,62,0.2881681228,0.3203125,0.3669912364,0.3862605314,,,,,,,
-0.0141692056,4.8570033482,-0.0169297032,6.220703125,-0.01552755,6.2841796875,63,0.2348378356,0.1705729167,0.3228231993,0.1659105638,,,,,,,
-0.0154140282,5.8663504464,-0.0194268828,7.314453125,-0.018514242,7.1240234375,64,0.121974231,0.0247395833,0.1925696482,0.0544394038,,,,,,,
-0.0158651121,6.0818917411,-0.0162625832,6.3037109375,-0.0155241502,6.34765625,65,0.2649892783,0.1595052083,0.3229714687,0.157485418,,,,,,,
-0.0136080469,5.2197265625,-0.0087979958,3.681640625,-0.0089348621,3.7744140625,66,0.6023619912,0.5091145833,0.6103389541,0.4990278678,,,,,,,
-0.0139899308,5.5085100446,-0.0108857858,3.7890625,-0.0101971534,3.8671875,67,0.5080013332,0.4947916667,0.55528878,0.4867141931,,,,,,,
-0.0143094906,5.6375558036,-0.0142487173,5.888671875,-0.013606433,5.5859375,68,0.3560088313,0.21484375,0.4066056264,0.2585871679,,,,,,,
-0.017595763,7.2649274554,-0.023788546,9.990234375,-0.0239312141,10.244140625,69,-0.0751573792,-0.33203125,-0.0436716062,-0.3596889177,,,,,,,
-0.0203524023,8.1940569196,-0.0216272853,8.076171875,-0.021202416,7.958984375,70,0.0225238892,-0.0768229167,0.0753348552,-0.0563836682,,,,,,,
-0.0138696175,5.5196707589,-0.0303672403,12.646484375,-0.0314542141,12.998046875,71,-0.3724908821,-0.6861979167,-0.3717594912,-0.7252106286,,,,,,,
-0.0170059244,6.4418247768,-0.0168041373,7.2021484375,-0.0164302634,7.275390625,72,0.2405129647,0.0397135417,0.2834546849,0.0343486714,,,,,,,
-0.0127456979,5.0753348214,-0.0082650477,3.1396484375,-0.0082396169,3.1298828125,73,0.6264493416,0.5813802083,0.6406595121,0.5845755023,,,,,,,
-0.012679286,5.0669642857,-0.0154261601,6.6064453125,-0.0150350686,6.220703125,74,0.3027926162,0.119140625,0.3443009574,0.1743357097,,,,,,,
-0.0159045893,6.5352957589,-0.0070916595,2.275390625,-0.0070791183,2.24609375,75,0.6794823016,0.6966145833,0.6912703746,0.7018794556,,,,,,,
-0.015206718,6.3309151786,-0.0128814925,5.60546875,-0.0132316739,5.4833984375,76,0.4178025127,0.2526041667,0.422949364,0.2721970188,,,,,,,
-0.0177903583,7.3256138393,-0.0273837972,9.2919921875,-0.0263939893,9.1064453125,77,-0.2376499011,-0.2389322917,-0.1510764583,-0.2086843811,,,,,,,
-0.0193830279,8.1298828125,-0.0222442346,10.400390625,-0.0222228349,10.6201171875,78,-0.0053600182,-0.38671875,0.0308330494,-0.4095917045,,,,,,,
-0.0261044699,10.6717354911,-0.0275854297,11.7724609375,-0.0264695403,11.66015625,79,-0.2467629716,-0.5696614583,-0.1543713367,-0.5476344783,,,,,,,
-0.0224590587,9.2787388393,-0.0256065358,9.296875,-0.0262488102,9.677734375,80,-0.1573240296,-0.2395833333,-0.1447450074,-0.2845106935,,,,,,,
-0.0238346436,9.8053850446,-0.0360390591,14.8095703125,-0.0358533789,15.048828125,81,-0.6288368523,-0.974609375,-0.5636128332,-0.9974076474,,,,,,,
-0.0272156703,11.1439732143,-0.0237745672,9.9658203125,-0.0238401877,10.3369140625,82,-0.0745255904,-0.3287760417,-0.0397018267,-0.3720025924,,,,,,,
-0.0299947771,12.0793805804,-0.0265920245,10.927734375,-0.0269303475,10.9521484375,83,-0.2018646045,-0.45703125,-0.1744677409,-0.453661698,,,,,,,
-0.0320510881,12.4616350446,-0.0284221015,12.1923828125,-0.0286831847,12.2607421875,84,-0.2845775539,-0.6256510417,-0.2509112716,-0.6273493195,,,,,,,
-0.0235374985,9.5361328125,-0.0263167056,9.5166015625,-0.0274973334,9.990234375,85,-0.1894211699,-0.2688802083,-0.19919474,-0.3259883344,,,,,,,
-0.0276463227,10.1611328125,-0.0512984933,14.609375,-0.0514682936,14.6826171875,86,-1.3185088172,-0.9479166667,-1.2445997277,-0.9488010369,,,,,,,
-0.0276573603,9.7579520089,-0.0273492196,10.2734375,-0.0275221345,10.5712890625,87,-0.2360871197,-0.3697916667,-0.2002763489,-0.4031108231,,,,,,,
-0.0281309288,10.2950613839,-0.0317267908,12.6416015625,-0.0310056375,12.4462890625,88,-0.4339377154,-0.685546875,-0.3521964812,-0.6519766688,,,,,,,
-0.0303935653,10.8063616071,-0.0339182904,12.5,-0.0331324515,12.8369140625,89,-0.5329856739,-0.6666666667,-0.4449496269,-0.70382372,,,,,,,
-0.0304774699,11.0323660714,-0.0315844356,11.8798828125,-0.0321282014,11.7431640625,90,-0.4275037687,-0.583984375,-0.4011529614,-0.5586519767,,,,,,,
-0.0270919339,9.8277064732,-0.0267770838,11.015625,-0.0268504014,10.9326171875,91,-0.210228625,-0.46875,-0.1709811866,-0.4510693454,,,,,,,
-0.0317354992,10.9228515625,-0.0370937052,14.31640625,-0.0375023143,14.5849609375,92,-0.6765030899,-0.9088541667,-0.6355250675,-0.9358392741,,,,,,,
-0.0288098941,10.2127511161,-0.0306962065,12.6416015625,-0.0309828448,12.9443359375,93,-0.3873589806,-0.685546875,-0.3512024597,-0.7180816591,,,,,,,
-0.0301144086,10.7540457589,-0.0359546104,12.373046875,-0.0365687588,12.48046875,94,-0.6250200704,-0.6497395833,-0.5948114893,-0.6565132858,,,,,,,
-0.0228707244,8.1026785714,-0.0269917058,10.4150390625,-0.0267422246,10.5419921875,95,-0.2199287706,-0.388671875,-0.1662634558,-0.3992222942,,,,,,,
-0.0248747657,9.3094308036,-0.0244120118,9.9365234375,-0.0235023262,10.0390625,96,-0.1033358102,-0.3248697917,-0.0249672439,-0.3324692158,,,,,,,
-0.0277337795,9.7433035714,-0.0236350873,8.22265625,-0.0230593536,8.3349609375,97,-0.0682215958,-0.0963541667,-0.0056486277,-0.106286455,,,,,,,
-0.0303304414,10.4359654018,-0.0392223101,13.408203125,-0.0378982223,13.1396484375,98,-0.7727084343,-0.7877604167,-0.652791133,-0.7440051847,,,,,,,
-0.0248252178,8.9892578125,-0.0262121705,10.87890625,-0.0263672311,10.5615234375,99,-0.1846965563,-0.4505208333,-0.1499094991,-0.4018146468,,,,,,,
-0.0260009052,8.9697265625,-0.0372635972,14.052734375,-0.0369235951,13.5498046875,100,-0.6841816022,-0.8736979167,-0.6102863673,-0.7984445885,,,,,,,
-0.0303372047,10.2260044643,-0.0304591916,9.4775390625,-0.0314324632,9.8486328125,101,-0.3766467535,-0.263671875,-0.3708109081,-0.3071937784,,,,,,,
-0.0284480388,9.2389787946,-0.0255294597,7.5341796875,-0.0261519336,7.6123046875,102,-0.1538404658,-0.0045572917,-0.1405200927,-0.0103694102,,,,,,,
-0.0301656183,9.8318917411,-0.0261199371,7.978515625,-0.0266856981,8.0419921875,103,-0.1805279361,-0.0638020833,-0.1637982597,-0.0674011666,,,,,,,
-0.0308387588,10.0606863839,-0.0289126807,10.166015625,-0.0292104089,10.0244140625,104,-0.3067499795,-0.35546875,-0.2739042068,-0.3305249514,,,,,,,
-0.0293908374,10.1192801339,-0.0396313558,16.630859375,-0.0390336908,16.5576171875,105,-0.7911958411,-1.2174479167,-0.7023104055,-1.1976668827,,,,,,,
-0.0253905684,8.5435267857,-0.0287259801,10.185546875,-0.0284930842,10.3857421875,106,-0.2983117821,-0.3580729167,-0.242620739,-0.3784834738,,,,,,,
-0.0243229396,8.9076450893,-0.0355577989,12.9638671875,-0.0358516895,12.978515625,107,-0.6070856069,-0.728515625,-0.5635391554,-0.7226182761,,,,,,,
-0.0262657854,9.2536272321,-0.0163557903,6.69921875,-0.0167785068,6.97265625,108,0.2607766527,0.1067708333,0.268267334,0.0745301361,,,,,,,
-0.0237160425,9.1957310268,-0.040508472,13.7646484375,-0.0410685117,13.7109375,109,-0.8308383651,-0.8352864583,-0.7910516091,-0.8198314971,,,,,,,
-0.0288377603,10.9758649554,-0.0240320077,10.849609375,-0.0240438266,11.1767578125,110,-0.0861609793,-0.4466145833,-0.0485827828,-0.4834737524,,,,,,,
