optrew,optER,valrew,valER,testrew,testER,epoch,norm val rew,norm val er,norm test rew,norm test ER,,,,,,,
,,,,,,,,,,,,,,,,,
-3.2513822894,65.7282366071,-2.1694565266,45.0341796875,-2.1853304371,44.8974609375,1,-407.5289655485,-1151.8750000001,-387.1820564189,-1148.3750000001,,,,,,,
-0.6973402752,18.9090401786,-0.2557861454,9.296875,-0.2739411063,9.453125,2,-47.0862383233,-237,-47.5847521557,-241,,,,,,,
-0.3232914323,10.8119419643,-0.2957708066,9.9755859375,-0.2930684071,9.853515625,3,-54.6174100906,-254.375,-50.9831073211,-251.25,,,,,,,
-0.073161096,2.978515625,-0.1965312376,11.5576171875,-0.1952058522,11.5966796875,4,-35.9254863024,-294.875,-33.5958281856,-295.875,,,,,,,
-0.2822887156,9.0108816964,-0.0792873063,2.470703125,-0.0850158796,2.5537109375,5,-13.8424135053,-62.25,-14.0183318412,-64.375,,,,,,,
-0.108446834,4.1880580357,-0.1115186396,4.8828125,-0.1151465019,4.7021484375,6,-19.9132341575,-124,-19.3716515148,-119.375,,,,,,,
-0.0626640463,2.0124162946,-0.0092302095,0.0048828125,-0.0094516795,0.0048828125,7,-0.6470527605,0.875,-0.5928102811,0.875,,,,,,,
-0.032285389,1.1844308036,-0.0524830147,1.9775390625,-0.0474244887,1.6796875,8,-8.7937844095,-49.625,-7.3394544248,-42,,,,,,,
-0.0253386809,0.9151785714,-0.0200585927,0.7080078125,-0.024577134,0.8203125,9,-2.686595213,-17.125,-3.2801558195,-20,,,,,,,
-0.0683320779,1.8038504464,-0.1098010926,3.8427734375,-0.1073631121,3.8720703125,10,-19.5897315651,-97.375,-17.9887735402,-98.125,,,,,,,
-0.077517254,2.8390066964,-0.0754137085,2.685546875,-0.0730903797,2.65625,11,-13.1128154606,-67.75,-11.8995235184,-67,,,,,,,
-0.0378556794,1.552734375,-0.0218818362,0.888671875,-0.0251833305,0.9326171875,12,-3.0300058895,-21.75,-3.3878589864,-22.875,,,,,,,
-0.025412044,0.8837890625,-0.0163436311,0.5126953125,-0.0160194286,0.478515625,13,-1.9868765344,-12.125,-1.7597048828,-11.25,,,,,,,
-0.0155918782,0.5378069196,-0.0127301815,0.302734375,-0.0125724369,0.244140625,14,-1.3062778105,-6.75,-1.1472764996,-5.25,,,,,,,
-0.0239571526,0.7721819196,-0.0134425438,0.4541015625,-0.0167223026,0.4931640625,15,-1.4404523314,-10.625,-1.8845847837,-11.625,,,,,,,
-0.0193119795,0.8189174107,-0.0118669279,0.21484375,-0.0108925655,0.2783203125,16,-1.1436826744,-4.5,-0.8488130721,-6.125,,,,,,,
-0.0214523524,0.9877232143,-0.0218633283,1.0693359375,-0.0224320871,1.0595703125,17,-3.0265198978,-26.375,-2.8990444729,-26.125,,,,,,,
-0.0224581103,1.0337611607,-0.0218888856,2.1142578125,-0.0225256221,2.2998046875,18,-3.0313336643,-53.125,-2.9156628781,-57.875,,,,,,,
-0.0181004814,0.8865792411,-0.0439379292,2.5390625,-0.0478488857,2.6611328125,19,-7.1843045559,-64,-7.4148572116,-67.125,,,,,,,
-0.0174656802,0.72265625,-0.0191681778,0.615234375,-0.0136951315,0.4541015625,20,-2.5188841973,-14.75,-1.3467460862,-10.625,,,,,,,
-0.0199631844,0.9800502232,-0.0119211253,0.6103515625,-0.0109640664,0.46875,21,-1.153890852,-14.625,-0.8615166748,-11,,,,,,,
-0.0156961228,0.5810546875,-0.0130323577,0.8837890625,-0.0136431263,0.8544921875,22,-1.3631931652,-21.625,-1.3375063076,-20.875,,,,,,,
-0.0194908642,0.6424386161,-0.0591956169,1.4306640625,-0.0632846705,1.5087890625,23,-10.0581132524,-35.625,-10.1573392586,-37.625,,,,,,,
-0.0581338617,1.3678850446,-0.0154387254,0.3564453125,-0.0185316719,0.3759765625,24,-1.8164361677,-8.125,-2.2060561507,-8.625,,,,,,,
-0.0266486195,0.8293805804,-0.0223364873,0.7177734375,-0.0287351435,0.8056640625,25,-3.1156401127,-17.375,-4.0189110105,-19.625,,,,,,,
-0.0169308866,0.6884765625,-0.0272370528,1.1572265625,-0.0283347894,1.337890625,26,-4.0386690843,-28.625,-3.9477799407,-33.25,,,,,,,
-0.0138327368,0.3724888393,-0.007385766,0,-0.0075167102,0.0048828125,27,-0.2996490145,1,-0.2490235086,0.875,,,,,,,
-0.0286216582,1.6908482143,-0.0150714667,0.5810546875,-0.0129979189,0.537109375,28,-1.747262431,-13.875,-1.2228720525,-12.75,,,,,,,
-0.0136915212,0.72265625,-0.0147532617,0.8349609375,-0.0135628383,0.830078125,29,-1.6873280344,-20.375,-1.3232415044,-20.25,,,,,,,
-0.0242352032,0.9674944196,-0.0340322651,0.7763671875,-0.0405161877,0.9423828125,30,-5.3185576662,-18.875,-6.1120538322,-23.125,,,,,,,
-0.0273216372,1.3357979911,-0.0158585956,0.9521484375,-0.0149005919,0.9130859375,31,-1.8955193716,-23.375,-1.5609207291,-22.375,,,,,,,
-0.0185376984,1.0002790179,-0.0259265711,2.119140625,-0.023948554,1.7333984375,32,-3.791837869,-53.25,-3.1684757528,-43.375,,,,,,,
-0.0389701396,1.3058035714,-0.0515701889,1.3623046875,-0.057305279,1.58203125,33,-8.6218522907,-33.875,-9.0949783738,-39.5,,,,,,,
-0.0254289122,0.8447265625,-0.0077465887,0.2880859375,-0.0103748893,0.283203125,34,-0.3676105235,-6.375,-0.7568373281,-6.25,,,,,,,
-0.0382105079,1.3818359375,-0.0333043024,1.4501953125,-0.0371489892,1.6748046875,35,-5.1814447855,-36.125,-5.5138023445,-41.875,,,,,,,
-0.0439631905,1.5806361607,-0.0088979106,0.5224609375,-0.0088744453,0.4736328125,36,-0.5844637516,-12.375,-0.4902528439,-11.125,,,,,,,
-0.0567886011,1.7717633929,-0.0339327999,0.76171875,-0.032368052,0.6982421875,37,-5.2998232321,-18.5,-4.6643713165,-16.875,,,,,,,
-0.0186139731,0.6926618304,-0.0102941064,0.3271484375,-0.008478278,0.21484375,38,-0.8474393652,-7.375,-0.4198656479,-4.5,,,,,,,
-0.0192735852,0.6403459821,-0.0282893713,0.9716796875,-0.0276574106,1.0107421875,39,-4.2368748731,-23.875,-3.8274297914,-24.875,,,,,,,
-0.024620877,0.7868303571,-0.0250705766,0.703125,-0.0298670776,0.7177734375,40,-3.630610004,-17,-4.2200222086,-17.375,,,,,,,
-0.018365266,0.5636160714,-0.0121843663,0.4345703125,-0.0128612744,0.390625,41,-1.203472694,-10.125,-1.1985943649,-9,,,,,,,
-0.015553131,0.5106026786,-0.0251880235,0.7373046875,-0.0273688725,0.771484375,42,-3.6527312997,-17.875,-3.7761650989,-18.75,,,,,,,
-0.010718452,0.4213169643,-0.0080103364,0.15625,-0.0071781,0.1220703125,43,-0.4172878052,-3,-0.1888625091,-2.125,,,,,,,
-0.0176755105,0.6849888393,-0.0087401892,0.2734375,-0.0077689971,0.244140625,44,-0.5547566889,-6,-0.2938474217,-5.25,,,,,,,
-0.0144894105,0.4373604911,-0.0077660463,0.078125,-0.0077990221,0.05859375,45,-0.3712753852,-1,-0.2991819845,-0.5,,,,,,,
-0.0071285666,0.1478794643,-0.0087710526,0.419921875,-0.0070351791,0.361328125,46,-0.5605698537,-9.75,-0.1634696857,-8.25,,,,,,,
-0.0263144997,1.0065569196,-0.0081195774,0.1513671875,-0.0102603879,0.1318359375,47,-0.4378635089,-2.875,-0.736493822,-2.375,,,,,,,
-0.0088186698,0.2580915179,-0.0158034849,0.7568359375,-0.0154095594,0.6787109375,48,-1.8851391805,-18.375,-1.6513491805,-16.375,,,,,,,
-0.0083843497,0.4059709821,-0.0073765702,0.205078125,-0.0079882513,0.2197265625,49,-0.2979169833,-4.25,-0.3328024119,-4.625,,,,,,,
-0.0085691553,0.2922712054,-0.0049978216,0.1025390625,-0.005346291,0.1171875,50,0.1501239312,-1.625,0.1365957236,-2,,,,,,,
-0.0043304231,0.0969587054,-0.0050454172,0.1708984375,-0.0053089134,0.2001953125,51,0.1411592331,-3.375,0.1432366221,-4.125,,,,,,,
-0.0121018509,0.3592354911,-0.0066669988,0.0537109375,-0.0070051411,0.1171875,52,-0.1642681231,-0.375,-0.1581328342,-2,,,,,,,
-0.0137464951,0.5154854911,-0.0031812212,0.0244140625,-0.0029109748,0.01953125,53,0.4922833866,0.375,0.5692793267,0.5,,,,,,,
-0.0063621292,0.2455357143,-0.0066213431,0.4052734375,-0.0066704013,0.419921875,54,-0.1556687955,-9.375,-0.0986594772,-9.75,,,,,,,
-0.0052599991,0.2190290179,-0.0044189356,0.009765625,-0.0042628473,0,55,0.2591579975,0.75,0.3290916071,1,,,,,,,
-0.0055644591,0.0927734375,-0.0034929011,0,-0.0036538956,0,56,0.433578005,1,0.4372842958,1,,,,,,,
-0.0056555806,0.185546875,-0.0068832731,0.3759765625,-0.0068307998,0.4638671875,57,-0.2050037266,-8.625,-0.1271575359,-10.875,,,,,,,
-0.0043849574,0.1018415179,-0.0049391762,0,-0.00499427,0,58,0.161169899,1,0.1991394362,1,,,,,,,
-0.0060977033,0.1520647321,-0.0040985911,0.0341796875,-0.0039605329,0.009765625,59,0.3194953642,0.125,0.3828039152,0.75,,,,,,,
-0.0095211662,0.3557477679,-0.0055805467,0.2001953125,-0.00564596,0.2197265625,60,0.0403667869,-4.125,0.0833534167,-4.625,,,,,,,
-0.0075573551,0.3466796875,-0.0083472165,0.224609375,-0.0046447428,0.1123046875,61,-0.4807396873,-4.75,0.2612400853,-1.875,,,,,,,
-0.0153747025,0.6815011161,-0.0109083217,0.91796875,-0.0106208152,0.9130859375,62,-0.9631277447,-22.5,-0.8005310963,-22.375,,,,,,,
-0.0066487594,0.3397042411,-0.012219091,0.9716796875,-0.0127067215,0.95703125,63,-1.2100131312,-23.875,-1.1711348963,-23.5,,,,,,,
-0.0104466915,0.5970982143,-0.0082932081,0.2587890625,-0.0087881361,0.322265625,64,-0.4705671158,-5.625,-0.4749182711,-7.25,,,,,,,
-0.010551937,0.4799107143,-0.0045416356,0.1806640625,-0.0043184791,0.1513671875,65,0.236047268,-3.625,0.3192074757,-2.875,,,,,,,
-0.0151927816,0.654296875,-0.0158539421,0.7568359375,-0.0150844687,0.7275390625,66,-1.8946428698,-18.375,-1.5935901896,-17.625,,,,,,,
-0.0062309168,0.3243582589,-0.0018358671,0,-0.0018122687,0,67,0.7456828866,1,0.7644868837,1,,,,,,,
-0.0020270782,0.0104631696,-0.0019971778,0.009765625,-0.0018963198,0,68,0.7152997684,0.75,0.7495534794,1,,,,,,,
-0.0019728443,0.0125558036,-0.0020333876,0.0390625,-0.0019659111,0.029296875,69,0.7084796013,0,0.7371891745,0.25,,,,,,,
-0.0034329318,0.1555524554,-0.0087816122,0.810546875,-0.0083660765,0.7275390625,70,-0.5625587732,-19.75,-0.3999307646,-17.625,,,,,,,
-0.0103885288,0.7477678571,-0.0041833634,0.302734375,-0.0043139503,0.3173828125,71,0.3035283803,-6.75,0.3200121123,-7.125,,,,,,,
-0.0024413853,0.1450892857,-0.0014960922,0.029296875,-0.0014985726,0.01953125,72,0.8096800067,0.25,0.8202213841,0.5,,,,,,,
-0.0011987431,0.0118582589,-0.001405045,0.0341796875,-0.0012526082,0.01953125,73,0.8268288726,0.125,0.8639219807,0.5,,,,,,,
-0.001103558,0.0013950893,-0.0010238648,0,-0.0010031611,0,74,0.8986247506,1,0.9082413573,1,,,,,,,
-0.0011634221,0.0006975446,-0.0018627979,0,-0.0017916865,0,75,0.7406104275,1,0.7681437337,1,,,,,,,
-0.0017517938,0.0090680804,-0.0034939133,0.1416015625,-0.0030871906,0.0927734375,76,0.4333873555,-2.625,0.5379709947,-1.375,,,,,,,
-0.0024257933,0.0481305804,-0.001421571,0,-0.0014806242,0,77,0.823716186,1,0.8234102941,1,,,,,,,
-0.0048190935,0.2232142857,-0.0054324217,0.107421875,-0.0052801092,0.1220703125,78,0.0682663595,-1.75,0.1483542805,-2.125,,,,,,,
-0.0049094754,0.3125,-0.0021869256,0.01953125,-0.0022747283,0.048828125,79,0.6795604781,0.5,0.6823215054,-0.25,,,,,,,
-0.0035879621,0.2301897321,-0.0034813361,0.302734375,-0.0040078162,0.3515625,80,0.4357562894,-6.75,0.3744030737,-8,,,,,,,
-0.0034984617,0.2155412946,-0.0028256698,0.126953125,-0.0026807665,0.1416015625,81,0.5592520416,-2.25,0.6101805367,-2.625,,,,,,,
-0.0020413084,0.0690569196,-0.0017327162,0.0341796875,-0.0016478348,0.0390625,82,0.7651115084,0.125,0.7937019196,0,,,,,,,
-0.0018293752,0.0565011161,-0.0018101104,0.0439453125,-0.0019274048,0.0634765625,83,0.7505341847,-0.125,0.7440305957,-0.625,,,,,,,
-0.0018695191,0.0460379464,-0.0027692492,0.05859375,-0.0029321279,0.087890625,84,0.5698789458,-0.5,0.5655210521,-1.25,,,,,,,
-0.0023631916,0.0690569196,-0.0022733542,0.048828125,-0.0019335088,0.0390625,85,0.6632815262,-0.25,0.7429460953,0,,,,,,,
-0.0038605405,0.1150948661,-0.0026834242,0.048828125,-0.0024131553,0.0537109375,86,0.5860442044,-0.25,0.6577271102,-0.375,,,,,,,
-0.0086133787,0.3431919643,-0.009135425,0.3759765625,-0.0093373192,0.3564453125,87,-0.6291999606,-8.625,-0.5724918458,-8.125,,,,,,,
-0.0061567041,0.2978515625,-0.0029497401,0.17578125,-0.0032537612,0.17578125,88,0.5358832075,-3.5,0.5083763232,-3.5,,,,,,,
-0.0021840895,0.0913783482,-0.0015053452,0.0146484375,-0.0014747883,0.009765625,89,0.8079371872,0.625,0.8244471568,0.75,,,,,,,
-0.0016720829,0.0362723214,-0.0016877174,0.0244140625,-0.0017073435,0.01953125,90,0.7735871056,0.375,0.7831289857,0.5,,,,,,,
-0.0016259082,0.0272042411,-0.0015021643,0.009765625,-0.0015119978,0.0146484375,91,0.8085363048,0.75,0.8178361264,0.625,,,,,,,
-0.0016154597,0.0265066964,-0.0014797176,0.0244140625,-0.0014843999,0.0146484375,92,0.8127641877,0.375,0.8227394616,0.625,,,,,,,
-0.0016274207,0.0174386161,-0.0016109355,0,-0.0016030177,0,93,0.7880490968,1,0.8016645788,1,,,,,,,
-0.0015912529,0.0125558036,-0.0017574975,0.009765625,-0.0017244524,0,94,0.7604439084,0.75,0.7800892392,1,,,,,,,
-0.0018268835,0.0118582589,-0.0016810478,0.009765625,-0.0017102703,0.01953125,95,0.774843334,0.75,0.7826089672,0.5,,,,,,,
-0.0017030507,0.0111607143,-0.0015532774,0.0048828125,-0.0016865976,0.0048828125,96,0.7989090705,0.875,0.7868149139,0.875,,,,,,,
-0.0015884458,0.0083705357,-0.0016947544,0.009765625,-0.0017352563,0.009765625,97,0.7722616736,0.75,0.7781696976,0.75,,,,,,,
-0.0031380257,0.0634765625,-0.0024547319,0.009765625,-0.002678989,0.048828125,98,0.6291187451,0.75,0.6104963345,-0.25,,,,,,,
-0.0055634473,0.1681082589,-0.0037986504,0.0439453125,-0.0033366449,0.068359375,99,0.3759896684,-0.125,0.4936503528,-0.75,,,,,,,
-0.0088970143,0.2657645089,-0.0180286014,0.419921875,-0.0233089791,0.46875,100,-2.30424326,-9.75,-3.0548422186,-11,,,,,,,
-0.010427834,0.1715959821,-0.0083419663,0.185546875,-0.0074277962,0.1806640625,101,-0.4797508036,-3.75,-0.2332261304,-3.625,,,,,,,
-0.025111164,0.5022321429,-0.0168075816,0.44921875,-0.0181496837,0.4736328125,102,-2.0742623177,-10.5,-2.1381881498,-11.125,,,,,,,
-0.0069896991,0.17578125,-0.0052392175,0.1318359375,-0.0044057724,0.09765625,103,0.104656657,-2.375,0.3036980349,-1.5,,,,,,,
-0.0065538822,0.2483258929,-0.0132380981,0.517578125,-0.0142325465,0.6005859375,104,-1.4019446698,-12.25,-1.4422288322,-14.375,,,,,,,
-0.0123590169,0.6103515625,-0.0033471951,0.0439453125,-0.0033425556,0.029296875,105,0.4610219505,-0.125,0.4926002011,0.25,,,,,,,
-0.0059659294,0.1778738839,-0.0028167766,0.009765625,-0.0029333855,0.0048828125,106,0.5609270873,0.75,0.5652976149,0.875,,,,,,,
-0.006867629,0.2629743304,-0.0064632684,0.2685546875,-0.0059061779,0.2294921875,107,-0.1258951893,-5.875,0.0371203913,-4.875,,,,,,,
