optrew,optER,valrew,valER,testrew,testER,epoch,norm val rew,norm val er,norm test rew,norm test ER,,,,,,,
,,,,,,,,,,,,,,,,,
-0.8512723385,92.3388671875,-0.8447564356,91.708984375,-0.8418743029,91.982421875,1,-2.6550353038,-1.3304303279,-2.5797527556,-1.3473504274,,,,,,,
-0.7927828184,89.6330915179,-0.7603325434,87.763671875,-0.7604053535,88.3447265625,2,-2.232632841,-1.1924521858,-2.1790931315,-1.22,,,,,,,
-0.7450715624,87.8076171875,-0.7320661061,87.548828125,-0.7347008847,87.3388671875,3,-2.0912059009,-1.1849385246,-2.0526800273,-1.1847863248,,,,,,,
-0.7246078304,87.0054408482,-0.7250177681,87.0556640625,-0.7203208938,86.6455078125,4,-2.0559405842,-1.1676912568,-1.9819600565,-1.1605128205,,,,,,,
-0.7105880391,86.4529854911,-0.7010360755,86.1181640625,-0.6986081429,86.2646484375,5,-1.9359517307,-1.1349043716,-1.8751779918,-1.1471794872,,,,,,,
-0.6951989177,85.8705357143,-0.6879478611,85.478515625,-0.6870005004,85.6396484375,6,-1.870466785,-1.112534153,-1.8180922714,-1.1252991453,,,,,,,
-0.6847953938,85.3892299107,-0.6680967323,84.5703125,-0.6693133809,84.697265625,7,-1.7711445972,-1.0807718579,-1.7311080313,-1.0923076923,,,,,,,
-0.6642012617,84.4412667411,-0.6521206859,83.7841796875,-0.6474740013,83.7646484375,8,-1.6912108111,-1.0532786885,-1.6237032145,-1.0596581197,,,,,,,
-0.6279315468,82.7413504464,-0.5972906463,81.3330078125,-0.5935594022,81.0107421875,9,-1.4168768141,-0.9675546448,-1.3585543062,-0.9632478632,,,,,,,
-0.5690260343,79.5277622768,-0.5277058829,77.08984375,-0.526902578,77.2216796875,10,-1.0687197382,-0.8191598361,-1.0307398652,-0.8305982906,,,,,,,
-0.4337573391,71.3295200893,-0.3504812405,69.3017578125,-0.3508564439,69.7998046875,11,-0.1820024421,-0.5467896175,-0.1649550674,-0.5707692308,,,,,,,
-0.4123676045,70.0083705357,-0.4626713272,71.40625,-0.4593366694,72.119140625,12,-0.7433289543,-0.6203893443,-0.6984545989,-0.651965812,,,,,,,
-0.4082352844,67.8941127232,-0.3391447399,62.2412109375,-0.3361340076,62.3193359375,13,-0.1252819376,-0.299863388,-0.0925509696,-0.3088888889,,,,,,,
-0.3479152362,63.2121930804,-0.3659878064,64.716796875,-0.3572177518,63.8330078125,14,-0.2595872522,-0.3864412568,-0.1962396153,-0.3618803419,,,,,,,
-0.3567195659,63.7611607143,-0.3516386885,62.7197265625,-0.349015354,62.7783203125,15,-0.1877935624,-0.3165983607,-0.155900693,-0.324957265,,,,,,,
-0.3393870015,62.4476841518,-0.3329451147,61.494140625,-0.3311574651,61.42578125,16,-0.0942630298,-0.2737363388,-0.0680766189,-0.2776068376,,,,,,,
-0.3411527529,62.4518694196,-0.3399262216,62.2509765625,-0.3441615812,62.5732421875,17,-0.1291919658,-0.300204918,-0.1320301168,-0.3177777778,,,,,,,
-0.3405681198,62.5006975446,-0.3409266826,62.587890625,-0.3377006553,62.421875,18,-0.1341976244,-0.3119877049,-0.1002556533,-0.3124786325,,,,,,,
-0.2890315275,57.9296875,-0.2194875849,50.0341796875,-0.216406589,49.931640625,19,0.4734049461,0.1270491803,0.4962616128,0.1247863248,,,,,,,
-0.2822335841,56.3839285714,-0.3104248978,58.8818359375,-0.3087146012,59.169921875,20,0.018413546,-0.1823770492,0.0422960994,-0.1986324786,,,,,,,
-0.3283117846,61.494140625,-0.3273471747,60.888671875,-0.3304745112,60.7421875,21,-0.0662545643,-0.2525614754,-0.0647178906,-0.2536752137,,,,,,,
-0.3401288031,63.3203125,-0.3378426597,63.53515625,-0.3375611264,63.18359375,22,-0.1187671717,-0.3451161202,-0.0995694583,-0.3391452991,,,,,,,
-0.2296926347,49.6477399554,-0.1841725912,42.79296875,-0.1906008873,43.1982421875,23,0.6500982961,0.3802937158,0.6231725747,0.3605128205,,,,,,,
-0.1749445135,40.2727399554,-0.1625468194,37.568359375,-0.1648570063,38.0126953125,24,0.7582996477,0.5630122951,0.7497795062,0.5420512821,,,,,,,
-0.1569865969,36.3943917411,-0.1492483767,34.3505859375,-0.151904878,35.2392578125,25,0.82483644,0.6755464481,0.8134773305,0.6391452991,,,,,,,
