optrew,optER,valrew,valER,testrew,testER,epoch,norm val rew,norm val er,norm test rew,norm test ER,,,,,,,
,,,,,,,,,,,,,,,,,
-0.1536864615,39.7600446429,-0.1316418201,33.1884765625,-0.1262148315,33.6669921875,1,-4.8877386838,-3.5252996005,-4.9416302997,-3.7388316151,,,,,,,
-0.1212503869,31.7822265625,-0.1185578522,30.673828125,-0.1146215929,31.0009765625,2,-4.3025524293,-3.1824234354,-4.3958724291,-3.3635738832,,,,,,,
-0.1083529932,29.1496930804,-0.1073418323,27.9833984375,-0.1018774045,27.55859375,3,-3.8009109723,-2.8155792277,-3.7959329842,-2.8790378007,,,,,,,
-0.0952411149,26.3539341518,-0.0899149178,25.0341796875,-0.0844254335,24.43359375,4,-3.0214845064,-2.413448735,-2.9743721693,-2.4391752577,,,,,,,
-0.0773602707,22.6388113839,-0.0623881473,18.92578125,-0.0594997023,18.4228515625,5,-1.7903375076,-1.5805592543,-1.8009801197,-1.5931271478,,,,,,,
-0.0451407261,14.6065848214,-0.1148757303,29.82421875,-0.1093413802,29.8779296875,6,-4.1378678966,-3.0665778961,-4.1473036073,-3.2054982818,,,,,,,
-0.1057536041,28.5797991071,-0.100163319,26.9677734375,-0.0958795324,26.6455078125,7,-3.4798487853,-2.6770972037,-3.5135799652,-2.7505154639,,,,,,,
-0.0914607495,25.9730747768,-0.0904150223,25.3173828125,-0.086257855,25.0048828125,8,-3.0438519029,-2.4520639148,-3.0606343877,-2.5195876289,,,,,,,
-0.083849837,24.1950334821,-0.0843218189,23.7841796875,-0.078620078,23.06640625,9,-2.7713306825,-2.2430093209,-2.7010819749,-2.2467353952,,,,,,,
-0.0751130625,22.2781808036,-0.0722174368,21.650390625,-0.0677153989,20.8642578125,10,-2.2299568327,-1.9520639148,-2.1877384052,-1.9367697595,,,,,,,
-0.0531015337,16.8045479911,-0.0245170259,8.5400390625,-0.0226080649,8.30078125,11,-0.0965348394,-0.1644474035,-0.0642866764,-0.1683848797,,,,,,,
-0.0564915874,17.6004464286,-0.0770540179,22.0849609375,-0.0744452421,21.8798828125,12,-2.4462750632,-2.0113182423,-2.5045493514,-2.0797250859,,,,,,,
-0.0634619999,19.5486886161,-0.0607146477,19.072265625,-0.0574703654,18.26171875,13,-1.7154894976,-1.6005326232,-1.7054480064,-1.5704467354,,,,,,,
-0.0663342164,20.4296875,-0.0743389035,22.34375,-0.0707839452,22.0654296875,14,-2.3248403691,-2.0466045273,-2.3321918559,-2.1058419244,,,,,,,
-0.074668378,22.4714006696,-0.0772947941,22.6220703125,-0.0724461961,22.1484375,15,-2.4570438863,-2.0845539281,-2.4104432002,-2.1175257732,,,,,,,
-0.0745629978,22.2502790179,-0.0749045286,21.6064453125,-0.0714650216,21.46484375,16,-2.3501382031,-1.9460719041,-2.3642538866,-2.0213058419,,,,,,,
-0.0695290751,20.6473214286,-0.0770882721,21.4306640625,-0.0717365071,21.38671875,17,-2.4478070967,-1.9221038615,-2.3770342115,-2.0103092784,,,,,,,
-0.0563473664,17.8055245536,-0.0521583171,15.703125,-0.0508319571,15.947265625,18,-1.3328038245,-1.1411451398,-1.3929414088,-1.2446735395,,,,,,,
-0.0749603418,22.0549665179,-0.0863903408,23.8427734375,-0.0832367051,23.5693359375,19,-2.8638462391,-2.2509986684,-2.91841215,-2.3175257732,,,,,,,
-0.0739188131,21.9935825893,-0.0720055059,20.99609375,-0.0690195038,21.09375,20,-2.2204781303,-1.862849534,-2.2491298401,-1.9690721649,,,,,,,
-0.0690792608,20.8440290179,-0.0721002534,21.005859375,-0.0686472017,21.0498046875,21,-2.2247157561,-1.8641810919,-2.2316035179,-1.9628865979,,,,,,,
-0.0665709412,20.3048270089,-0.0692129079,20.5224609375,-0.0661347639,20.302734375,22,-2.0955779471,-1.7982689747,-2.1133291747,-1.8577319588,,,,,,,
-0.0679527641,20.8000837054,-0.0749840557,21.6796875,-0.0709427299,21.357421875,23,-2.3536950869,-1.9560585885,-2.339666729,-2.006185567,,,,,,,
-0.0702065241,20.7889229911,-0.0661056875,19.0771484375,-0.0635327459,18.857421875,24,-1.9566061391,-1.6011984021,-1.9908377919,-1.6542955326,,,,,,,
-0.0580895575,18.1563895089,-0.0613427462,18.935546875,-0.0585938356,18.798828125,25,-1.743581482,-1.5818908123,-1.7583359637,-1.64604811,,,,,,,
-0.0602463837,18.4089006696,-0.0598185391,18.525390625,-0.0577272326,18.2373046875,26,-1.6754106451,-1.5259653795,-1.7175401683,-1.5670103093,,,,,,,
-0.0519557452,16.865234375,-0.0540365928,17.138671875,-0.0513720735,16.71875,27,-1.4168105346,-1.3368841545,-1.4183676747,-1.3532646048,,,,,,,
-0.0509411056,16.7236328125,-0.0545133722,17.939453125,-0.0496491903,16.875,28,-1.438134704,-1.4460719041,-1.3372620287,-1.375257732,,,,,,,
-0.059744297,19.1336495536,-0.0624408311,19.130859375,-0.0589113918,19.12109375,29,-1.7926938139,-1.6085219707,-1.7732850908,-1.6914089347,,,,,,,
-0.0557296418,18.1082589286,-0.0524017178,16.884765625,-0.0500915603,16.552734375,30,-1.343690026,-1.3022636485,-1.3580868341,-1.3298969072,,,,,,,
-0.0504659278,16.7006138393,-0.04873849,15.7470703125,-0.0475319758,15.5224609375,31,-1.1798505419,-1.1471371505,-1.2375930308,-1.1848797251,,,,,,,
-0.0483809813,15.7331194196,-0.0501538927,15.693359375,-0.0480548749,15.7080078125,32,-1.2431550563,-1.1398135819,-1.2622087869,-1.2109965636,,,,,,,
-0.0501482685,16.5694754464,-0.058859886,17.9541015625,-0.0552342009,17.6025390625,33,-1.632534462,-1.448069241,-1.6001793725,-1.4776632302,,,,,,,
-0.0551104238,17.6646205357,-0.0634664521,18.6962890625,-0.0591198347,18.349609375,34,-1.8385651687,-1.5492676431,-1.7830976496,-1.5828178694,,,,,,,
-0.0554372133,17.4483816964,-0.0555470324,17.0361328125,-0.0528921926,16.630859375,35,-1.4843656177,-1.3229027963,-1.4899280893,-1.3408934708,,,,,,,
-0.0537597591,17.1435546875,-0.0489914608,15.5859375,-0.0457514812,15.5517578125,36,-1.1911647759,-1.1251664447,-1.1537753006,-1.1890034364,,,,,,,
-0.0462782402,15.3055245536,-0.0436767988,14.1650390625,-0.0409995583,14.228515625,37,-0.9534641627,-0.931424767,-0.9300760041,-1.0027491409,,,,,,,
-0.0428655286,14.6602957589,-0.051246082,16.4013671875,-0.0495299796,16.07421875,38,-1.2920037049,-1.2363515313,-1.3316501245,-1.2625429553,,,,,,,
-0.0438930156,14.2271205357,-0.0524004982,16.6552734375,-0.0496758862,16.1328125,39,-1.3436354824,-1.2709720373,-1.3385187544,-1.270790378,,,,,,,
-0.0571238861,17.8815569196,-0.0536994883,17.5048828125,-0.0526193851,17.6513671875,40,-1.4017333866,-1.3868175766,-1.4770855311,-1.4845360825,,,,,,,
-0.0536581404,17.2677176339,-0.0474092734,15.76171875,-0.0430046608,15.0146484375,41,-1.1204007402,-1.1491344874,-1.0244672741,-1.1134020619,,,,,,,
-0.0480705768,15.6828962054,-0.0504930507,15.8642578125,-0.0485846153,16.1083984375,42,-1.2583240457,-1.1631158455,-1.287146598,-1.2673539519,,,,,,,
-0.0438082226,14.5968191964,-0.041874863,12.7099609375,-0.0379133946,12.5341796875,43,-0.8728717856,-0.7330226365,-0.78479321,-0.7642611684,,,,,,,
-0.0416237647,13.5393415179,-0.0421867603,13.4326171875,-0.0404223448,12.94921875,44,-0.8868215314,-0.8315579228,-0.9029033729,-0.8226804124,,,,,,,
-0.0412897095,13.2191685268,-0.0445259093,13.6865234375,-0.0416739481,13.4619140625,45,-0.991441008,-0.8661784288,-0.9618232643,-0.8948453608,,,,,,,
-0.0396324675,12.8180803571,-0.0449505361,13.8525390625,-0.0433154986,13.57421875,46,-1.0104326258,-0.8888149134,-1.0391001246,-0.910652921,,,,,,,
-0.0400384946,12.8208705357,-0.0359131624,11.6357421875,-0.0334885884,11.3720703125,47,-0.60623209,-0.586551265,-0.5764931041,-0.6006872852,,,,,,,
-0.0388002693,12.5983537946,-0.0365081454,11.7822265625,-0.03724617,11.9775390625,48,-0.6328429657,-0.6065246338,-0.7533832576,-0.6859106529,,,,,,,
-0.0394441262,12.5641741071,-0.0413385738,12.75390625,-0.0405816885,12.8857421875,49,-0.8488860155,-0.7390146471,-0.910404562,-0.8137457045,,,,,,,
-0.0385964228,12.4323381696,-0.0365614675,11.8994140625,-0.035130839,11.416015625,50,-0.6352278205,-0.6225033289,-0.6538029246,-0.6068728522,,,,,,,
-0.0383943506,12.3625837054,-0.0367198503,11.572265625,-0.0341000217,11.3671875,51,-0.6423115604,-0.5778961385,-0.6052766531,-0.6,,,,,,,
-0.0372273039,11.9029017857,-0.0363653379,11.455078125,-0.0340800881,11.103515625,52,-0.6264558365,-0.5619174434,-0.6043382684,-0.5628865979,,,,,,,
-0.0349759355,11.3636997768,-0.0380522966,11.8212890625,-0.0355190771,11.5625,53,-0.7019058138,-0.6118508655,-0.6720794402,-0.6274914089,,,,,,,
-0.035134331,11.6999162946,-0.0354229795,11.4892578125,-0.0342288802,11.1083984375,54,-0.5843084399,-0.5665778961,-0.611342735,-0.5635738832,,,,,,,
-0.0412582164,13.0545479911,-0.0480038365,14.072265625,-0.0454970993,14.0283203125,55,-1.1469928384,-0.9187749667,-1.1418001401,-0.9745704467,,,,,,,
-0.0405154624,13.0950055804,-0.0457044612,14.8095703125,-0.0435095167,14.443359375,56,-1.0441522623,-1.0193075899,-1.0482336342,-1.0329896907,,,,,,,
-0.0389328029,13.0329241071,-0.0378727523,12.431640625,-0.0367631168,12.333984375,57,-0.6938756145,-0.6950732357,-0.7306432713,-0.7360824742,,,,,,,
-0.0344409387,11.6001674107,-0.0370481663,11.8359375,-0.0346840959,11.6552734375,58,-0.6569956385,-0.6138482024,-0.632772254,-0.6405498282,,,,,,,
-0.0344483173,11.4271763393,-0.034082316,10.9716796875,-0.0324886625,10.8544921875,59,-0.5243466733,-0.4960053262,-0.5294210622,-0.5278350515,,,,,,,
-0.0334100457,11.03515625,-0.0334645214,10.8056640625,-0.0331853506,11.26953125,60,-0.4967155342,-0.4733688415,-0.5622180221,-0.5862542955,,,,,,,
-0.0334701882,10.9326171875,-0.0344136392,10.9228515625,-0.0332046326,10.8837890625,61,-0.539165249,-0.4893475366,-0.563125733,-0.5319587629,,,,,,,
-0.0332337535,10.7659040179,-0.0333937194,10.9228515625,-0.0332210857,10.6103515625,62,-0.4935488853,-0.4893475366,-0.5639002733,-0.4934707904,,,,,,,
-0.0324859924,10.6480189732,-0.0348333089,11.19140625,-0.0337451739,11.50390625,63,-0.5579351638,-0.5259653795,-0.588572002,-0.6192439863,,,,,,,
-0.0330367156,10.9312220982,-0.0334530439,10.2099609375,-0.0309212972,10.0390625,64,-0.496202201,-0.3921438083,-0.4556365058,-0.4130584192,,,,,,,
-0.0341772213,11.0797991071,-0.0342404216,11.1279296875,-0.0332761485,11.142578125,65,-0.5314180133,-0.517310253,-0.5664923847,-0.5683848797,,,,,,,
-0.0327954387,10.7407924107,-0.0381306935,11.7724609375,-0.0354747834,11.2939453125,66,-0.7054121476,-0.6051930759,-0.6699942895,-0.5896907216,,,,,,,
-0.0326502308,10.5852399554,-0.0345906095,10.5029296875,-0.0319013288,10.322265625,67,-0.5470803235,-0.4320905459,-0.5017720136,-0.4529209622,,,,,,,
-0.03243574,10.4736328125,-0.0329657303,10.1416015625,-0.0306879305,10.2392578125,68,-0.4744068811,-0.3828229028,-0.4446506426,-0.4412371134,,,,,,,
-0.0322834937,10.6368582589,-0.0371322108,11.8115234375,-0.036148525,11.4306640625,69,-0.6607545683,-0.6105193076,-0.7017110321,-0.6089347079,,,,,,,
-0.0342170735,11.2395368304,-0.0380159501,11.9921875,-0.0356880464,11.7578125,70,-0.7002801977,-0.6351531292,-0.6800337574,-0.6549828179,,,,,,,
-0.0338830253,11.3092912946,-0.0368177191,11.748046875,-0.0350388546,11.34765625,71,-0.6466887864,-0.6018641811,-0.6494727121,-0.5972508591,,,,,,,
-0.036795184,11.7926897321,-0.0375599247,11.6748046875,-0.036176507,11.494140625,72,-0.6798842617,-0.5918774967,-0.7030283031,-0.6178694158,,,,,,,
-0.0370569621,11.7989676339,-0.0406024973,12.177734375,-0.0381258014,12.1044921875,73,-0.8159646671,-0.6604527297,-0.7947923702,-0.7037800687,,,,,,,
-0.03695076,11.8952287946,-0.0357728928,11.201171875,-0.0343362461,11.416015625,74,-0.5999584695,-0.5272969374,-0.6163970394,-0.6068728522,,,,,,,
-0.0363740955,11.7808314732,-0.0345012999,10.966796875,-0.0319531256,10.6005859375,75,-0.5430859132,-0.4953395473,-0.5042103765,-0.4920962199,,,,,,,
-0.0353828293,11.435546875,-0.0329778765,10.4638671875,-0.0305381902,10.390625,76,-0.4749501249,-0.4267643142,-0.4376015427,-0.4625429553,,,,,,,
-0.0350031322,11.3846261161,-0.0354540148,11.2744140625,-0.0326001278,11.07421875,77,-0.585696507,-0.5372836218,-0.5346683475,-0.5587628866,,,,,,,
-0.0348470208,11.4481026786,-0.0346929828,10.9716796875,-0.0336427772,10.9912109375,78,-0.5516590159,-0.4960053262,-0.583751626,-0.5470790378,,,,,,,
-0.0354196082,11.5869140625,-0.0321983747,10.8349609375,-0.0330278156,10.5908203125,79,-0.4400865622,-0.4773635153,-0.5548019791,-0.4907216495,,,,,,,
-0.0340286737,11.1760602679,-0.0336858462,10.9130859375,-0.0312387035,10.595703125,80,-0.5066143831,-0.4880159787,-0.4705785753,-0.4914089347,,,,,,,
-0.0345460876,11.2723214286,-0.03270119,10.4052734375,-0.0303565915,10.0537109375,81,-0.4625752026,-0.4187749667,-0.4290526827,-0.4151202749,,,,,,,
-0.0340562314,11.2262834821,-0.0342226632,11.2255859375,-0.0324283493,11.064453125,82,-0.5306237636,-0.5306258322,-0.526581787,-0.5573883162,,,,,,,
-0.0336641423,11.1774553571,-0.0307543405,9.7265625,-0.0288310528,9.8291015625,83,-0.3755014934,-0.3262316911,-0.3572371386,-0.3835051546,,,,,,,
-0.0332962147,11.0205078125,-0.032928553,10.8740234375,-0.0318120306,10.771484375,84,-0.4727441108,-0.482689747,-0.4975682561,-0.5161512027,,,,,,,
-0.0343773199,11.1600167411,-0.0373979889,12.1630859375,-0.0356209285,11.81640625,85,-0.6726416094,-0.6584553928,-0.6768741464,-0.6632302405,,,,,,,
-0.0335027471,11.1097935268,-0.032403018,10.458984375,-0.0318270442,10.5029296875,86,-0.4492393277,-0.4260985353,-0.4982750269,-0.4783505155,,,,,,,
-0.033519012,11.0330636161,-0.0345116594,11.123046875,-0.0329784,11.240234375,87,-0.5435492473,-0.516644474,-0.5524757133,-0.5821305842,,,,,,,
-0.034016998,11.1655970982,-0.0324429685,10.3857421875,-0.0312100753,10.0341796875,88,-0.4510261306,-0.4161118509,-0.469230889,-0.412371134,,,,,,,
-0.0332439575,10.9186662946,-0.0352920149,11.2451171875,-0.0339658723,11.396484375,89,-0.5784509899,-0.5332889481,-0.5989614964,-0.6041237113,,,,,,,
-0.0343727151,11.1146763393,-0.0368655304,11.9482421875,-0.0360437769,11.6552734375,90,-0.6488271703,-0.6291611185,-0.6967799603,-0.6405498282,,,,,,,
-0.0340209868,11.142578125,-0.0383023749,11.7138671875,-0.0359990124,11.533203125,91,-0.7130906742,-0.5972037284,-0.6946726505,-0.6233676976,,,,,,,
-0.0331692178,10.8328683036,-0.0315757972,10.107421875,-0.0296217183,9.8681640625,92,-0.4122415079,-0.3781624501,-0.3944581367,-0.3890034364,,,,,,,
-0.0334258815,10.9709821429,-0.0340429791,10.7177734375,-0.0319238255,10.56640625,93,-0.522587313,-0.4613848202,-0.5028310611,-0.4872852234,,,,,,,
-0.0345677791,11.23046875,-0.0343075651,10.9765625,-0.0328687599,10.771484375,94,-0.5344210388,-0.4966711052,-0.5473143477,-0.5161512027,,,,,,,
-0.0337997742,10.9019252232,-0.0395754727,11.8994140625,-0.0362304894,11.4697265625,95,-0.7700305368,-0.6225033289,-0.7055695518,-0.6144329897,,,,,,,
-0.0338546469,11.0372488839,-0.0379732072,11.669921875,-0.0364751271,11.6015625,96,-0.6983685042,-0.5912117177,-0.7170860035,-0.6329896907,,,,,,,
-0.0337047284,11.0023716518,-0.0375865893,11.9140625,-0.0359977243,11.669921875,97,-0.6810768468,-0.6245006658,-0.6946120097,-0.6426116838,,,,,,,
-0.0346593386,11.1474609375,-0.0326286735,10.2197265625,-0.031032935,9.9169921875,98,-0.4593318689,-0.3934753662,-0.4608919168,-0.3958762887,,,,,,,
-0.0341661135,11.3023158482,-0.0376836818,11.7138671875,-0.0350241808,11.357421875,99,-0.6854193528,-0.5972037284,-0.648781934,-0.5986254296,,,,,,,
-0.0347244232,11.1558314732,-0.0402115849,12.333984375,-0.0392726385,12.6025390625,100,-0.7984809356,-0.6817576565,-0.848780336,-0.7738831615,,,,,,,
-0.0335480081,10.8656529018,-0.0347081787,10.7958984375,-0.0332622891,10.3857421875,101,-0.5523386583,-0.4720372836,-0.5658399452,-0.4618556701,,,,,,,
-0.0338567647,11.0728236607,-0.0345061524,11.0595703125,-0.0340402551,11.2255859375,102,-0.5433029421,-0.5079893475,-0.6024631075,-0.5800687285,,,,,,,
-0.0341277806,11.0567801339,-0.0407728947,12.2998046875,-0.0398567616,12.3046875,103,-0.8235857656,-0.6770972037,-0.8762782436,-0.7319587629,,,,,,,
-0.0340137232,11.1209542411,-0.0370719106,11.5380859375,-0.0339650549,11.30859375,104,-0.6580576129,-0.5732356858,-0.5989230192,-0.5917525773,,,,,,,
-0.0340940794,11.0658482143,-0.0356685045,11.591796875,-0.0329538504,11.1181640625,105,-0.5952896569,-0.5805592543,-0.5513200281,-0.5649484536,,,,,,,
-0.0320358442,10.5231584821,-0.0328687577,10.3369140625,-0.0300216516,10.21484375,106,-0.470069738,-0.4094540613,-0.4132852134,-0.4378006873,,,,,,,
-0.0333197141,10.8272879464,-0.0349414515,11.142578125,-0.0335718544,11.240234375,107,-0.562771886,-0.5193075899,-0.5804128937,-0.5821305842,,,,,,,
-0.0319354315,10.6208147321,-0.0342026171,10.6494140625,-0.0311994807,10.1708984375,108,-0.5297271923,-0.4520639148,-0.4687321438,-0.4316151203,,,,,,,
-0.0332336398,10.8377511161,-0.0380803261,11.787109375,-0.0339378877,11.201171875,109,-0.7031594447,-0.6071904128,-0.5976441092,-0.5766323024,,,,,,,
-0.0333455525,10.7554408482,-0.0357903109,10.95703125,-0.0342922605,11.1767578125,110,-0.600737501,-0.4940079893,-0.614326394,-0.5731958763,,,,,,,
-0.0347130554,10.8984375,-0.0341811432,10.6982421875,-0.0342456336,10.947265625,111,-0.5287667616,-0.4587217044,-0.6121314091,-0.5408934708,,,,,,,
-0.0337148958,10.7352120536,-0.0362474868,10.9228515625,-0.0331297454,10.5908203125,112,-0.6211848935,-0.4893475366,-0.559600378,-0.4907216495,,,,,,,
-0.0338199201,10.7554408482,-0.0438472474,13.125,-0.0389282924,12.4365234375,113,-0.9610875522,-0.7896138482,-0.8325700618,-0.7505154639,,,,,,,
-0.0334889039,10.6633649554,-0.0316944696,10.1318359375,-0.0312499962,9.931640625,114,-0.4175491843,-0.3814913449,-0.471110187,-0.3979381443,,,,,,,
-0.0331224163,10.5887276786,-0.0347660639,10.908203125,-0.032468767,10.6884765625,115,-0.5549276001,-0.4873501997,-0.5284844707,-0.504467354,,,,,,,
-0.0325549673,10.3376116071,-0.0389046472,11.8017578125,-0.0337104705,11.064453125,116,-0.7400275712,-0.6091877497,-0.5869383212,-0.5573883162,,,,,,,
-0.0331860005,10.6103515625,-0.0361330679,10.703125,-0.0340461146,10.83984375,117,-0.6160674574,-0.4593874834,-0.602738947,-0.5257731959,,,,,,,
-0.0332101237,10.46875,-0.0332691973,10.3076171875,-0.0302833946,9.9072265625,118,-0.4879795797,-0.4054593875,-0.425606904,-0.3945017182,,,,,,,
-0.0331935128,10.6117466518,-0.0351506441,10.4833984375,-0.0330535709,10.4638671875,119,-0.572128119,-0.4294274301,-0.5560144249,-0.4728522337,,,,,,,
-0.0329855796,10.5412946429,-0.0329057632,10.0830078125,-0.0321198652,10.2734375,120,-0.4717248263,-0.3748335553,-0.512059731,-0.44604811,,,,,,,
-0.0322835374,10.33203125,-0.0353240736,11.2158203125,-0.033173188,10.6103515625,121,-0.5798848298,-0.5292942743,-0.5616454631,-0.4934707904,,,,,,,
-0.031565179,10.15625,-0.0333685695,10.078125,-0.0308647381,9.9560546875,122,-0.4924240428,-0.3741677763,-0.4529739565,-0.4013745704,,,,,,,
-0.0316196945,10.2099609375,-0.0323232005,10.2294921875,-0.0313895841,9.853515625,123,-0.4456694511,-0.3948069241,-0.4776813587,-0.3869415808,,,,,,,
-0.0318078675,10.2999441964,-0.0326129378,10.439453125,-0.0315007483,10.3955078125,124,-0.4586280798,-0.4234354194,-0.4829144758,-0.4632302405,,,,,,,
-0.0307053028,10.15625,-0.033943741,10.7568359375,-0.0325194021,10.68359375,125,-0.518148844,-0.4667110519,-0.5308681449,-0.5037800687,,,,,,,
 apprenticeship ending ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
-0.0326729852,10.8998325893,-0.0291354855,11.19140625,-0.0265283811,10.68359375,126,-0.3030974862,-0.5259653795,-0.2488376446,-0.5037800687,,,,,,,
-0.0245947972,9.5919363839,-0.023459482,9.6240234375,-0.0219212175,9.326171875,127,-0.0492357199,-0.3122503329,-0.0319529695,-0.3127147766,,,,,,,
-0.0248259813,10.0648716518,-0.0333017381,12.451171875,-0.0314069285,12.2314453125,128,-0.4894349786,-0.6977363515,-0.4784978558,-0.7216494845,,,,,,,
-0.0300812404,11.6685267857,-0.0322015287,12.7685546875,-0.0306518411,12.3046875,129,-0.4402276281,-0.741011984,-0.4429517181,-0.7319587629,,,,,,,
-0.0245961037,9.6268136161,-0.016470361,7.24609375,-0.0153909063,6.71875,130,0.263355814,0.0119840213,0.2754649005,0.0542955326,,,,,,,
