optrew,optER,valrew,valER,testrew,testER,epoch,norm val rew,norm val er,norm test rew,norm test ER,,,,,,,
,,,,,,,,,,,,,,,,,
-0.2685171592,51.7975725446,-0.3581844166,65.52734375,-0.3583422616,65.595703125,1,-10.4235240698,-5.7513721186,-11.8007062692,-6.0137221269,,,,,,,
-0.3813709912,65.0432477679,-0.5251525398,74.7607421875,-0.5231542401,74.599609375,2,-16.2418581057,-6.7892425906,-18.2568400428,-7.0680388794,,,,,,,
-0.3923068287,66.1607142857,-0.5278920446,74.7802734375,-0.5257943556,74.5849609375,3,-16.3373215586,-6.7914379802,-18.3602605514,-7.0663236135,,,,,,,
-0.3750041396,64.5807756696,-0.3221647993,59.6728515625,-0.322985144,59.619140625,4,-9.1683493614,-5.0933040615,-10.4156717377,-5.3138936535,,,,,,,
-0.2828112376,55.0320870536,-0.199038244,42.890625,-0.196923341,42.626953125,5,-4.877761355,-3.2069154775,-5.4774878094,-3.3241852487,,,,,,,
-0.1302844143,32.9854910714,-0.0613195012,19.0625,-0.0607714653,19.4873046875,6,-0.0786797514,-0.5285400659,-0.144048266,-0.6146369354,,,,,,,
-0.0784478772,21.46484375,-0.0748234014,19.6875,-0.0741223831,19.8388671875,7,-0.5492498262,-0.5987925357,-0.6670400547,-0.6558033162,,,,,,,
-0.0750572748,20.0474330357,-0.0735739317,22.55859375,-0.0723224139,22.3095703125,8,-0.5057095859,-0.9215148189,-0.5965303607,-0.9451114923,,,,,,,
-0.0793876926,19.5954241071,-0.1609452574,31.5771484375,-0.1607564954,32.216796875,9,-3.5503359961,-1.9352360044,-4.060734029,-2.1052029731,,,,,,,
-0.0888953024,20.6256975446,-0.1753146361,33.740234375,-0.17552738,34.189453125,10,-4.0510653782,-2.1783754116,-4.6393497824,-2.3361921098,,,,,,,
-0.0823755624,19.7258649554,-0.1459934573,25.7421875,-0.1460923553,26.07421875,11,-3.0293109904,-1.279363337,-3.4862997506,-1.3859348199,,,,,,,
-0.0913008448,20.4743303571,-0.1466787951,30.966796875,-0.1451048006,30.498046875,12,-3.053192941,-1.8666300768,-3.4476145446,-1.9039451115,,,,,,,
-0.1423467954,28.8065011161,-0.3053225948,49.53125,-0.3016855499,49.248046875,13,-8.5814494796,-3.9533479693,-9.5813086655,-4.0994854202,,,,,,,
-0.1733163604,33.1745256696,-0.3651295923,55.6298828125,-0.3612865094,55.5224609375,14,-10.6655424338,-4.6388583974,-11.9160404689,-4.8341909663,,,,,,,
-0.2162955969,39.3987165179,-0.3666324921,55.947265625,-0.3626658976,55.9228515625,15,-10.7179139467,-4.6745334797,-11.970074859,-4.8810748999,,,,,,,
-0.213179355,39.1622488839,-0.3189784121,52.138671875,-0.3150954561,52.0458984375,16,-9.0573134061,-4.2464324918,-10.1066111917,-4.4271012007,,,,,,,
-0.1977662408,37.4644252232,-0.2504118226,45.7763671875,-0.2476359986,45.52734375,17,-6.6679751704,-3.531284303,-7.4640406319,-3.6638078902,,,,,,,
-0.1874152616,36.1216517857,-0.3155378126,51.455078125,-0.311729317,51.4208984375,18,-8.9374189204,-4.1695938529,-9.9747503591,-4.3539165237,,,,,,,
-0.2082322463,38.5002790179,-0.3124418242,51.259765625,-0.308712709,51.2109375,19,-8.8295330906,-4.1476399561,-9.8565816125,-4.3293310463,,,,,,,
-0.2055494801,38.2561383929,-0.3508944478,54.130859375,-0.3469923876,54.00390625,20,-10.1694907083,-4.4703622393,-11.3561008136,-4.6563750715,,,,,,,
-0.2204605531,40.0306919643,-0.3474587385,54.033203125,-0.3434614785,53.828125,21,-10.0497666309,-4.4593852909,-11.2177854931,-4.6357918811,,,,,,,
