optrew,optER,valrew,valER,testrew,testER,epoch,norm val rew,norm val er,norm test rew,norm test ER,,,,,,,
,,,,,,,,,,,,,,,,,
-0.3860001567,48.5784040179,-0.5077887096,52.48046875,-0.4964981008,51.9140625,1,-19.4932794888,-4.8507007922,-13.752321256,-4.4388571429,,,,,,,
-0.5624654952,61.8373325893,-0.7996249713,63.3837890625,-0.7983761564,63.1298828125,2,-32.5565254663,-6.211456429,-23.5863371964,-5.7514285714,,,,,,,
-0.5921147698,63.0796595982,-0.7506110199,61.0400390625,-0.7496246368,60.9326171875,3,-30.3625510099,-5.9189518586,-21.9982018144,-5.4942857143,,,,,,,
-0.5576056921,61.3929966518,-0.6751566805,56.6259765625,-0.6742131464,56.4306640625,4,-26.985045454,-5.3680682511,-19.5415880111,-4.9674285714,,,,,,,
-0.5256000746,58.3217075893,-0.7220426403,58.720703125,-0.7194739915,58.3984375,5,-29.0837662303,-5.6294942108,-21.0160107598,-5.1977142857,,,,,,,
-0.4932622884,55.1004464286,-0.5411770366,53.7451171875,-0.5318875946,53.30078125,6,-20.9878159339,-5.0085313833,-14.9051736729,-4.6011428571,,,,,,,
-0.3182134359,39.9658203125,-0.5490114745,51.0693359375,-0.5336869698,50.5908203125,7,-21.3385029537,-4.6745886654,-14.9637903361,-4.284,,,,,,,
-0.0568497857,10.9054129464,-0.126588412,24.43359375,-0.1277018968,24.6875,8,-2.4298987295,-1.3503960999,-1.7383716416,-1.2525714286,,,,,,,
-0.0658440888,12.5167410714,-0.4627172157,40.6884765625,-0.4489205126,40.439453125,9,-17.4757782811,-3.3790371725,-12.2024280036,-3.096,,,,,,,
-0.0952568818,17.1407645089,-0.2643007673,37.1484375,-0.2564056009,36.85546875,10,-8.5942127906,-2.9372333943,-5.9310390265,-2.6765714286,,,,,,,
-0.0827463535,16.5827287946,-0.0418430685,12.2265625,-0.042566623,12.4658203125,11,1.363493021,0.1730652041,1.0350053053,0.1777142857,,,,,,,
-0.1040188875,19.3087332589,-0.0603621849,16.5185546875,-0.0607184176,16.9384765625,12,0.5345358126,-0.3625837904,0.4436902546,-0.3457142857,,,,,,,
