optrew,optER,valrew,valER,testrew,testER,epoch,norm val rew,norm val er,norm test rew,norm test ER,,,,,,,
,,,,,,,,,,,,,,,,,
-0.2578951323,44.6296037946,-0.3486948304,58.046875,-0.3527133364,58.61328125,1,-11.8941448514,-5.3085545723,-11.0120608788,-5.1513605442,,,,,,,
-0.3786385768,63.0810546875,-0.3298741262,56.85546875,-0.3334854994,57.6025390625,2,-11.1300803651,-5.1646017699,-10.2953605644,-5.0340136054,,,,,,,
-0.4693141367,71.5980747768,-0.5260094516,74.4580078125,-0.5270344358,74.7314453125,3,-19.0925899206,-7.2914454277,-17.5097229171,-7.022675737,,,,,,,
-0.4921974155,73.4270368304,-0.5260101523,74.4677734375,-0.5270350371,74.7265625,4,-19.092618368,-7.2926253687,-17.5097453286,-7.0221088435,,,,,,,
-0.4924933013,73.53515625,-0.5155077457,74.4482421875,-0.5166453969,74.70703125,5,-18.6662519671,-7.2902654867,-17.1224808445,-7.0198412698,,,,,,,
-0.4888404954,73.3189174107,-0.5259962834,74.482421875,-0.5270226322,74.7314453125,6,-19.0920553327,-7.2943952802,-17.5092829492,-7.022675737,,,,,,,
-0.4864253306,73.1452287946,-0.4249248862,71.4453125,-0.4275779471,71.7529296875,7,-14.9888578865,-6.9274336283,-13.8025718406,-6.6768707483,,,,,,,
-0.4829889028,72.7239118304,-0.5195556376,73.59375,-0.5205954168,73.7158203125,8,-18.8305843108,-7.187020649,-17.2697142811,-6.9047619048,,,,,,,
-0.1997480013,39.8688616071,-0.1774784712,42.0263671875,-0.1780413749,42.03125,9,-4.9432710426,-3.3728613569,-4.5013207685,-3.2261904762,,,,,,,
-0.2275263383,44.033203125,-0.2495251728,45.205078125,-0.253654621,45.751953125,10,-7.8681523661,-3.7569321534,-7.319736443,-3.6581632653,,,,,,,
-0.2284185114,40.4854910714,-0.3683697324,57.548828125,-0.3674321543,57.353515625,11,-12.6928872257,-5.2483775811,-11.5606915654,-5.0051020408,,,,,,,
-0.1844832322,33.3510044643,-0.1100120369,28.798828125,-0.1113718905,28.681640625,12,-2.2043349197,-1.7746312684,-2.0162757628,-1.6763038549,,,,,,,
-0.1607469527,29.1950334821,-0.0905095302,27.1142578125,-0.0916527358,26.923828125,13,-1.4125912789,-1.5710914454,-1.2812620222,-1.4722222222,,,,,,,
-0.1470182873,25.8796037946,-0.0891234288,26.220703125,-0.089632294,25.8935546875,14,-1.3563196956,-1.4631268437,-1.2059518753,-1.3526077098,,,,,,,
-0.1245787538,22.3688616071,-0.1102562304,30.6396484375,-0.1103148085,30.5615234375,15,-2.2142484451,-1.9970501475,-1.9768739814,-1.8945578231,,,,,,,
-0.1240059983,22.080078125,-0.0933368317,25.6689453125,-0.0950643444,25.693359375,16,-1.5273712932,-1.396460177,-1.4084266634,-1.3293650794,,,,,,,
-0.1297941455,22.8941127232,-0.1016045657,27.9638671875,-0.1033830635,28.0126953125,17,-1.8630166491,-1.6737463127,-1.7184994278,-1.5986394558,,,,,,,
-0.1135996752,20.1729910714,-0.10158164,25.7958984375,-0.1034303945,26.1962890625,18,-1.8620859333,-1.41179941,-1.7202636456,-1.387755102,,,,,,,
-0.09141006,17.3423549107,-0.0727229751,23.88671875,-0.0731539686,23.9013671875,19,-0.6905101638,-1.181120944,-0.5917371287,-1.1213151927,,,,,,,
-0.0880822842,17.0905412946,-0.0876976596,23.3056640625,-0.0893896534,23.3349609375,20,-1.2984377169,-1.1109144543,-1.196907664,-1.0555555556,,,,,,,
-0.0774183514,15.0997488839,-0.0684388308,17.5634765625,-0.0698948728,17.6220703125,21,-0.5165866744,-0.4171091445,-0.4702572676,-0.3922902494,,,,,,,
