optrew,optER,valrew,valER,testrew,testER,epoch,norm val rew,norm val er,norm test rew,norm test ER,,,,,,,
,,,,,,,,,,,,,,,,,
-0.2344155171,45.1018415179,-0.2955376174,53.9990234375,-0.289952882,54.296875,1,-8.8088059971,-4.64604811,-8.1039115249,-4.5788013319,,,,,,,
-0.3432677402,60.0432477679,-0.3505156364,61.005859375,-0.3451495316,60.9326171875,2,-10.8556481875,-5.4679266896,-10.0243524829,-5.332963374,,,,,,,
-0.3666128771,62.7678571429,-0.3185103759,55.7568359375,-0.3137162752,56.171875,3,-9.664086201,-4.852233677,-8.930704347,-4.7918978912,,,,,,,
-0.3491804433,60.4136439732,-0.236469098,47.1484375,-0.2342447208,46.630859375,4,-6.6096736911,-3.8424971363,-6.1656736927,-3.7075471698,,,,,,,
-0.3533820971,59.4133649554,-0.3280064147,55.7958984375,-0.322227937,55.400390625,5,-10.0176255458,-4.8568155785,-9.2268481156,-4.7042175361,,,,,,,
-0.3742079034,62.0096261161,-0.3791880351,62.470703125,-0.3738928594,62.28515625,6,-11.9231270868,-5.6397479954,-11.0244107176,-5.486681465,,,,,,,
-0.3367218821,57.5844029018,-0.2886213128,50.1513671875,-0.2816027436,49.8046875,7,-8.5513106477,-4.1947308133,-7.8133875919,-4.0682574917,,,,,,,
-0.2195427503,41.1662946429,-0.1448280021,34.9951171875,-0.1415392674,35.146484375,8,-3.1978581158,-2.4169530355,-2.940199842,-2.4023307436,,,,,,,
-0.0845241533,22.9129464286,-0.065695969,21.123046875,-0.0659054742,21.6748046875,9,-0.2517573488,-0.7898052692,-0.3086952987,-0.871254162,,,,,,,
-0.0555142938,15.2594866071,-0.0511368872,15.8349609375,-0.0526571786,16.8017578125,10,0.2902800587,-0.1695303551,0.1522487934,-0.3174250832,,,,,,,
-0.0326681671,8.6090959821,-0.028769183,7.841796875,-0.0280634515,7.63671875,11,1.1230339744,0.7680412371,1.0079311807,0.7241953385,,,,,,,
-0.0333878715,8.2561383929,-0.0312567835,8.02734375,-0.0310873956,7.9443359375,12,1.0304201289,0.746277205,0.9027199726,0.6892341842,,,,,,,
-0.0495161631,11.8547712054,-0.0431306598,10.595703125,-0.043433367,10.302734375,13,0.588353438,0.4450171821,0.4731701843,0.4211986681,,,,,,,
-0.0669595054,16.2116350446,-0.0750231976,21.25,-0.0746959596,21.2841796875,14,-0.5990118582,-0.804696449,-0.6145400969,-0.8268590455,,,,,,,
-0.0716260053,17.4937220982,-0.0499898843,13.4912109375,-0.0484271702,13.1005859375,15,0.3329831936,0.1053837342,0.2994222429,0.1032186459,,,,,,,
-0.0681471129,17.4379185268,-0.0676291885,17.060546875,-0.0654197914,16.81640625,16,-0.3237314821,-0.3132875143,-0.2917970763,-0.3190899001,,,,,,,
-0.0707786946,18.6028180804,-0.0677382336,19.9365234375,-0.0664407319,19.90234375,17,-0.3277912526,-0.6506300115,-0.3273183647,-0.6698113208,,,,,,,
-0.0651337288,17.3311941964,-0.056458001,16.9775390625,-0.0559305317,17.197265625,18,0.0921739693,-0.3035509737,0.0383599729,-0.3623751387,,,,,,,
-0.0563221822,15.0327845982,-0.0438953007,12.373046875,-0.0433209718,12.412109375,19,0.5598857129,0.2365406644,0.4770807177,0.1814650388,,,,,,,
-0.055843268,15.0055803571,-0.0701273228,18.7841796875,-0.068755609,18.7841796875,20,-0.4167375018,-0.5154639175,-0.4078592093,-0.5427302997,,,,,,,
-0.0554363531,14.8828125,-0.0380502355,9.9609375,-0.0376383471,10.0341796875,21,0.7774986088,0.5194730813,0.674794624,0.4517203108,,,,,,,
-0.0538546643,14.1789899554,-0.0423810483,11.1181640625,-0.0400647589,10.72265625,22,0.6162616172,0.3837342497,0.5903731873,0.3734739179,,,,,,,
-0.056411874,14.9455915179,-0.0499362972,13.4619140625,-0.0492708876,13.5791015625,23,0.3349782548,0.1088201604,0.270067031,0.0488346282,,,,,,,
-0.0698204867,18.57421875,-0.1068226557,31.1669921875,-0.1063383259,31.3427734375,24,-1.7829117834,-1.9679266896,-1.7154637345,-1.9700332963,,,,,,,
-0.0716194129,19.4663783482,-0.1004348484,29.8779296875,-0.0977264251,29.1552734375,25,-1.5450924913,-1.8167239404,-1.4158323765,-1.7214206437,,,,,,,
-0.0723939942,19.2208426339,-0.1016836872,26.0791015625,-0.0997987485,26.2109375,26,-1.591587001,-1.3711340206,-1.4879341242,-1.3867924528,,,,,,,
-0.075215928,19.462890625,-0.1175507514,30.05859375,-0.1116513151,29.2041015625,27,-2.182320842,-1.8379152348,-1.9003170203,-1.7269700333,,,,,,,
-0.0691920356,17.9799107143,-0.1018608684,27.353515625,-0.1005996663,27.7392578125,28,-1.5981834888,-1.5206185567,-1.5158002227,-1.5604883463,,,,,,,
-0.0666942657,17.63671875,-0.1467563224,36.201171875,-0.1432224222,35.537109375,29,-3.2696498518,-2.558419244,-2.9987613568,-2.4467258602,,,,,,,
-0.0487979043,13.3217075893,-0.0611967367,17.6318359375,-0.0595752538,17.0849609375,30,-0.084250069,-0.3802978236,-0.0884497833,-0.3496115427,,,,,,,
-0.0475961369,13.4375,-0.0955717798,26.7919921875,-0.0940663758,26.279296875,31,-1.3640395164,-1.4547537228,-1.2884893472,-1.3945615982,,,,,,,
-0.05047203,14.7307477679,-0.167710207,41.4501953125,-0.1659208344,41.26953125,32,-4.0497669948,-3.1741122566,-3.7885006063,-3.0982241953,,,,,,,
-0.0585595485,16.8094308036,-0.1472464193,38.8232421875,-0.1454378526,38.662109375,33,-3.287896252,-2.8659793814,-3.0758421823,-2.8018867925,,,,,,,
-0.0534202399,15.2992466518,-0.0865789403,25.56640625,-0.0866146608,25.2783203125,34,-1.0292343769,-1.3109965636,-1.0292239986,-1.2807991121,,,,,,,
-0.0511971077,14.8374720982,-0.1487954034,38.4814453125,-0.1471804831,38.388671875,35,-3.3455652267,-2.8258877434,-3.1364730195,-2.7708102109,,,,,,,
-0.0469851066,13.7234933036,-0.0735472561,25.1171875,-0.0731447954,25.1123046875,36,-0.5440622738,-1.2583046964,-0.5605708918,-1.2619311876,,,,,,,
-0.0414903061,12.4567522321,-0.0646992048,22.5244140625,-0.0643458927,22.6708984375,37,-0.2146476285,-0.9541809851,-0.2544332331,-0.9844617092,,,,,,,
-0.0379190959,11.4522879464,-0.0655272132,22.392578125,-0.0652585112,22.36328125,38,-0.2454745401,-0.9387170676,-0.2861857044,-0.9495005549,,,,,,,
-0.0342502694,10.0662667411,-0.0315548959,10.1611328125,-0.0317625644,10.15625,39,1.019321348,0.4959908362,0.879229022,0.4378468368,,,,,,,
