optrew,optER,valrew,valER,testrew,testER,epoch,norm val rew,norm val er,norm test rew,norm test ER,,,,,,,
,,,,,,,,,,,,,,,,,
-0.6949569072,58.4702845982,-0.55330422,47.44140625,-0.5551715687,46.7919921875,1,-16.9990117531,-3.8522083805,-16.7713491147,-3.8037330317,,,,,,,
-0.4822909115,43.3419363839,-0.4255421299,40.205078125,-0.4206770774,39.2138671875,2,-12.4491571015,-3.0130237826,-12.0699521999,-2.9259049774,,,,,,,
-0.3447719782,34.8688616071,-0.3357638281,34.0283203125,-0.3314095255,33.818359375,3,-9.2519784687,-2.2967157418,-8.949510693,-2.3009049774,,,,,,,
-0.3190086341,32.685546875,-0.2995636927,31.97265625,-0.2979138022,31.455078125,4,-7.9628217687,-2.0583238958,-7.7786323282,-2.0271493213,,,,,,,
-0.2564504669,28.5365513393,-0.2555161167,28.9453125,-0.2551869635,27.96875,5,-6.3942025601,-1.7072480181,-6.2850705766,-1.6233031674,,,,,,,
-0.1292928281,16.6399274554,-0.0444774441,9.716796875,-0.0436160627,9.970703125,6,1.1212919491,0.5226500566,1.1106135912,0.4615384615,,,,,,,
-0.20048665,23.7576729911,-0.3027898986,33.0908203125,-0.3040989403,32.4658203125,7,-8.0777131883,-2.18799547,-7.9948403574,-2.1442307692,,,,,,,
-0.2511948255,29.9853515625,-0.242162377,30.1123046875,-0.2435805378,29.70703125,8,-5.9186501128,-1.8425821065,-5.8793557179,-1.8246606335,,,,,,,
-0.2417124582,28.837890625,-0.2109816087,27.48046875,-0.2096255237,27.0654296875,9,-4.8082427648,-1.5373725934,-4.6924223565,-1.5186651584,,,,,,,
-0.1913330455,25.3306361607,-0.2251040896,26.9677734375,-0.2361695163,26.8798828125,10,-5.311171571,-1.4779161948,-5.6202956365,-1.4971719457,,,,,,,
-0.1684730102,22.9380580357,-0.1526727826,21.4501953125,-0.1602355041,21.2744140625,11,-2.7317529108,-0.8380520951,-2.9659420834,-0.8478506787,,,,,,,
-0.147282517,20.1457868304,-0.1274539722,18.505859375,-0.1313834888,18.203125,12,-1.8336623907,-0.4966024915,-1.9573894337,-0.492081448,,,,,,,
-0.1410760247,19.7147042411,-0.1371096407,19.6240234375,-0.1372417744,19.1357421875,13,-2.1775193845,-0.6262740657,-2.1621719919,-0.6001131222,,,,,,,
-0.0989894005,13.6390904018,-0.0522794684,8.779296875,-0.0497999956,8.6279296875,14,0.8434468033,0.6313703284,0.8944476911,0.617081448,,,,,,,
-0.1009602873,14.453125,-0.1290951906,18.3349609375,-0.1345647649,18.251953125,15,-1.8921093448,-0.476783692,-2.0685942978,-0.4977375566,,,,,,,
-0.1126702345,15.2769252232,-0.1044466748,14.8388671875,-0.1104804933,14.9169921875,16,-1.014328119,-0.0713476784,-1.2267031614,-0.1114253394,,,,,,,
-0.098436492,12.8864397321,-0.0937827299,11.7431640625,-0.0966872837,11.845703125,17,-0.634564456,0.2876557191,-0.7445469593,0.2443438914,,,,,,,
-0.1084629646,13.4716796875,-0.1250883429,16.38671875,-0.1210917364,16.2255859375,18,-1.7494177655,-0.2508493771,-1.5976303644,-0.2630090498,,,,,,,
-0.1200344773,16.5499441964,-0.117946416,17.3974609375,-0.1170094403,17.0703125,19,-1.4950799594,-0.3680634202,-1.4549293937,-0.3608597285,,,,,,,
-0.107669073,15.546875,-0.0963220617,13.90625,-0.0949716271,13.3740234375,20,-0.7249949612,0.036806342,-0.6845743717,0.0673076923,,,,,,,
-0.1203472523,15.6236049107,-0.1477708626,20.33203125,-0.153722101,20.2001953125,21,-2.5571860746,-0.708380521,-2.7382592033,-0.7234162896,,,,,,,
-0.1576511393,21.3595145089,-0.1322440105,19.580078125,-0.1362782515,19.013671875,22,-2.0042449023,-0.6211778029,-2.1284910298,-0.5859728507,,,,,,,
-0.1328926847,18.1821986607,-0.1286379852,17.87109375,-0.1247645468,16.8994140625,23,-1.8758273782,-0.4229898075,-1.726017331,-0.3410633484,,,,,,,
-0.1356260238,18.5881696429,-0.1375279276,19.70703125,-0.1378026016,19.1455078125,24,-2.1924153872,-0.6359003398,-2.181776298,-0.6012443439,,,,,,,
-0.134559998,18.5818917411,-0.1217953865,18.2763671875,-0.1181477003,17.44140625,25,-1.6321492319,-0.469988675,-1.4947184746,-0.4038461538,,,,,,,
-0.12743168,18.0601283482,-0.1229989915,16.97265625,-0.1205677562,16.77734375,26,-1.6750119284,-0.318799547,-1.5793140852,-0.3269230769,,,,,,,
-0.1231341477,17.1658761161,-0.1202708633,16.826171875,-0.1187755857,16.484375,27,-1.5778580169,-0.3018120045,-1.516666871,-0.2929864253,,,,,,,
-0.1155227553,16.0323660714,-0.1093417014,15.087890625,-0.1018592005,14.53125,28,-1.1886494657,-0.1002265006,-0.9253367695,-0.0667420814,,,,,,,
-0.114297799,15.6870814732,-0.1066529267,14.9853515625,-0.1074135972,14.6484375,29,-1.0928970084,-0.0883352208,-1.1194965696,-0.0803167421,,,,,,,
-0.1179773633,16.0135323661,-0.1131575111,15.302734375,-0.1191883774,14.9267578125,30,-1.3245378144,-0.1251415629,-1.5310964435,-0.1125565611,,,,,,,
-0.1085368996,15.3599330357,-0.1082366826,15.3515625,-0.1030129081,14.921875,31,-1.1492976099,-0.130804077,-0.9656658381,-0.1119909502,,,,,,,
-0.0966045467,13.53515625,-0.0926406869,13.466796875,-0.0891005141,12.861328125,32,-0.593894098,0.0877689694,-0.4793434187,0.1266968326,,,,,,,
-0.114003743,15.5147879464,-0.1283435053,18.2275390625,-0.1306458274,17.87109375,33,-1.8653403817,-0.4643261608,-1.9316037007,-0.4536199095,,,,,,,
-0.1239921141,16.7368861607,-0.1077730385,15.3515625,-0.1137895714,15.390625,34,-1.1327863506,-0.130804077,-1.3423754776,-0.1662895928,,,,,,,
-0.1019057475,13.7918526786,-0.0904334239,12.5634765625,-0.0906566296,12.3828125,35,-0.5152892043,0.1925254813,-0.5337390804,0.1821266968,,,,,,,
-0.0930004464,12.7615792411,-0.0963626902,13.2421875,-0.0949998118,12.5732421875,36,-0.7264418199,0.1138165345,-0.6855595996,0.1600678733,,,,,,,
-0.0961426003,13.2840401786,-0.0910893919,13.291015625,-0.0926981593,13.06640625,37,-0.5386494909,0.1081540204,-0.6051029053,0.1029411765,,,,,,,
-0.09309871,13.1075613839,-0.0895143189,12.529296875,-0.087055947,12.0361328125,38,-0.4825580995,0.1964892412,-0.4078734193,0.2222850679,,,,,,,
-0.0941818511,13.3203125,-0.0861780026,13.37890625,-0.0878198978,13.0712890625,39,-0.3637454375,0.0979614949,-0.4345781251,0.1023755656,,,,,,,
-0.0911513043,13.3244977679,-0.0877103585,13.4228515625,-0.0869419019,12.861328125,40,-0.4183155884,0.0928652322,-0.4038868523,0.1266968326,,,,,,,
-0.0865904332,12.587890625,-0.0910381254,13.3056640625,-0.0867415498,12.4169921875,41,-0.5368237914,0.1064552661,-0.3968833324,0.1781674208,,,,,,,
-0.0860038586,12.3207310268,-0.0806753549,11.416015625,-0.0754447398,10.791015625,42,-0.1677855301,0.325594564,-0.0019914149,0.3665158371,,,,,,,
-0.0820085413,11.8610491071,-0.0904281562,13.0126953125,-0.0849861814,12.5,43,-0.5151016105,0.1404303511,-0.335522576,0.1685520362,,,,,,,
-0.0827167368,12.1240234375,-0.0932009914,13.18359375,-0.0884514563,12.763671875,44,-0.6138476236,0.1206115515,-0.45665492,0.1380090498,,,,,,,
-0.0841120741,12.2935267857,-0.0780834333,11.6552734375,-0.0795432647,11.25,45,-0.0754821962,0.2978482446,-0.1452596774,0.3133484163,,,,,,,
-0.0814341649,11.7347935268,-0.0864048015,12.5537109375,-0.0816294831,12.060546875,46,-0.3718221819,0.1936579841,-0.2181856454,0.2194570136,,,,,,,
-0.0776246449,11.1237444196,-0.0771080182,11.181640625,-0.0778120839,11.2109375,47,-0.0407457829,0.3527746319,-0.0847444245,0.3178733032,,,,,,,
-0.0742392417,10.4715401786,-0.0629933183,8.447265625,-0.0615480577,7.8857421875,48,0.4619059272,0.6698754247,0.4837817769,0.7030542986,,,,,,,
-0.0698936701,9.2431640625,-0.0847528101,11.708984375,-0.0862973751,11.3134765625,49,-0.3129915796,0.291619479,-0.3813567354,0.3059954751,,,,,,,
-0.0806577211,11.3448660714,-0.0833333742,11.3818359375,-0.0756248152,10.6591796875,50,-0.2624427269,0.3295583239,-0.0082861409,0.3817873303,,,,,,,
-0.0762229492,10.6438337054,-0.0706559888,9.86328125,-0.0679238517,9.375,51,0.189023439,0.5056625142,0.2609091683,0.5305429864,,,,,,,
-0.074205743,10.3111049107,-0.072395752,10.05859375,-0.0716272521,9.9267578125,52,0.127067111,0.4830124575,0.1314528988,0.4666289593,,,,,,,
-0.07374775,10.439453125,-0.0751692352,10.3564453125,-0.0698075697,9.9365234375,53,0.0282980208,0.4484711212,0.195061818,0.4654977376,,,,,,,
-0.0767688729,10.6040736607,-0.0722180661,9.8193359375,-0.0723745408,9.267578125,54,0.1333948512,0.5107587769,0.1053306345,0.5429864253,,,,,,,
-0.0801053461,10.8217075893,-0.0825177542,11.0546875,-0.0755422642,10.546875,55,-0.2333969245,0.3674971687,-0.0054004807,0.3947963801,,,,,,,
-0.07590922,10.1513671875,-0.0728771103,9.8193359375,-0.0722388846,9.27734375,56,0.1099250141,0.5107587769,0.1100726382,0.5418552036,,,,,,,
-0.0746164216,9.6463448661,-0.0901608692,11.298828125,-0.08522272,10.751953125,57,-0.5055830038,0.339184598,-0.3437910345,0.371040724,,,,,,,
-0.094959379,12.5111607143,-0.0871035843,12.28515625,-0.0968850755,12.119140625,58,-0.3967071874,0.224801812,-0.7514609795,0.2126696833,,,,,,,
-0.0837403466,11.5604073661,-0.0771995531,10.1416015625,-0.0822680505,10.2001953125,59,-0.044005519,0.4733861835,-0.2405074405,0.4349547511,,,,,,,
-0.078029644,10.5064174107,-0.0756136553,9.5556640625,-0.0702498681,8.9453125,60,0.0124713639,0.5413363533,0.1796008086,0.5803167421,,,,,,,
-0.0726495378,9.3010602679,-0.0638018817,8.8330078125,-0.0623911011,8.349609375,61,0.4331114225,0.6251415629,0.4543123044,0.649321267,,,,,,,
-0.0967774344,12.5857979911,-0.1035058885,13.4033203125,-0.1011450744,12.7001953125,62,-0.9808249011,0.0951302378,-0.9003737383,0.145361991,,,,,,,
-0.075550068,9.7579520089,-0.0848292708,11.3720703125,-0.085287179,10.64453125,63,-0.3157144943,0.3306908267,-0.3460442645,0.3834841629,,,,,,,
-0.088096331,12.0598493304,-0.103460227,16.0595703125,-0.0986367861,15.2392578125,64,-0.9791988074,-0.2129105323,-0.8126938731,-0.1487556561,,,,,,,
-0.0843840573,11.73828125,-0.071107122,9.3408203125,-0.0713561975,9.2236328125,65,0.1729577144,0.5662514156,0.1409278965,0.5480769231,,,,,,,
-0.0745351209,9.7677176339,-0.0757731415,10.0146484375,-0.0730289232,9.384765625,66,0.0067917534,0.4881087203,0.0824560038,0.5294117647,,,,,,,
-0.0758462901,9.9658203125,-0.0715360698,9.453125,-0.0736464876,9.2724609375,67,0.157682055,0.5532276331,0.0608683907,0.5424208145,,,,,,,
-0.0778011901,10.2043805804,-0.0716543544,9.43359375,-0.0701467092,9.19921875,68,0.1534697136,0.5554926387,0.1832068393,0.5509049774,,,,,,,
-0.0757620225,10.2525111607,-0.073917559,9.482421875,-0.0730749502,9.3017578125,69,0.0728726286,0.5498301246,0.0808470819,0.5390271493,,,,,,,
-0.0758284632,10.1485770089,-0.0708026322,9.599609375,-0.0717174839,9.51171875,70,0.1838011829,0.5362400906,0.1282987496,0.5147058824,,,,,,,
-0.0756705337,10.2092633929,-0.0848630272,11.9580078125,-0.081381574,11.77734375,71,-0.3169166246,0.2627406569,-0.2095197201,0.2522624434,,,,,,,
-0.0764116943,10.3752790179,-0.0796013123,11.0107421875,-0.0782441927,10.6640625,72,-0.1295368002,0.3725934315,-0.099849244,0.3812217195,,,,,,,
-0.0790149347,10.5629185268,-0.072682282,9.1845703125,-0.0760653711,8.9990234375,73,0.1168632244,0.5843714609,-0.0236862368,0.5740950226,,,,,,,
-0.0792190997,10.4352678571,-0.0790428271,9.66796875,-0.0730111175,8.9697265625,74,-0.1096480614,0.5283125708,0.0830784225,0.5774886878,,,,,,,
-0.0775661171,10.2329799107,-0.0852274184,10.8447265625,-0.0820589116,10.6689453125,75,-0.3298932979,0.3918459796,-0.2331967722,0.3806561086,,,,,,,
-0.0782448789,10.0725446429,-0.0839717273,10.322265625,-0.0808390979,10.1171875,76,-0.2851757123,0.4524348811,-0.1905568963,0.4445701357,,,,,,,
