optrew,optER,valrew,valER,testrew,testER,epoch,norm val rew,norm val er,norm test rew,norm test ER,,,,,,,
,,,,,,,,,,,,,,,,,
-0.4171192336,62.3011997768,-0.3363996744,51.6259765625,-0.338040312,51.6650390625,1,-10.4999744656,-4.4427745665,-11.4065644409,-4.6875376279,,,,,,,
-0.3110323701,46.9810267857,-0.2700403236,42.3095703125,-0.2682480035,41.4111328125,2,-8.0067765578,-3.3398843931,-8.5896306854,-3.4232390126,,,,,,,
-0.2433027961,39.2236328125,-0.2050148476,34.4189453125,-0.2058744563,34.3408203125,3,-5.5636938773,-2.4057803468,-6.0721304828,-2.5514750151,,,,,,,
-0.188114216,32.1958705357,-0.1686397941,29.5458984375,-0.1730939876,29.921875,4,-4.1970408561,-1.8289017341,-4.7490561973,-2.0066225166,,,,,,,
-0.1584109975,28.2345145089,-0.126767065,23.73046875,-0.1217989513,22.9052734375,5,-2.6238337762,-1.1404624277,-2.6787031374,-1.1414810355,,,,,,,
-0.0655499524,13.5288783482,-0.0319375257,8.7939453125,-0.030464383,8.6474609375,6,0.9390221905,0.6277456647,1.0077120856,0.6164960867,,,,,,,
-0.1701102203,29.4259207589,-0.1924480481,32.8515625,-0.1915720304,32.4658203125,7,-5.0915446204,-2.2202312139,-5.4948607665,-2.3202889825,,,,,,,
-0.1573318394,29.0053013393,-0.158480512,28.837890625,-0.1608277226,28.9794921875,8,-3.8153448241,-1.7450867052,-4.2539693201,-1.8904274533,,,,,,,
-0.1433769182,27.1868024554,-0.1426876173,26.9091796875,-0.1442230441,26.8701171875,9,-3.221987424,-1.5167630058,-3.5837768528,-1.6303431668,,,,,,,
-0.1087785033,22.3821149554,-0.1188386619,24.4873046875,-0.1220796719,24.3359375,10,-2.3259544606,-1.2300578035,-2.69003349,-1.3178807947,,,,,,,
-0.0917204797,19.1301618304,-0.1083369569,22.7490234375,-0.1095664568,22.861328125,11,-1.9313932021,-1.0242774566,-2.1849792976,-1.1360626129,,,,,,,
-0.0909016166,19.3582589286,-0.0991691796,21.943359375,-0.1019281224,21.923828125,12,-1.5869491584,-0.9289017341,-1.8766834059,-1.0204695966,,,,,,,
-0.1422871212,27.3646763393,-0.1293648262,25.849609375,-0.1347299104,25.8740234375,13,-2.7214346809,-1.3913294798,-3.2006181729,-1.507525587,,,,,,,
-0.1395896933,27.3018973214,-0.1613022702,29.7705078125,-0.1626099514,29.7705078125,14,-3.9213615582,-1.8554913295,-4.3259030414,-1.9879590608,,,,,,,
-0.1354389687,26.8980189732,-0.1254472118,25.52734375,-0.1261094451,25.556640625,15,-2.5742453574,-1.3531791908,-2.8526818439,-1.4683925346,,,,,,,
-0.1201936175,24.12109375,-0.1161978018,23.466796875,-0.1171342663,23.408203125,16,-2.2267342764,-1.1092485549,-2.4904286846,-1.2034918724,,,,,,,
-0.1096914336,22.2837611607,-0.1118977587,23.2568359375,-0.1108576606,22.8369140625,17,-2.065176662,-1.0843930636,-2.2370944316,-1.1330523781,,,,,,,
-0.0907236859,18.9264787946,-0.0805564016,17.24609375,-0.077705749,16.748046875,18,-0.8876454626,-0.3728323699,-0.8990280896,-0.3822998194,,,,,,,
-0.0854713947,18.203125,-0.0840645608,18.203125,-0.0865423612,18.154296875,19,-1.019451081,-0.4861271676,-1.2556884686,-0.5556893438,,,,,,,
-0.0692881388,14.1524832589,-0.0597524854,11.6796875,-0.0623802407,11.8603515625,20,-0.1060181634,0.2861271676,-0.2804650612,0.2203491872,,,,,,,
-0.0719528305,14.6505301339,-0.0418349459,8.2177734375,-0.0411583289,8.125,21,0.5671646135,0.6959537572,0.5760866261,0.6809151114,,,,,,,
-0.0486172646,9.9358258929,-0.061163898,11.50390625,-0.0619120184,11.357421875,22,-0.1590465732,0.3069364162,-0.2615668303,0.2823600241,,,,,,,
-0.0909326557,18.4772600446,-0.0712252918,15.029296875,-0.0703817145,15.0146484375,23,-0.5370648284,-0.1104046243,-0.603417867,-0.1685731487,,,,,,,
-0.0783798755,16.0595703125,-0.1111619681,22.5634765625,-0.1112086815,22.2021484375,24,-2.0375321558,-1.0023121387,-2.2512622187,-1.0547862733,,,,,,,
-0.0894061295,17.8717912946,-0.1120578384,22.7099609375,-0.1141549043,22.83203125,25,-2.0711910434,-1.0196531792,-2.3701766777,-1.1324503311,,,,,,,
-0.0897424495,18.1326729911,-0.0901735199,18.642578125,-0.0896995135,18.271484375,26,-1.2489717706,-0.538150289,-1.3831163924,-0.5701384708,,,,,,,
-0.0887185811,17.9136439732,-0.0936581527,18.8623046875,-0.0947639992,18.7646484375,27,-1.3798934759,-0.5641618497,-1.5875274676,-0.6309452137,,,,,,,
-0.0898546035,18.1898716518,-0.07124542,13.92578125,-0.0703068967,13.6083984375,28,-0.5378210686,0.0202312139,-0.6003980961,0.0048163757,,,,,,,
-0.0801193523,16.5659877232,-0.0844922503,18.10546875,-0.0807682435,17.51953125,29,-1.0355198706,-0.474566474,-1.0226354647,-0.477423239,,,,,,,
-0.0777916581,16.2381417411,-0.0998020804,20.3271484375,-0.100260339,20.21484375,30,-1.6107279782,-0.7375722543,-1.8093688911,-0.8097531607,,,,,,,
-0.100125698,20.8851841518,-0.1044929031,21.7333984375,-0.1045358861,21.1669921875,31,-1.7869676361,-0.9040462428,-1.9819370881,-0.9271523179,,,,,,,
-0.1017484577,21.2241908482,-0.0957989037,20.7470703125,-0.0965194381,20.72265625,32,-1.460323977,-0.787283237,-1.6583799015,-0.8723660446,,,,,,,
-0.0799320441,17.1861049107,-0.0736710488,16.1279296875,-0.0750543637,15.927734375,33,-0.628954761,-0.2404624277,-0.7920137646,-0.2811559302,,,,,,,
-0.0666878436,13.3565848214,-0.0661144251,13.4814453125,-0.066491759,13.4716796875,34,-0.345043628,0.0728323699,-0.4464127841,0.0216736905,,,,,,,
-0.0674436853,12.9457310268,-0.0704083905,13.22265625,-0.0721149194,13.642578125,35,-0.5063728955,0.1034682081,-0.6733728987,0.000602047,,,,,,,
-0.0730414523,14.5333426339,-0.0689184048,14.169921875,-0.0714798996,14.345703125,36,-0.4503924038,-0.0086705202,-0.6477424431,-0.0860927152,,,,,,,
-0.0828109031,17.6513671875,-0.0801021651,17.900390625,-0.0812261358,17.75390625,37,-0.8705792723,-0.4502890173,-1.0411167635,-0.5063214931,,,,,,,
-0.0815713842,17.607421875,-0.0880965921,18.9501953125,-0.0875947637,19.013671875,38,-1.1709391817,-0.574566474,-1.2981651881,-0.6616496087,,,,,,,
-0.0694993956,15.1102120536,-0.0645376633,13.623046875,-0.0648046497,13.779296875,39,-0.285802855,0.0560693642,-0.3783182466,-0.0162552679,,,,,,,
