optrew,optER,valrew,valER,testrew,testER,epoch,norm val rew,norm val er,norm test rew,norm test ER,,,,,,,
,,,,,,,,,,,,,,,,,
-0.7808588718,63.9132254464,-0.7713621475,62.763671875,-0.7664364867,62.7587890625,1,-24.3748323497,-5.6997716895,-31.0050633603,-5.8022041763,,,,,,,
-0.7371320652,60.849609375,-0.7180749737,59.3212890625,-0.7202205479,59.267578125,2,-22.5069504647,-5.2973744292,-28.9393407158,-5.3874709977,,,,,,,
-0.6340934617,54.6805245536,-0.5687395383,50.888671875,-0.5640907958,50.3759765625,3,-17.272277003,-4.3116438356,-21.9607793596,-4.3312064965,,,,,,,
-0.5286534056,47.8515625,-0.4886226103,45.3955078125,-0.4887925416,45.791015625,4,-14.4639284307,-3.6695205479,-18.5951589073,-3.7865429234,,,,,,,
-0.3720584008,38.4200613839,-0.2990660487,33.45703125,-0.3044974621,33.2763671875,5,-7.8193788649,-2.2739726027,-10.3576865323,-2.2998839907,,,,,,,
-0.275956737,31.8575613839,-0.2924379079,32.216796875,-0.2913059482,32.3876953125,6,-7.5870418265,-2.1289954338,-9.7680629153,-2.1943155452,,,,,,,
-0.2779143177,31.6517857143,-0.3071279963,32.48046875,-0.3001803722,32.5634765625,7,-8.1019753124,-2.1598173516,-10.1647247397,-2.2151972158,,,,,,,
-0.2731340333,31.2039620536,-0.2845817024,30.3125,-0.2867332024,30.712890625,8,-7.3116572856,-1.9063926941,-9.5636740234,-1.9953596288,,,,,,,
-0.2145617528,27.4546595982,-0.2149878157,26.0595703125,-0.2068881392,25.9326171875,9,-4.872174181,-1.4092465753,-5.9948239759,-1.4274941995,,,,,,,
-0.1624161254,23.3907645089,-0.1350223741,20.9228515625,-0.1341208842,20.498046875,10,-2.0691356807,-0.8087899543,-2.7423320784,-0.7819025522,,,,,,,
-0.1277651463,19.6547154018,-0.107375546,16.97265625,-0.1067648315,16.9970703125,11,-1.1000279985,-0.3470319635,-1.5195933679,-0.3660092807,,,,,,,
-0.0891968922,12.7818080357,-0.0794123792,10.6640625,-0.0797407514,10.83984375,12,-0.1198316581,0.3904109589,-0.3116928974,0.3654292343,,,,,,,
-0.1718798931,22.1149553571,-0.3205538787,35.0927734375,-0.3140908195,34.1796875,13,-8.5725944246,-2.4651826484,-10.7864826577,-2.4071925754,,,,,,,
-0.298115734,32.4909319196,-0.2635427676,30.56640625,-0.2613084078,30.0732421875,14,-6.5741769064,-1.9360730594,-8.4272571191,-1.9193735499,,,,,,,
-0.2494377417,29.6030970982,-0.2280711265,29.5556640625,-0.2332388664,29.31640625,15,-5.3307850903,-1.8179223744,-7.1726274641,-1.8294663573,,,,,,,
-0.2326135354,28.7339564732,-0.2079328593,27.5048828125,-0.2104009639,27.5927734375,16,-4.6248759214,-1.578196347,-6.1518373767,-1.6247099768,,,,,,,
-0.2187409962,27.5481305804,-0.2067930331,27.0703125,-0.2015417606,26.7138671875,17,-4.5849214549,-1.5273972603,-5.7558558707,-1.5203016241,,,,,,,
-0.2111868561,26.7417689732,-0.196119841,25.9716796875,-0.1963190551,25.7568359375,18,-4.2107927325,-1.3989726027,-5.5224156065,-1.406612529,,,,,,,
-0.1959420947,25.4610770089,-0.162736451,23.2666015625,-0.1552158898,23.0859375,19,-3.0406006386,-1.0827625571,-3.685219574,-1.0893271462,,,,,,,
-0.1824103132,24.7565569196,-0.2202720281,26.2109375,-0.2193937097,26.0107421875,20,-5.0574023289,-1.4269406393,-6.5537878505,-1.436774942,,,,,,,
-0.1762661898,23.8588169643,-0.1701083265,23.7939453125,-0.1716291507,23.7255859375,21,-3.2990079028,-1.1444063927,-4.4188462322,-1.1653132251,,,,,,,
-0.1595572551,22.4072265625,-0.2046102894,24.5068359375,-0.2063286003,24.970703125,22,-4.5084094705,-1.227739726,-5.9698141596,-1.313225058,,,,,,,
