optrew,optER,valrew,valER,testrew,testER,epoch,norm val rew,norm val er,norm test rew,norm test ER
,,,,,,,,,,
-0.7471594279,65.72265625,-1.0060833797,74.1162109375,-1.0221228145,74.4384765625,1,-36.1149201355,-7.1646305992,-42.0101155765,-7.0803212851
-0.8983622089,73.2038225446,-1.005938746,74.1259765625,-1.0219406582,74.4091796875,2,-36.1093091311,-7.1657940663,-42.0020379112,-7.0768789443
-0.9012338885,73.3189174107,-1.0056595333,74.140625,-1.021826718,74.3896484375,3,-36.0984771848,-7.167539267,-41.9969852652,-7.0745840505
-0.900881495,73.6125837054,-1.0057897329,74.3408203125,-1.0217885926,74.51171875,4,-36.1035282276,-7.1913903432,-41.9952946072,-7.0889271371
-0.9048466709,73.6725725446,-1.0084984906,74.8193359375,-1.0237175383,74.892578125,5,-36.2086133941,-7.2484002327,-42.0808331267,-7.1336775674
-0.903228157,73.6921037946,-1.0057364337,74.4384765625,-1.0213642679,74.6337890625,6,-36.1014605058,-7.2030250145,-41.9764780538,-7.1032702238
-0.9018439432,73.5623604911,-1.0042016067,74.1357421875,-1.0198983938,74.35546875,7,-36.0419175063,-7.1669575334,-41.9114743006,-7.0705679862
-0.9006263066,73.5149274554,-1.002441746,73.96484375,-1.0180999979,74.3115234375,8,-35.9736444182,-7.1465968586,-41.8317249739,-7.065404475
-0.9029978178,73.4047154018,-1.0054058604,74.453125,-1.0190214254,74.90234375,9,-36.0886360465,-7.2047702152,-41.8725854001,-7.1348250143
-0.9007647541,73.3565848214,-1.0062055781,74.638671875,-1.0205690682,75.0634765625,10,-36.1196607758,-7.2268760908,-41.941215159,-7.1537578887
-0.8987350715,73.4514508929,-1.005805663,74.8974609375,-1.0179443382,75.224609375,11,-36.1041462289,-7.2577079697,-41.824822288,-7.1726907631
-0.8972892338,73.6453683036,-1.0022604354,74.6240234375,-1.0145395413,74.990234375,12,-35.9666105453,-7.2251308901,-41.673837585,-7.1451520367
-0.8978411674,73.6753627232,-1.0050160334,74.84375,-1.0174998716,75.15625,13,-36.0735128629,-7.2513089005,-41.8051125481,-7.1646586345
-0.8965466018,73.5491071429,-0.998791904,74.2724609375,-1.0118293799,74.6044921875,14,-35.832050263,-7.1832460733,-41.5536562868,-7.099827883
