optrew,optER,valrew,valER,testrew,testER,epoch,norm val rew,norm val er,norm test rew,norm test ER,,,,,,,
,,,,,,,,,,,,,,,,,
-0.5794849782,55.5705915179,-1.0031437881,73.1884765625,-0.9934185602,73.1494140625,1,-34.1529825453,-6.8216704289,-44.1147279822,-7.1404958678,,,,,,,
-0.845663354,71.9761439732,-1.0021199681,73.388671875,-0.9918347456,73.4814453125,2,-34.115236478,-6.8448081264,-44.0387398876,-7.1806375443,,,,,,,
-0.8580552291,72.9220145089,-1.0153974541,74.287109375,-1.0038161978,74.3505859375,3,-34.6047491437,-6.9486455982,-44.6135847692,-7.2857142857,,,,,,,
-0.8705380431,73.4221540179,-1.0154023357,74.3603515625,-1.0042370409,74.4140625,4,-34.6049291187,-6.9571106095,-44.6337759343,-7.2933884298,,,,,,,
-0.877881197,73.5714285714,-1.015391469,74.345703125,-1.004249198,74.462890625,5,-34.6045284876,-6.9554176072,-44.634359207,-7.2992916175,,,,,,,
-0.8811329913,73.6474609375,-1.0158551954,74.287109375,-1.0046021789,74.4189453125,6,-34.6216250925,-6.9486455982,-44.6512944903,-7.2939787485,,,,,,,
-0.8821808805,73.7639508929,-1.0158277459,74.31640625,-1.0045813568,74.4140625,7,-34.6206130905,-6.9520316027,-44.6502954879,-7.2933884298,,,,,,,
-0.8829602857,73.6558314732,-1.0161776058,74.35546875,-1.0049364991,74.51171875,8,-34.6335116806,-6.9565462754,-44.6673344712,-7.3051948052,,,,,,,
-0.8877708126,73.7883649554,-1.0153828174,74.3994140625,-1.0043455116,74.4921875,9,-34.604209521,-6.9616252822,-44.6389801337,-7.3028335301,,,,,,,
-0.8842338231,73.8699776786,-1.0149453528,74.423828125,-1.0039483413,74.4287109375,10,-34.588081133,-6.9644469526,-44.6199247363,-7.2951593861,,,,,,,
-0.8808381419,73.7032645089,-1.0149599388,74.423828125,-1.0038854688,74.4091796875,11,-34.5886188878,-6.9644469526,-44.6169082474,-7.292798111,,,,,,,
-0.8803883195,73.6760602679,-1.0162751138,74.248046875,-1.0048027113,74.296875,12,-34.6371065925,-6.9441309255,-44.660915612,-7.2792207792,,,,,,,
-0.8785151363,73.5616629464,-1.0161435969,74.287109375,-1.0046560362,74.3505859375,13,-34.632257844,-6.9486455982,-44.6538784487,-7.2857142857,,,,,,,
-0.8657239834,73.3621651786,-1.0167898342,74.1845703125,-1.0055277713,74.169921875,14,-34.6560832381,-6.9367945824,-44.6957024638,-7.2638724911,,,,,,,
-0.7978637342,69.7021484375,-0.4288081657,59.638671875,-0.4209926438,59.7998046875,15,-12.9784497882,-5.2556433409,-16.6509363568,-5.5265643447,,,,,,,
-0.1943139224,33.720703125,-0.4222855292,46.865234375,-0.4133545924,46.2744140625,16,-12.7379740549,-3.7793453725,-16.2844787158,-3.8913813459,,,,,,,
-0.4321181227,51.7752511161,-0.4348905507,53.408203125,-0.4278344683,53.115234375,17,-13.2026943868,-4.5355530474,-16.9791927113,-4.7184179457,,,,,,,
-0.4124332283,50.7282366071,-0.4175581504,53.642578125,-0.4124141317,53.818359375,18,-12.5636856517,-4.5626410835,-16.2393573887,-4.8034238489,,,,,,,
-0.3896846761,49.1915457589,-0.3872455854,50.0634765625,-0.3823824864,50.107421875,19,-11.4461258576,-4.1489841986,-14.7985022056,-4.3547815821,,,,,,,
-0.358166317,44.0073939732,-0.3640452165,44.0087890625,-0.3593846973,43.544921875,20,-10.5907776054,-3.4492099323,-13.6951166509,-3.5613931523,,,,,,,
-0.348493012,44.5717075893,-0.3652442127,45.6591796875,-0.3603551384,45.4541015625,21,-10.6349820461,-3.6399548533,-13.7416763742,-3.7922077922,,,,,,,
-0.3318493169,44.1427176339,-0.3661873061,46.982421875,-0.3621318486,46.4990234375,22,-10.6697518928,-3.7928893905,-13.8269191908,-3.9185360094,,,,,,,
-0.3336771738,44.9755859375,-0.3423036054,49.638671875,-0.3395136815,49.0625,23,-9.7892106482,-4.0998871332,-12.7417471005,-4.2284533648,,,,,,,
-0.3252893599,47.2056361607,-0.3290141303,50.5126953125,-0.3285098623,50.1611328125,24,-9.2992559698,-4.2009029345,-12.2138070013,-4.3612750885,,,,,,,
-0.3113978002,47.6241629464,-0.2965849303,46.40625,-0.2942164419,45.908203125,25,-8.103660343,-3.7262979684,-10.5684808103,-3.847107438,,,,,,,
-0.3046274264,48.1877790179,-0.2793608338,46.19140625,-0.2775790967,45.771484375,26,-7.4686445413,-3.7014672686,-9.7702559761,-3.8305785124,,,,,,,
-0.2921681213,46.0546875,-0.2875348819,47.568359375,-0.2874243435,47.392578125,27,-7.770004311,-3.8606094808,-10.2426102099,-4.0265643447,,,,,,,
-0.3210505403,47.7092633929,-0.4169465795,50.5810546875,-0.4156786941,50.0732421875,28,-12.5411383353,-4.2088036117,-16.3959842277,-4.3506493506,,,,,,,
-0.388389866,50.5552455357,-0.3175101746,52.802734375,-0.3185506659,52.705078125,29,-8.8751295919,-4.4655756208,-11.7359856987,-4.6688311688,,,,,,,
-0.3965829007,46.6294642857,-0.5643048789,50.4296875,-0.553459337,50.2734375,30,-17.9739253962,-4.1913092551,-23.0064097126,-4.3748524203,,,,,,,
-0.3277714062,35.6459263393,-0.2341852929,31.9970703125,-0.2324392384,31.689453125,31,-5.803118442,-2.0609480813,-7.6045405059,-2.1280991736,,,,,,,
-0.2223896328,29.8653738839,-0.1327328825,30.0634765625,-0.1319539631,30.1318359375,32,-2.0627838648,-1.8374717833,-2.7834683226,-1.9397874852,,,,,,,
-0.2072136508,29.7600446429,-0.2550078982,32.6025390625,-0.2512113746,32.8125,33,-6.5708036088,-2.1309255079,-8.5051881235,-2.2638724911,,,,,,,
-0.2325533077,29.6358816964,-0.1935610492,28.369140625,-0.1963629652,28.6376953125,34,-4.3053889842,-1.6416478555,-5.8736767877,-1.759149941,,,,,,,
-0.2190779903,27.4051339286,-0.2670185233,26.9873046875,-0.2644073322,27.4560546875,35,-7.0136098055,-1.4819413093,-9.1383024181,-1.6162927981,,,,,,,
-0.2346345517,27.8480747768,-0.1637374894,28.9599609375,-0.165564306,29.00390625,36,-3.2058577705,-1.7099322799,-4.3960218909,-1.8034238489,,,,,,,
-0.2085073346,27.9213169643,-0.1421864259,25.6591796875,-0.1447349302,25.947265625,37,-2.4113159006,-1.3284424379,-3.3966722483,-1.4338842975,,,,,,,
-0.1816627188,25.1632254464,-0.1883000178,28.18359375,-0.1900760792,28.22265625,38,-4.1114259487,-1.6202031603,-5.572045221,-1.7089728453,,,,,,,
-0.1848543539,23.5944475446,-0.230984127,32.685546875,-0.235714091,32.40234375,39,-5.6850982613,-2.1405191874,-7.7616610463,-2.2142857143,,,,,,,
-0.130128374,20.4750279018,-0.1017503305,18.1884765625,-0.1037999923,18.8037109375,40,-0.9205230739,-0.4650112867,-1.4327000157,-0.5702479339,,,,,,,
-0.0917292346,16.9475446429,-0.076290345,18.017578125,-0.0750834919,17.4609375,41,0.0181324395,-0.4452595937,-0.0549427153,-0.4079102715,,,,,,,
-0.0784051247,15.8286830357,-0.0587291659,16.123046875,-0.0563632472,15.5322265625,42,0.6655757585,-0.2262979684,0.8432152516,-0.1747343566,,,,,,,
-0.0869236334,16.3748604911,-0.0836044309,16.1669921875,-0.084106335,16.1962890625,43,-0.2515223524,-0.2313769752,-0.4878397536,-0.2550177096,,,,,,,
-0.0793213967,15.9807477679,-0.100691401,22.1337890625,-0.1037440073,22.529296875,44,-0.8814825954,-0.920993228,-1.4300139703,-1.020661157,,,,,,,
-0.0776742239,17.1330915179,-0.0714673583,17.4853515625,-0.0692489014,16.8115234375,45,0.1959456975,-0.3837471783,0.2249886643,-0.3293978749,,,,,,,
-0.1185334385,22.5041852679,-0.0950594539,23.203125,-0.0929483659,23.2275390625,46,-0.6738446836,-1.0445823928,-0.9120617993,-1.1050767414,,,,,,,
-0.1286659167,23.4040178571,-0.2246259607,33.4228515625,-0.2226362489,32.91015625,47,-5.4506861967,-2.2257336343,-7.1342136871,-2.2756788666,,,,,,,
-0.2124880836,28.4479631696,-0.464762114,44.3310546875,-0.4601073977,44.5068359375,48,-14.3039953852,-3.4864559819,-18.5275799885,-3.6776859504,,,,,,,
-0.3752403489,40.3571428571,-0.3513436744,37.3974609375,-0.3469346434,37.03125,49,-10.1224987643,-2.6851015801,-13.0977892472,-2.7739079103,,,,,,,
-0.2415338088,31.4181082589,-0.0614684787,13.095703125,-0.063638427,13.408203125,50,0.5645831229,0.1235891648,0.4941674284,0.0820543093,,,,,,,
-0.0923383565,16.6950334821,-0.146245966,19.08203125,-0.1463989276,18.92578125,51,-2.5609825095,-0.5682844244,-3.4765073394,-0.5850059032,,,,,,,
-0.1145611917,16.5101841518,-0.1028910259,15.986328125,-0.1042192339,16.044921875,52,-0.9625780849,-0.210496614,-1.4528143442,-0.2367178276,,,,,,,
-0.1092220771,16.4278738839,-0.1074379545,12.1533203125,-0.1053715852,11.533203125,53,-1.1302136723,0.2325056433,-1.5081017345,0.3087367178,,,,,,,
-0.0972192591,15.2608816964,-0.0902253345,15.947265625,-0.0925243202,16.0888671875,54,-0.4956209848,-0.2059819413,-0.8917169807,-0.2420306966,,,,,,,
-0.1300087964,18.369140625,-0.0873061587,14.7802734375,-0.0907578356,14.86328125,55,-0.3879971805,-0.0711060948,-0.8069647623,-0.0938606848,,,,,,,
-0.1119819806,17.9715401786,-0.0852641284,20.4931640625,-0.0874364584,20.5322265625,56,-0.3127118682,-0.7313769752,-0.6476120721,-0.7792207792,,,,,,,
-0.0989671675,15.8865792411,-0.0742581566,13.3251953125,-0.0756957655,13.837890625,57,0.0930549006,0.0970654628,-0.0843183185,0.0301062574,,,,,,,
-0.1020358454,16.6266741071,-0.0906608654,18.8623046875,-0.0935096264,18.57421875,58,-0.511678083,-0.5428893905,-0.9389898989,-0.5425029516,,,,,,,
-0.1082842895,15.1311383929,-0.0690258059,16.2841796875,-0.0697900966,16.2255859375,59,0.2859605419,-0.2449209932,0.1990232555,-0.2585596222,,,,,,,
-0.1396975133,16.1537388393,-0.0805903983,20.556640625,-0.0799995497,20.380859375,60,-0.1404013818,-0.7387133183,-0.2908048312,-0.7609208973,,,,,,,
-0.1559449719,17.7273995536,-0.1059736117,25.1904296875,-0.1031940167,24.94140625,61,-1.0762264666,-1.2742663657,-1.4036265784,-1.3122786305,,,,,,,
-0.1653704062,19.0206473214,-0.0700237288,18.1689453125,-0.069356162,17.7978515625,62,0.2491692491,-0.4627539503,0.219842526,-0.4486422668,,,,,,,
-0.1902381407,20.2120535714,-0.0970714155,21.962890625,-0.0978121438,22.0361328125,63,-0.7480214276,-0.901241535,-1.1454156362,-0.961038961,,,,,,,
-0.177133286,20.3773716518,-0.1987483496,32.646484375,-0.1984516473,32.3388671875,64,-4.4966337165,-2.1360045147,-5.9738873655,-2.2066115702,,,,,,,
-0.20235038,21.5297154018,-0.1325815866,34.4873046875,-0.1332970249,35.107421875,65,-2.0572059045,-2.348758465,-2.8479056021,-2.541322314,,,,,,,
-0.2803451149,27.2209821429,-0.1133536126,30.5029296875,-0.1143327708,30.6640625,66,-1.3483114046,-1.888261851,-1.9380405772,-2.0041322314,,,,,,,
-0.2591481169,26.3058035714,-0.1238089335,31.142578125,-0.1232405316,31.34765625,67,-1.733776846,-1.9621896163,-2.3654162055,-2.0867768595,,,,,,,
-0.2705893007,26.8959263393,-0.2094481464,35.107421875,-0.2095639093,35.185546875,68,-4.8911124678,-2.4204288939,-6.5070303235,-2.5507674144,,,,,,,
-0.2855911464,27.0424107143,-0.1471616326,32.734375,-0.147607819,32.666015625,69,-2.5947411885,-2.1461625282,-3.5345074084,-2.246162928,,,,,,,
-0.2379814798,24.2138671875,-0.14867305,34.62890625,-0.149203917,34.7021484375,70,-2.650463934,-2.3651241535,-3.6110848347,-2.492325856,,,,,,,
-0.2879731462,27.5851004464,-0.1516391814,31.748046875,-0.1512162118,31.62109375,71,-2.7598188883,-2.0321670429,-3.7076305077,-2.1198347107,,,,,,,
-0.2827129097,27.0633370536,-0.2078973658,36.513671875,-0.2082522249,36.3623046875,72,-4.8339384854,-2.5829571106,-6.4440984645,-2.6930342385,,,,,,,
-0.2616245925,25.8851841518,-0.1582714673,31.005859375,-0.1587257342,31.1279296875,73,-3.0043371636,-1.9463882619,-4.0679216005,-2.0602125148,,,,,,,
-0.2752430931,26.5645926339,-0.1509127292,35.419921875,-0.1519213596,35.8056640625,74,-2.7330361412,-2.4565462754,-3.7414620169,-2.6257378985,,,,,,,
-0.2855764534,27.6471819196,-0.1643930174,36.0791015625,-0.1645819839,36.1669921875,75,-3.230025696,-2.532731377,-4.3488921435,-2.6694214876,,,,,,,
-0.2655183758,27.1170479911,-0.1422188677,34.2529296875,-0.1431500203,34.4189453125,76,-2.4125119602,-2.3216704289,-3.3206316021,-2.4580873672,,,,,,,
